ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,48.123341,49.109375,1498.418213,0.0,3.159999,0.0,0.0,0.110000,1498.490845,0.0,84.151405,0.0,13920.000000,0.0,0.0,0.0,37.279995,10953090,22800.000000,82.768494,0.0,0.0,363.000000,5.000000,13560.000000,23160.000000,25.879999,0.080000,0.000000,13320.000000,0.0,1.999999,0.0,0.0,0.0,0.210000,0.0,11.039998,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.860000,0.000000,23160.000000,13680.000000,13680.000000,5860,0.080000,13560.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,4.530002,23160.000000
1,49.609375,50.695312,1498.424683,0.0,3.309999,0.0,0.0,0.220000,1498.346191,0.0,113.099854,0.0,13920.000000,0.0,0.0,0.0,36.399998,10962140,22800.000000,111.610161,0.0,0.0,494.000000,5.000000,13680.000000,23160.000000,26.359999,0.090000,0.000000,13320.000000,0.0,2.239999,0.0,0.0,0.0,0.120000,0.0,11.009998,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,1.140000,0.000000,22920.000000,13680.000000,13560.000000,9050,0.080000,13560.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13680.000000,4.520001,23160.000000
2,49.515198,50.617188,1498.522095,0.0,0.040000,0.0,0.0,0.0,1498.329712,0.0,142.320114,0.0,13920.000000,0.0,0.0,0.0,0.020000,10971790,22920.000000,141.136475,0.0,0.0,490.000000,5.000000,13680.000000,22920.000000,5.450000,0.0,0.000000,13320.000000,0.0,0.0,94.169998,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13680.000000,9650,0.0,13680.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.0,22800.000000
3,49.381340,50.445312,1498.535767,0.0,0.030000,0.0,0.0,0.0,1498.597534,0.0,142.591843,0.0,13920.000000,0.0,0.0,0.0,0.020000,10979430,22920.000000,141.205185,0.0,0.0,492.000000,5.000000,13560.000000,23160.000000,5.550000,0.0,0.000000,13320.000000,0.0,0.0,94.149994,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13560.000000,7640,0.0,13680.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,0.0,23160.000000
4,49.384502,50.445312,1498.592163,0.0,0.050000,0.0,0.0,0.0,1498.487305,0.0,142.736145,0.0,13920.000000,0.0,0.0,0.0,0.020000,10986810,22920.000000,141.362885,0.0,0.0,492.000000,5.000000,13680.000000,22800.000000,5.080000,0.0,0.000000,13440.000000,0.0,0.0,94.620010,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22800.000000,13560.000000,13680.000000,7380,0.0,13680.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13680.000000,0.0,23160.000000
5,49.342709,50.398438,1498.591919,0.0,0.030000,0.0,0.0,0.0,1498.553101,0.0,142.680588,0.0,13920.000000,0.0,0.0,0.0,0.020000,10994320,22800.000000,141.521652,0.0,0.0,493.000000,5.000000,13680.000000,22920.000000,6.110000,0.0,0.000000,13320.000000,0.0,0.0,93.380005,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13560.000000,7510,0.0,13560.000000,0.0,23160.000000,22920.000000,0.000000,13560.000000,0.0,22920.000000,13800.000000,0.020000,22800.000000
6,49.363796,50.437500,1498.484741,0.0,0.000000,0.0,0.0,0.0,1498.496338,0.0,142.577286,0.0,13800.000000,0.0,0.0,0.0,0.020000,11002120,22800.000000,141.319168,0.0,0.0,492.000000,5.000000,13680.000000,22800.000000,5.310000,0.0,0.000000,13320.000000,0.0,0.0,94.480003,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13680.000000,7800,0.0,13680.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.0,22800.000000
7,49.407436,50.468750,1498.340088,0.0,0.050000,0.0,0.0,0.0,1498.289673,0.0,142.755417,0.0,13920.000000,0.0,0.0,0.0,0.020000,11009510,22920.000000,141.405151,0.0,0.0,491.000000,5.000000,13680.000000,22920.000000,5.950000,0.0,0.000000,13440.000000,0.0,0.0,93.589989,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,13680.000000,13560.000000,7390,0.0,13560.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,0.0,23160.000000
8,49.314873,50.382812,1498.380493,0.0,0.070000,0.0,0.0,0.0,1498.116333,0.0,142.737503,0.0,13920.000000,0.0,0.0,0.0,0.050000,11017160,22800.000000,141.510559,0.0,0.0,491.000000,5.000000,13560.000000,22920.000000,5.690000,0.0,0.000000,13440.000000,0.0,0.0,93.830002,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13680.000000,13680.000000,7650,0.0,13560.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13680.000000,0.0,22800.000000
9,49.359108,50.421875,1498.582520,0.0,0.000000,0.0,0.0,0.0,1498.391846,0.0,142.839676,0.0,13800.000000,0.0,0.0,0.0,0.060000,11024700,22920.000000,141.471008,0.0,0.0,493.000000,5.000000,13560.000000,23160.000000,6.310000,0.0,0.000000,13320.000000,0.0,0.0,93.389999,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13680.000000,7540,0.0,13680.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13680.000000,0.0,22920.000000
10,49.404911,50.468750,1498.392334,0.0,0.090000,0.0,0.0,0.0,1498.596924,0.0,142.821838,0.0,13920.000000,0.0,0.0,0.0,0.020000,11032200,22920.000000,141.409378,0.0,0.0,490.000000,5.000000,13680.000000,22920.000000,5.470000,0.0,0.000000,13320.000000,0.0,0.0,94.149994,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13560.000000,7500,0.0,13680.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.0,22920.000000
