ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,0.762253,2.257812,1499.777954,0.0,0.900000,0.0,0.0,0.0,1499.910278,0.0,74.319954,0.0,13920.000000,0.0,0.0,0.0,0.0,1857260,22800.000000,85.463120,0.0,0.0,352.000000,5.000000,13560.000000,22920.000000,10.780000,0.0,0.000000,13320.000000,0.0,0.870000,0.0,0.0,0.0,0.0,0.0,82.139999,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13680.000000,6590,0.0,13680.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.0,22920.000000
1,0.777331,2.242188,1499.703491,0.0,0.810000,0.0,0.0,0.0,1499.908813,0.0,74.441116,0.0,13920.000000,0.0,0.0,0.0,0.0,1863260,22920.000000,85.337669,0.0,0.0,349.000000,5.000000,13680.000000,23160.000000,35.660000,0.0,0.000000,13320.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.019997,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13560.000000,13560.000000,6000,0.0,13680.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13680.000000,0.0,22920.000000
2,0.774729,2.242188,1499.733032,0.0,0.960000,0.0,0.0,0.0,1499.612671,0.0,74.286476,0.0,13920.000000,0.0,0.0,0.0,0.080000,1869230,22920.000000,85.372009,0.0,0.0,352.000000,5.000000,13680.000000,22920.000000,13.560000,0.0,0.000000,13320.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.959999,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13560.000000,5970,0.0,13560.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.0,23160.000000
3,0.775971,2.242188,1499.608032,0.0,0.000000,0.0,0.0,0.0,1499.842529,0.0,74.447891,0.0,13920.000000,0.0,0.0,0.0,1.690000,1875150,22920.000000,85.727272,0.0,0.0,353.000000,5.000000,13560.000000,22920.000000,8.610000,0.0,0.000000,13440.000000,0.0,0.810000,0.0,0.0,0.0,0.0,0.0,83.809998,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13680.000000,5920,0.0,13560.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13680.000000,0.090000,22920.000000
4,0.776076,2.242188,1499.945679,0.0,0.000000,0.0,0.0,0.0,1499.572388,0.0,73.997231,0.0,13920.000000,0.0,0.0,0.0,0.0,1881200,22800.000000,85.553818,0.0,0.0,352.000000,5.000000,13560.000000,22800.000000,6.950000,0.0,0.000000,13320.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.049995,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13560.000000,13560.000000,6050,0.0,13560.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.0,23160.000000
5,0.775944,2.242188,1499.663696,0.0,0.000000,0.0,0.0,0.0,1499.863647,0.0,74.379021,0.0,13920.000000,0.0,0.0,0.0,0.0,1887080,22920.000000,85.616432,0.0,0.0,349.000000,5.000000,13680.000000,22800.000000,11.160000,0.0,0.000000,13320.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.839996,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13680.000000,13560.000000,5880,0.0,13680.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,0.0,22920.000000
6,0.775989,2.242188,1499.718872,0.0,0.000000,0.0,0.0,0.0,1499.913452,0.0,74.319466,0.0,13920.000000,0.0,0.0,0.0,0.890000,1893020,22920.000000,85.444893,0.0,0.0,353.000000,5.000000,13680.000000,22920.000000,5.500000,0.0,0.000000,13320.000000,0.0,0.900000,0.0,0.0,0.0,0.0,0.0,86.459999,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13560.000000,13560.000000,5940,0.0,13680.000000,0.0,23160.000000,22800.000000,0.000000,13560.000000,0.0,22920.000000,13680.000000,0.0,22800.000000
7,0.776068,2.242188,1499.738892,0.0,0.000000,0.0,0.0,0.0,1499.823486,0.0,74.422401,0.0,13920.000000,0.0,0.0,0.0,0.0,1899060,22800.000000,85.758743,0.0,0.0,352.000000,5.000000,13680.000000,22800.000000,17.560001,0.0,0.000000,13320.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.440002,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13560.000000,13560.000000,6040,0.0,13560.000000,0.0,22920.000000,22920.000000,0.000000,13560.000000,0.0,22800.000000,13800.000000,0.0,22920.000000
8,0.775980,2.242188,1499.716187,0.0,0.820000,0.0,0.0,0.0,1499.910889,0.0,74.356209,0.0,13920.000000,0.0,0.0,0.0,0.0,1904990,22920.000000,85.652870,0.0,0.0,353.000000,5.000000,13560.000000,22920.000000,13.170000,0.0,0.000000,13320.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.900002,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13680.000000,13560.000000,5930,0.0,13560.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.110000,23160.000000
9,0.775953,2.234375,1499.630127,0.0,0.000000,0.0,0.0,0.0,1499.906006,0.0,74.298851,0.0,13920.000000,0.0,0.0,0.0,0.0,1910890,22800.000000,85.550919,0.0,0.0,357.000000,5.000000,13560.000000,22920.000000,12.320000,0.0,0.000000,13320.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.740005,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13680.000000,13560.000000,5900,0.0,13680.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,0.0,22920.000000
