ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,0.757025,2.250000,1499.657471,31.059999,0.000000,0.0,0.0,0.0,1499.957397,0.0,74.421501,0.0,13920.000000,0.0,0.0,35.160000,0.0,1031640,22920.000000,87.417450,23.840000,0.0,353.000000,5.000000,13680.000000,22800.000000,3.140000,0.0,0.000000,13320.000000,0.0,1.160000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13560.000000,6460,0.0,13560.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.0,23160.000000
1,0.769453,2.234375,1499.777832,6.650000,0.000000,0.0,0.0,0.0,1499.957642,0.0,74.456627,0.0,13800.000000,0.0,0.0,57.590000,0.790000,1037590,22800.000000,87.242035,24.900002,0.0,357.000000,5.000000,13680.000000,22920.000000,2.350000,0.0,0.000000,13320.000000,0.0,1.290000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13560.000000,13560.000000,5950,0.0,13560.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,0.0,22800.000000
2,0.772135,2.242188,1499.609375,7.480000,0.000000,0.0,0.0,0.0,1499.957520,0.0,74.204033,0.0,13920.000000,0.0,0.0,55.709999,0.950000,1043590,22800.000000,87.000931,23.270000,0.0,354.000000,5.000000,13440.000000,22920.000000,3.550000,0.0,0.000000,13320.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13560.000000,13560.000000,6000,0.0,13560.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,1.050000,22920.000000
3,0.772135,2.242188,1499.734497,12.809999,0.780000,0.0,0.0,0.0,1499.898071,0.0,74.326538,0.0,13920.000000,0.0,0.0,37.020000,0.0,1049590,22920.000000,87.346634,24.270000,0.0,354.000000,5.000000,13680.000000,22920.000000,0.810000,0.0,0.000000,13320.000000,0.0,20.790001,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13560.000000,13560.000000,6000,0.0,13560.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,1.300000,23160.000000
4,0.772105,2.242188,1499.514160,13.080001,0.000000,0.0,0.0,0.0,1499.711060,0.0,74.389374,0.0,13920.000000,0.0,0.0,64.080002,0.0,1055570,22800.000000,87.414696,18.020000,0.0,355.000000,5.000000,13680.000000,22920.000000,1.630000,0.0,0.000000,13320.000000,0.0,1.050000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13680.000000,5980,0.0,13560.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.0,22920.000000
5,0.772043,2.234375,1499.548218,10.590000,0.000000,0.0,0.0,0.0,1499.899536,0.0,74.444450,0.0,13920.000000,0.0,0.0,60.760002,0.0,1061530,23160.000000,87.529129,24.459999,0.0,356.000000,5.000000,13560.000000,22920.000000,3.260000,0.0,0.000000,13320.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13560.000000,5960,0.0,13560.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.0,22800.000000
6,0.770746,2.234375,1499.703369,7.040000,0.790000,0.0,0.0,0.0,1499.907349,0.0,74.039017,0.0,13920.000000,0.0,0.0,34.900002,21.510000,1067460,22920.000000,87.433342,26.650000,0.0,354.000000,5.000000,13560.000000,22920.000000,1.570000,0.0,0.000000,13440.000000,0.0,1.570000,0.0,0.0,0.0,0.0,0.0,1.200000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13680.000000,5930,0.0,13560.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.0,22920.000000
7,0.770851,2.242188,1499.652344,13.290000,0.000000,0.0,0.0,0.0,1499.957520,0.0,74.368973,0.0,13920.000000,0.0,0.0,37.389999,0.0,1073470,22920.000000,87.383011,27.400002,0.0,354.000000,5.000000,13680.000000,22800.000000,2.510000,0.0,0.000000,13320.000000,0.0,19.299999,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.120000,0.000000,22920.000000,13560.000000,13680.000000,6010,0.0,13680.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.0,22800.000000
8,0.772043,2.234375,1499.749878,13.530000,1.270000,0.0,0.0,0.0,1499.815063,0.0,74.351433,0.0,13920.000000,0.0,0.0,34.049995,1.880000,1079400,22800.000000,87.609970,40.230000,0.0,349.000000,5.000000,13680.000000,22920.000000,2.710000,0.0,0.000000,13440.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13680.000000,5930,0.0,13560.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,1.260000,22920.000000
9,0.773411,2.242188,1499.554199,9.010000,0.000000,0.0,0.0,0.0,1499.912720,0.0,74.482414,0.0,13920.000000,0.0,0.0,36.049999,1.640000,1085400,22800.000000,87.543861,51.540001,0.0,355.000000,5.000000,13680.000000,23160.000000,0.810000,0.0,0.000000,13440.000000,0.0,0.120000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13680.000000,13680.000000,6000,0.0,13560.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.0,22920.000000
10,0.769353,2.234375,1499.652100,9.520000,1.210000,0.0,0.0,0.0,1499.854492,0.0,74.207237,0.0,13920.000000,0.0,0.0,53.820000,1.160000,1091300,22920.000000,87.470543,28.099998,0.0,340.000000,5.000000,13560.000000,22920.000000,1.580000,0.0,0.000000,13320.000000,0.0,0.110000,0.0,0.0,0.0,0.0,0.0,1.210000,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13680.000000,5900,0.0,13560.000000,0.0,22800.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.0,22920.000000
11,0.772181,2.234375,1499.622925,7.400000,0.000000,0.0,0.0,0.0,1499.957520,0.0,74.323364,0.0,13920.000000,0.0,0.0,57.849998,0.0,1097320,22800.000000,87.626175,32.949997,0.0,358.000000,5.000000,13680.000000,22920.000000,1.660000,0.0,0.000000,13320.000000,0.0,0.120000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13560.000000,6020,0.0,13560.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.0,22920.000000
12,0.769312,2.234375,1499.575806,7.370000,0.000000,0.0,0.0,0.0,1499.902832,0.0,74.282944,0.0,13920.000000,0.0,0.0,37.770000,0.0,1103220,22800.000000,87.505165,53.110001,0.0,355.000000,5.000000,13560.000000,22920.000000,1.640000,0.0,0.000000,13320.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13560.000000,5900,0.0,13560.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.0,23160.000000
