ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,71.944244,72.687500,1497.858765,0.0,3.099999,0.0,0.0,0.020000,1497.518677,0.0,88.563599,0.0,13920.000000,0.0,0.0,0.0,37.420010,14103450,22920.000000,87.042641,0.0,0.0,372.000000,5.000000,13560.000000,23160.000000,25.750000,0.070000,0.000000,13320.000000,0.0,1.839999,0.0,0.0,0.0,0.180000,0.0,10.890004,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.760000,0.000000,23160.000000,13560.000000,13680.000000,6520,0.120000,13680.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13680.000000,4.019998,22920.000000
1,74.433556,75.289062,1497.639160,0.0,2.679999,0.0,0.0,0.070000,1497.850098,0.0,107.810600,0.0,13920.000000,0.0,0.0,0.0,36.180012,14113540,22920.000000,106.351410,0.0,0.0,488.000000,5.000000,13560.000000,22800.000000,26.270000,0.120000,0.000000,13320.000000,0.0,2.119999,0.0,0.0,0.0,0.130000,0.0,11.360003,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.810000,0.000000,22920.000000,13680.000000,13560.000000,10090,0.160000,13680.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,3.689998,22920.000000
2,73.881226,74.765625,1497.899780,56.049999,1.020000,0.0,0.0,0.0,1497.657471,0.0,120.354897,0.0,13920.000000,0.0,0.0,0.0,0.700000,14125930,22920.000000,118.940125,39.549999,0.0,487.000000,5.000000,13680.000000,22920.000000,0.620000,0.0,0.000000,13320.000000,0.0,0.200000,0.0,0.0,0.0,0.070000,0.0,0.390000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.060000,0.000000,23160.000000,13560.000000,13560.000000,12390,0.020000,13680.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.060000,22920.000000
3,73.634872,74.507812,1497.915527,53.990002,0.870000,0.0,0.0,0.020000,1497.882690,0.0,120.420013,0.0,13920.000000,0.0,0.0,0.0,0.860000,14136400,22920.000000,119.119179,40.799999,0.0,487.000000,5.000000,13560.000000,22920.000000,0.320000,0.0,0.000000,13440.000000,0.0,0.450000,0.0,0.0,0.0,0.040000,0.0,0.030000,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.430000,0.000000,22920.000000,13560.000000,13560.000000,10470,0.020000,13680.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.440000,22800.000000
4,73.565926,74.445312,1497.900024,51.060001,1.020000,0.0,0.0,0.020000,1497.578979,0.0,120.464508,0.0,13920.000000,0.0,0.0,0.0,1.760000,14147320,22800.000000,119.157639,42.360001,0.0,487.000000,5.000000,13560.000000,23160.000000,0.320000,0.0,0.000000,13320.000000,0.0,0.460000,0.0,0.0,0.0,0.030000,0.0,0.020000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.050000,0.000000,22920.000000,13560.000000,13680.000000,10920,0.030000,13560.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22560.000000,13800.000000,0.110000,22920.000000
5,73.612404,74.492188,1497.645386,53.280003,1.670000,0.0,0.0,0.020000,1497.817749,0.0,120.617172,0.0,13920.000000,0.0,0.0,0.0,0.720000,14158050,22920.000000,119.171700,40.649998,0.0,490.000000,5.000000,13680.000000,22920.000000,0.310000,0.0,0.000000,13320.000000,0.0,0.180000,0.0,0.0,0.0,0.040000,0.0,0.020000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.410000,0.000000,23280.000000,13680.000000,13680.000000,10730,0.070000,13560.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,0.380000,22920.000000
6,73.609337,74.492188,1497.811157,54.849998,0.760000,0.0,0.0,0.020000,1497.857056,0.0,120.695015,0.0,13920.000000,0.0,0.0,0.0,0.870000,14169290,22800.000000,119.226746,40.910000,0.0,490.000000,5.000000,13560.000000,22920.000000,0.510000,0.020000,0.000000,13440.000000,0.0,0.200000,0.0,0.0,0.0,0.040000,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.050000,0.000000,22920.000000,13560.000000,13560.000000,11240,0.030000,13680.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.250000,22920.000000
7,73.570587,74.453125,1497.642090,54.529999,1.190000,0.0,0.0,0.0,1497.631714,0.0,120.680923,0.0,13800.000000,0.0,0.0,0.0,0.680000,14180120,22920.000000,119.190887,40.930000,0.0,491.000000,5.000000,13680.000000,22920.000000,0.180000,0.0,0.000000,13320.000000,0.0,0.120000,0.0,0.0,0.0,0.040000,0.0,0.030000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.070000,0.000000,22920.000000,13560.000000,13680.000000,10830,0.040000,13560.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.070000,23160.000000
8,73.624107,74.507812,1497.405273,51.990002,1.120000,0.0,0.0,0.0,1497.708862,0.0,120.667755,0.0,13920.000000,0.0,0.0,0.0,0.580000,14190700,22800.000000,119.212929,41.660000,0.0,488.000000,5.000000,13680.000000,22800.000000,0.250000,0.0,0.000000,13320.000000,0.0,0.190000,0.0,0.0,0.0,0.810000,0.0,0.020000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.350000,0.000000,22920.000000,13560.000000,13560.000000,10580,0.0,13560.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13680.000000,0.320000,22920.000000
9,73.573463,74.453125,1497.902344,54.200001,1.310000,0.0,0.0,0.040000,1497.868408,0.0,120.624260,0.0,13920.000000,0.0,0.0,0.0,0.660000,14201540,22800.000000,119.151642,40.760002,0.0,492.000000,5.000000,13560.000000,22920.000000,0.330000,0.0,0.000000,13320.000000,0.0,0.420000,0.0,0.0,0.0,0.040000,0.0,0.030000,0.000000,0.0,0.0,0.0,0.0,0.0,23160.000000,0.0,0.0,0.0,0.0,0.0,0.070000,0.000000,23160.000000,13680.000000,13560.000000,10840,0.0,13560.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,0.100000,22920.000000
