Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
230717940,88.8166,87.7406,6.29,14.49,27.03,0,0,0,0,0,0,0,384,5,2.01562,0.611801,4360
230722400,91.1833,85.5132,6.36,14.08,26.66,0,0,0,0,0,0,0,398,5,2.17969,0.774275,4460
230726880,88.9888,73.5286,19.19,21.87,15.74,0,0,0,0,43.01,0,0,399,5,2.1875,0.777747,4480
230730720,104.375,85.1746,6.27,9.96,0,0,0,0,0,83.67,0,0,395,5,2.125,0.775178,3840
230734540,104.444,85.2345,5.83,10.24,0.1,0,0,0,0,83.72,0,0,400,5,2.15625,0.779205,3820
230738380,104.183,84.9406,7.17,10.58,0.7,0,0,0,0,81.36,0,0,398,5,2.125,0.771078,3840
230742180,105.715,86.1637,8.18,9.88,0.4,0,0,0,0,81.33,0,0,403,5,2.13281,0.775115,3800
230746040,103.787,84.6209,7.74,9.67,0.48,0,0,0,0,81.71,0,0,395,5,2.13281,0.775146,3860
230749840,105.187,85.7381,8.51,10.49,0.1,0,0,0,0,80.5,0,0,398,5,2.13281,0.77716,3800
230753680,104.223,84.9457,7.49,9.89,0.6,0,0,0,0,81.83,0,0,396,5,2.13281,0.775115,3840
230757500,104.421,85.1036,8.36,10.38,0.4,0,0,0,0,80.87,0,0,395,5,2.13281,0.779205,3820
230761320,104.67,85.2825,6.68,10.62,0.6,0,0,0,0,82.1,0,0,399,5,2.11719,0.771024,3820
230764160,104.778,86.0152,7.13,9.84,0.55,0,0,0,0,82.38,0,0,398,5,2.13281,0.775115,2840
230767980,105.013,85.5453,7.48,8.82,0.2,0,0,0,0,83.4,0,0,398,5,2.25781,0.775748,3820
230771820,104.539,85.1741,7.38,10.46,0.3,0,0,0,0,81.67,0,0,395,5,2.125,0.775146,3840
230775640,105.309,85.7642,7.33,9.18,0.3,0,0,0,0,82.9,0,0,401,5,2.14062,0.77716,3820
230779480,104.011,84.7158,7.59,9.47,0.4,0,0,0,0,82.55,0,0,395,5,2.125,0.775146,3840
230783320,104.567,85.1405,7.39,9.6,0.4,0,0,0,0,82.11,0,0,396,5,2.11719,0.773112,3840
230787120,105.472,85.9144,6.83,9.39,0.2,0,0,0,0,83.37,0,0,396,5,2.14062,0.779194,3800
230790960,104.786,85.3602,7.68,9.65,0.3,0,0,0,0,82.27,0,0,397,5,2.10938,0.769106,3840
230794800,104.16,84.8145,6.5,9.43,0.65,0,0,0,0,83.32,0,0,397,5,2.13281,0.777181,3840
230798620,104.964,85.4927,8.18,8.04,0.2,0,0,0,0,83.4,0,0,395,5,2.13281,0.779194,3820
230802440,104.819,85.3817,8.01,8.89,0.1,0,0,0,0,82.91,0,0,399,5,2.125,0.771078,3820
230806280,104.136,84.8358,6.48,10.87,0,0,0,0,0,82.43,0,0,396,5,2.13281,0.779205,3840
230810100,104.873,85.4088,6.78,10.11,0.2,0,0,0,0,82.6,0,0,397,5,2.13281,0.775115,3820
230813920,104.82,85.3853,6.87,9.97,0.2,0,0,0,0,82.67,0,0,394,5,2.13281,0.77716,3820
230817760,104.432,85.0464,7.18,9.81,0.1,0,0,0,0,82.9,0,0,398,5,2.11719,0.771078,3840
