Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
225634740,88.5103,87.5257,6.66,13.38,26.39,0,0,0,0,0,0,0,385,5,2.00781,0.610795,4400
225639240,90.4297,84.8316,7.78,13.48,24.69,0,0,0,0,0,0,0,394,5,2.1875,0.776042,4500
225643700,85.5294,74.125,23.18,23.88,14.96,0,0,0,0,37.28,0,0,393,5,2.1875,0.779498,4460
225647560,97.3921,84.4438,15.56,15.91,0.4,0,0,0,0,67.94,0,0,396,5,2.13281,0.77113,3860
225651380,98.2974,85.2636,15.22,15.56,0.2,0,0,0,0,68.72,0,0,393,5,2.11719,0.771024,3820
225655180,99.2229,86.0958,16.02,17.8,0,0,0,0,0,65.78,0,0,396,5,2.125,0.771024,3800
225659040,97.1877,84.3011,15.27,17.94,0.1,0,0,0,0,66.5,0,0,393,5,2.125,0.769043,3860
225662840,99.0121,85.8583,16.13,16.59,0.36,0,0,0,0,66.73,0,0,396,5,2.13281,0.775082,3800
225665680,98.0565,85.6432,13.98,16.94,0,0,0,0,0,68.89,0,0,397,5,2.11719,0.769043,2840
225669500,98.8496,85.7442,14.74,17.21,0.3,0,0,0,0,67.47,0,0,392,5,2.25,0.770168,3820
225673340,98.2564,85.1959,15.94,17.1,0.2,0,0,0,0,66.56,0,0,393,5,2.13281,0.769043,3840
225677180,98.0499,85.0057,15.04,17.76,0.4,0,0,0,0,66.81,0,0,392,5,2.125,0.771078,3840
225680980,98.9278,85.7093,13.37,17.33,0.39,0,0,0,0,68.79,0,0,395,5,2.11719,0.771024,3800
225684800,98.2084,85.1798,16.19,14.74,0.2,0,0,0,0,68.38,0,0,393,5,2.11719,0.768979,3820
225688620,98.6175,85.4825,15.04,17.05,0.2,0,0,0,0,67.41,0,0,396,5,2.13281,0.773026,3820
225692460,98.2178,85.1715,13.85,15.51,0.33,0,0,0,0,69.98,0,0,392,5,2.11719,0.769043,3840
225696280,99.547,86.2412,14.38,17.84,0.5,0,0,0,0,66.77,0,0,396,5,2.125,0.771024,3820
225700140,98.5367,85.4487,14.66,18.2,0.59,0,0,0,0,65.95,0,0,391,5,2.13281,0.775178,3860
225704000,98.5933,85.472,14.72,18.74,0.79,0,0,0,0,64.93,0,0,394,5,2.13281,0.77113,3860
225707880,97.0149,84.1163,15.07,20.14,0.4,0,0,0,0,64.19,0,0,392,5,2.11719,0.767155,3880
225711680,99.1992,86.0012,14.11,16.56,0.4,0,0,0,0,68.83,0,0,391,5,2.11719,0.773069,3800
225715540,97.7109,84.714,14.39,15.57,0.4,0,0,0,0,69.35,0,0,396,5,2.125,0.769043,3860
225719360,98.5991,85.5029,15.54,15.53,0.5,0,0,0,0,68.15,0,0,395,5,2.125,0.771024,3820
225723180,98.6175,85.4794,15.91,15.78,0.2,0,0,0,0,67.84,0,0,395,5,2.125,0.769043,3820
225727020,97.7163,84.7534,15.55,14.03,0.3,0,0,0,0,69.82,0,0,392,5,2.13281,0.775082,3840
225730820,99.7019,86.4319,14.24,17.3,0.5,0,0,0,0,67.18,0,0,396,5,2.10938,0.764974,3800
225734660,97.5515,84.5662,15.36,16.33,0.4,0,0,0,0,67.81,0,0,393,5,2.13281,0.771078,3840
225738480,98.507,85.3996,15.06,15.84,0.78,0,0,0,0,68.14,0,0,399,5,2.125,0.77097,3820
225741320,98.2381,85.8398,14.36,17.56,0.64,0,0,0,0,67.24,0,0,397,5,2.125,0.773069,2840
225745120,99.5292,86.3322,12.66,16.84,0.3,0,0,0,0,69.72,0,0,393,5,2.25781,0.772939,3800
225748960,98.6847,-16980.2,14.63,17.63,0.6,0,0,0,0,66.78,0,0,395,5,2.11719,0.767082,3840
225752820,98.2159,85.1829,15.39,17.36,0.3,0,0,0,0,65.78,0,0,393,5,2.125,0.77113,3860
225756680,97.3324,84.3447,14.25,18.14,0.59,0,0,0,0,66.73,0,0,397,5,2.125,0.771078,3860
225760480,99.153,86.0196,15.44,15.24,0.4,0,0,0,0,68.74,0,0,392,5,2.11719,0.771024,3800
225764320,97.8943,84.8664,13.92,17.31,0.2,0,0,0,0,67.97,0,0,396,5,2.13281,0.771024,3840
225768120,98.7521,85.6486,15.74,17.4,0.3,0,0,0,0,66.37,0,0,391,5,2.11719,0.768979,3800
225771960,98.2544,85.189,15.66,17.61,0.4,0,0,0,0,65.93,0,0,397,5,2.11719,0.768979,3840
225775800,98.2503,85.2289,15.75,16.95,0.34,0,0,0,0,66.35,0,0,393,5,2.125,0.773112,3840
