Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
228164980,88.6029,87.5716,7.3,15.02,26.46,0,0,0,0,0,0,0,383,5,2.01562,0.611023,4360
228169460,90.8334,85.238,6.92,17.17,25.72,0,0,0,0,0,0,0,400,5,2.1875,0.775995,4480
228173940,85.1754,73.7495,19,18,17.21,0,0,43.91,0,1.79,0,0,391,5,2.19531,0.78125,4480
228177780,98.0214,84.8863,4.39,3.48,0.1,0,0,88.35,0,3.29,0,0,392,5,2.125,0.773196,3840
228181600,98.4324,85.2558,3.19,4.44,0.2,0,0,88.89,0,2.99,0,0,395,5,2.125,0.775146,3820
228185420,98.8128,85.5382,4.58,3.28,0.4,0,0,87.36,0,4.08,0,0,393,5,2.14062,0.777138,3820
228189240,98.5254,85.3091,4.2,4.55,0,0,0,87.45,0,3.49,0,0,396,5,2.125,0.777181,3820
228193080,97.9075,84.7366,4.65,3.26,0.6,0,0,88.75,0,2.76,0,0,392,5,2.14062,0.779205,3840
228196900,98.9539,85.6905,4.37,3.49,0.1,0,0,88.01,0,3.58,0,0,395,5,2.125,0.77716,3820
228200740,97.9421,84.7389,4.28,4.19,0.3,0,0,88.33,0,2.79,0,0,392,5,2.13281,0.775146,3840
228204540,98.6513,85.4037,4.39,3.79,0.23,0,0,88.09,0,3.39,0,0,395,5,2.14062,0.78125,3800
228208340,98.8178,85.5443,3.88,4.28,0.4,0,0,88.21,0,3.21,0,0,392,5,2.11719,0.771024,3800
228212180,98.5077,85.2417,4.37,3.79,0.6,0,0,87.61,0,3.32,0,0,399,5,2.125,0.77716,3840
228216020,97.7091,84.6334,3.99,3.29,0.1,0,0,89.54,0,3.09,0,0,392,5,2.14062,0.78125,3840
228219820,99.2188,85.8311,4.18,3.39,0.5,0,0,88.35,0,3.19,0,0,395,5,2.125,0.775115,3800
228223640,98.6492,85.4354,3.19,4.49,0.3,0,0,87.44,0,4.31,0,0,393,5,2.13281,0.77716,3820
228227460,98.5653,85.2986,3.85,4.09,0.2,0,0,88.21,0,3.49,0,0,392,5,2.125,0.775146,3820
228231300,98.1517,84.9681,4.35,3.99,0.2,0,0,87.45,0,3.59,0,0,393,5,2.13281,0.779194,3840
228235120,98.5285,85.2171,2.79,3.29,0.6,0,0,89.81,0,3.41,0,0,392,5,2.125,0.775146,3820
228238940,98.4027,85.1488,4.39,2.69,0.3,0,0,89.41,0,2.99,0,0,396,5,2.125,0.77716,3820
228242760,98.4283,85.2156,4.41,3.78,0.4,0,0,88.04,0,3.09,0,0,392,5,2.125,0.77716,3820
228245560,99.248,86.4655,3.99,4.43,0.4,0,0,87.58,0,3.5,0,0,401,5,2.14062,0.777138,2800
228249400,98.702,85.4144,3.49,3.51,0.2,0,0,88.62,0,3.79,0,0,392,5,2.23438,0.772997,3840
228253240,97.9451,84.7575,3.98,2.99,0.3,0,0,89.34,0,3.39,0,0,394,5,2.14062,0.779215,3840
228257040,99.154,85.8118,3.67,3.43,0.2,0,0,89.81,0,2.69,0,0,392,5,2.125,0.77716,3800
228260880,98.2808,85.082,3.94,3.49,0.5,0,0,88.5,0,3.39,0,0,391,5,2.14062,0.779194,3840
228264700,98.7412,85.4357,4.08,3.78,0.4,0,0,88.33,0,3.18,0,0,392,5,2.125,0.775146,3820
228268540,98.3622,85.0693,3.89,3.39,0,0,0,89.05,0,3.19,0,0,392,5,2.125,0.775146,3840
228272360,98.8516,85.5903,4.15,3.39,0.5,0,0,88.95,0,2.71,0,0,395,5,2.14062,0.779205,3820
228276180,98.9069,85.54,3.79,3.83,0.1,0,0,88.67,0,3.39,0,0,393,5,2.125,0.777181,3820
228280040,98.3049,85.0705,3.09,4.09,0.29,0,0,89.64,0,2.69,0,0,397,5,2.125,0.775146,3860
228283880,98.1873,85.025,4.41,2.59,0.1,0,0,89.17,0,3.59,0,0,393,5,2.14844,0.779205,3840
228287700,98.6062,85.2948,4.38,4.09,0.2,0,0,87.85,0,3.4,0,0,399,5,2.125,0.775146,3820
228291540,98.5372,85.3104,3.89,3,0,0,0,89.9,0,2.89,0,0,392,5,2.11719,0.775146,3840
228295380,98.1049,84.8551,3.79,3.67,0.3,0,0,88.81,0,3.12,0,0,393,5,2.14844,0.78125,3840
228299180,99.0255,85.6399,3.49,3.59,0.42,0,0,89.02,0,3.49,0,0,393,5,2.11719,0.771078,3800
228303000,98.4569,85.2166,3.38,3.08,0.09,0,0,91.17,0,2.19,0,0,392,5,2.14062,0.78125,3820
228306820,98.5438,85.2335,3.09,5,0.3,0,0,88.03,0,3.29,0,0,395,5,2.125,0.77716,3820
228310620,98.8137,85.5633,3.69,2.94,0.2,0,0,88.99,0,3.89,0,0,393,5,2.13281,0.775115,3800
228314460,98.1486,84.8806,2.69,3.88,0.3,0,0,89.22,0,3.52,0,0,397,5,2.13281,0.77716,3840
228318260,98.8672,85.5299,4.58,4.52,0.4,0,0,86.51,0,3.98,0,0,391,5,2.13281,0.775115,3800
