Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
226515340,88.0152,86.9945,8.05,14.37,26.87,0,0,0,0,0,0,0,383,5,2.02344,0.614091,4420
226519820,91.2458,85.3612,7.35,13.89,26.68,0,0,0,0,0,0,0,398,5,2.1875,0.779506,4480
226524300,87.3866,73.2361,20.92,25.46,53.64,0,0,0,0,0,0,0,393,5,2.19531,0.777747,4480
226528120,102.266,-17070.2,15.53,15.84,68.45,0,0,0,0,0,0,0,394,5,2.125,0.775178,3820
226531940,-17052.6,85.1594,15.95,16.48,67.57,0,0,0,0,0,0,0,394,5,2.13281,0.777138,3820
226535760,102.921,85.4672,14.87,16.47,68.65,0,0,0,0,0,0,0,397,5,2.125,0.77716,3820
226539600,101.951,84.6659,13.65,17.13,69.13,0,0,0,0,0,0,0,392,5,2.125,0.775146,3840
226543400,103.164,85.7023,14.42,16.03,69.25,0,0,0,0,0,0,0,397,5,2.14062,0.779194,3800
226547200,103.339,85.8052,14.59,14.21,71.1,0,0,0,0,0,0,0,394,5,2.14062,0.78125,3800
226551040,102.569,85.2006,14,15.52,70.18,0,0,0,0,0,0,0,397,5,2.11719,0.777181,3840
226554860,102.391,85.0689,15.52,15.66,68.73,0,0,0,0,0,0,0,394,5,2.13281,0.77716,3820
226558680,102.785,85.3787,16.34,16.74,66.73,0,0,0,0,0,0,0,399,5,2.125,0.77716,3820
226562480,103.246,85.7166,13.8,16.55,69.33,0,0,0,0,0,0,0,394,5,2.13281,0.77716,3800
226566320,102.234,84.9073,14.27,16.58,68.95,0,0,0,0,0,0,0,395,5,2.125,0.775115,3840
226570140,103.155,85.6795,14.58,15.85,69.38,0,0,0,0,0,0,0,394,5,2.13281,0.78125,3820
226573960,102.575,85.1791,14.09,16.37,69.55,0,0,0,0,0,0,0,395,5,2.13281,0.775146,3820
226577780,102.693,85.2303,14.01,15.81,69.99,0,0,0,0,0,0,0,393,5,2.14062,0.78125,3820
226581600,102.888,85.4648,14.87,16.88,67.65,0,0,0,0,0,0,0,393,5,2.125,0.77716,3820
226585420,102.708,85.2726,12.86,15.42,71.52,0,0,0,0,0,0,0,393,5,2.13281,0.77716,3820
226589240,102.423,85.0612,15.29,14.26,70.36,0,0,0,0,0,0,0,395,5,2.125,0.77716,3820
226593040,103.434,85.9438,15.46,14.96,69.27,0,0,0,0,0,0,0,397,5,2.125,0.775115,3800
226596880,102.326,84.9712,15.73,16.73,67.55,0,0,0,0,0,0,0,394,5,2.13281,0.779205,3840
226600680,102.724,85.334,14.86,18.48,66.46,0,0,0,0,0,0,0,397,5,2.13281,0.77716,3800
226604500,103.38,85.8506,12.88,17.35,69.58,0,0,0,0,0,0,0,394,5,2.13281,0.779194,3820
226608320,102.464,85.0606,14.26,17.04,68.61,0,0,0,0,0,0,0,397,5,2.125,0.777181,3820
226612160,102.285,84.9852,13.3,16.16,70.45,0,0,0,0,0,0,0,393,5,2.13281,0.779194,3840
226615960,103.221,85.7006,14.03,15.15,70.53,0,0,0,0,0,0,0,397,5,2.11719,0.775146,3800
226619780,103.209,85.6891,13.25,15.74,70.61,0,0,0,0,0,0,0,395,5,2.14062,0.78125,3820
226623620,102.466,85.0615,15.71,19,64.78,0,0,0,0,0,0,0,394,5,2.13281,0.777181,3840
226627440,102.754,85.314,13.75,17.97,68.08,0,0,0,0,0,0,0,394,5,2.11719,0.773112,3820
226631260,102.842,85.3669,15.55,14.92,69.23,0,0,0,0,0,0,0,393,5,2.14062,0.78125,3820
226635080,102.609,85.1619,15.72,17.78,66.41,0,0,0,0,0,0,0,394,5,2.125,0.775146,3820
226638900,102.34,85.0374,14.41,16.62,68.87,0,0,0,0,0,0,0,394,5,2.13281,0.78125,3820
226642700,103.173,85.6157,14.98,16.32,68.7,0,0,0,0,0,0,0,394,5,2.13281,0.777138,3800
226646520,102.607,85.1667,13.82,16.16,69.83,0,0,0,0,0,0,0,394,5,2.13281,0.779194,3820
226650320,102.861,85.3773,16.92,14.36,68.53,0,0,0,0,0,0,0,392,5,2.10938,0.773112,3800
226654120,103.322,85.7812,14.56,18.61,66.54,0,0,0,0,0,0,0,394,5,2.14844,0.78125,3800
226657960,102.97,85.482,16.39,15.99,67.12,0,0,0,0,0,0,0,397,5,2.11719,0.775146,3840
226661800,102.696,85.2671,13.75,18.15,67.92,0,0,0,0,0,0,0,394,5,2.14062,0.78125,3840
226665620,102.98,85.5016,14.8,16.81,68.09,0,0,0,0,0,0,0,399,5,2.13281,0.777181,3820
226669460,102.323,84.948,14.94,17.98,66.78,0,0,0,0,0,0,0,394,5,2.11719,0.773112,3840
226673260,103.146,85.5795,12.67,14.56,72.47,0,0,0,0,0,0,0,400,5,2.14062,0.783306,3800
226677080,102.985,85.4502,14.94,17.81,67.06,0,0,0,0,0,0,0,395,5,2.10938,0.771078,3820
226680900,102.861,85.4027,11.42,17.69,70.79,0,0,0,0,0,0,0,398,5,2.14062,0.783306,3820
226684740,102.478,85.0642,14.45,15.23,70.32,0,0,0,0,0,0,0,394,5,2.125,0.777181,3840
226688560,102.895,85.4012,13.43,16.79,69.69,0,0,0,0,0,0,0,401,5,2.13281,0.77716,3820
226692380,102.765,85.3378,15.24,16.24,68.44,0,0,0,0,0,0,0,393,5,2.13281,0.775115,3820
226696200,103.858,86.2223,15.06,17.06,67.3,0,0,0,0,0,0,0,393,5,2.13281,0.78125,3820
226700040,102.052,84.7501,15.44,18.32,66.24,0,0,0,0,0,0,0,394,5,2.125,0.775178,3840
226703860,102.688,85.2266,13.53,16.35,69.73,0,0,0,0,0,0,0,395,5,2.13281,0.779194,3820
226707680,102.736,85.2488,14.14,15.84,69.83,0,0,0,0,0,0,0,397,5,2.125,0.77716,3820
226711500,103.167,85.6691,15.04,14.83,69.48,0,0,0,0,0,0,0,394,5,2.13281,0.77716,3820
226715320,102.685,85.235,14.53,14.38,70.7,0,0,0,0,0,0,0,397,5,2.125,0.777181,3820
226719140,102.8,85.3574,14.04,17.15,68.51,0,0,0,0,0,0,0,394,5,2.13281,0.779194,3820
226722960,103.166,85.6228,14.64,17.04,68.21,0,0,0,0,0,0,0,399,5,2.13281,0.779205,3820
226726800,102.787,85.3704,12.35,17.61,69.84,0,0,0,0,0,0,0,393,5,2.14062,0.779205,3840
226730620,102.793,85.3797,12.36,16.36,71.1,0,0,0,0,0,0,0,400,5,2.13281,0.777181,3820
226734460,102.317,84.9197,15.05,15.7,69.06,0,0,0,0,0,0,0,394,5,2.11719,0.775146,3840
226738260,103.383,85.8003,14.8,16.28,68.83,0,0,0,0,0,0,0,394,5,2.13281,0.77716,3800
226742100,103.583,86.0245,13.26,16.28,69.68,0,0,0,0,0,0,0,393,5,2.13281,0.77716,3840
226745960,102.069,84.7312,13.97,16.24,69.44,0,0,0,0,0,0,0,395,5,2.14062,0.779226,3860
226749800,102.219,84.849,14.35,16.1,69.36,0,0,0,0,0,0,0,398,5,2.13281,0.78125,3840
226753600,103.445,85.8954,16.13,15.93,67.84,0,0,0,0,0,0,0,394,5,2.125,0.773112,3800
226757440,102.154,84.8022,15.98,14.94,68.89,0,0,0,0,0,0,0,397,5,2.13281,0.77716,3840
226761240,103.347,85.809,12.74,17.26,69.81,0,0,0,0,0,0,0,394,5,2.125,0.77716,3800
226765060,102.634,85.2018,15.17,17.81,66.52,0,0,0,0,0,0,0,396,5,2.14062,0.78125,3820
226768880,102.575,85.1634,15.36,17.64,66.9,0,0,0,0,0,0,0,394,5,2.125,0.77716,3820
226772700,102.89,85.4298,13.65,15.94,70.41,0,0,0,0,0,0,0,398,5,2.13281,0.77716,3820
226776520,102.273,84.8791,13.94,16.76,69.2,0,0,0,0,0,0,0,396,5,2.125,0.775115,3820
226780320,103.356,85.8352,15.06,15.24,69.52,0,0,0,0,0,0,0,394,5,2.13281,0.779194,3800
226784120,103.342,85.753,13.9,15.91,69.87,0,0,0,0,0,0,0,394,5,2.14844,0.78125,3800
226787960,102.284,84.9589,11.97,20.5,67.44,0,0,0,0,0,0,0,394,5,2.11719,0.773112,3840
226791760,103.191,85.6363,14.01,16.78,69.02,0,0,0,0,0,0,0,397,5,2.13281,0.779205,3800
226795600,102.717,85.2671,14.34,14.91,70.35,0,0,0,0,0,0,0,393,5,2.13281,0.779205,3840
226799440,102.319,84.9213,13.62,17.65,68.64,0,0,0,0,0,0,0,398,5,2.13281,0.777181,3840
226803260,103.07,85.5678,13.01,15.99,70.92,0,0,0,0,0,0,0,394,5,2.125,0.775115,3820
226807060,103.208,85.6856,13.72,17.19,68.99,0,0,0,0,0,0,0,397,5,2.13281,0.779205,3800
226810900,102.326,84.9497,12.18,18.6,69.23,0,0,0,0,0,0,0,395,5,2.125,0.77716,3840
226814700,103.323,85.7848,13.63,18.87,67.4,0,0,0,0,0,0,0,394,5,2.15625,0.783306,3800
226818540,102.888,85.4716,14.44,17.52,67.35,0,0,0,0,0,0,0,394,5,2.125,0.773112,3840
226822380,101.988,84.6456,13.82,16.53,69.55,0,0,0,0,0,0,0,395,5,2.13281,0.779215,3840
226826180,103.62,86.0177,13.95,17.24,68.68,0,0,0,0,0,0,0,394,5,2.11719,0.775115,3800
226830020,102.198,84.8846,13.6,17.67,68.63,0,0,0,0,0,0,0,394,5,2.14062,0.779205,3840
226833840,103.354,85.7657,16.63,15.51,67.58,0,0,0,0,0,0,0,397,5,2.13281,0.779205,3820
226837680,102.332,84.9655,12.96,17.82,68.89,0,0,0,0,0,0,0,394,5,2.125,0.775146,3840
226841520,103.193,85.7076,12.95,13.81,72.84,0,0,0,0,0,0,0,396,5,2.13281,0.779205,3840
226845360,102.578,85.169,16.41,13.06,70.44,0,0,0,0,0,0,0,394,5,2.13281,0.777202,3840
226849180,102.94,85.4288,15.13,14.79,69.88,0,0,0,0,0,0,0,399,5,2.13281,0.779205,3820
226853000,103.924,86.279,12.89,15.57,71.16,0,0,0,0,0,0,0,394,5,2.13281,0.77716,3820
226856880,101.083,83.931,14.79,15.03,69.98,0,0,0,0,0,0,0,398,5,2.14062,0.78125,3880
226860680,103.49,85.8923,15.44,14.07,70.5,0,0,0,0,0,0,0,393,5,2.11719,0.775115,3800
226864500,103.109,85.6231,12.28,18.86,68.68,0,0,0,0,0,0,0,394,5,2.13281,0.77716,3820
226868320,102.918,85.3761,14.11,16.94,68.71,0,0,0,0,0,0,0,393,5,2.125,0.775146,3820
226872160,99.2238,85.1293,33.14,33.43,33.23,0,0,0,0,0,0,0,395,5,2.14062,0.77716,3840
226875980,105.776,88.4576,11.96,15.04,71.52,0,0,0,0,0,0,0,397,5,2.13281,0.78125,3820
226879940,98.3517,82.3484,14.09,15.04,70.77,0,0,0,0,0,0,0,394,5,2.14844,0.777304,3960
226883760,105.039,87.9632,13.89,15.45,68.96,0,0,0,0,0,0,0,397,5,2.125,0.775115,3820
226887700,101.895,85.1959,13.64,16.91,68.21,0,0,0,0,0,0,0,394,5,2.14062,0.777284,3940
226891620,101.222,84.7661,16.24,15.08,67.55,0,0,0,0,0,0,0,394,5,2.14844,0.779257,3920
