Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
227349300,89.4567,88.426,7.75,15.11,24.12,0,0,0,0,0,0,0,383,5,2.00781,0.612039,4340
227353780,90.7728,85.1508,6.78,14.66,27.6,0,0,0,0,0,0,0,399,5,2.19531,0.776018,4480
227358240,87.7312,73.8874,21.96,25.39,16.3,0,0,0,0,36.05,0,0,396,5,2.17188,0.776018,4460
227362100,100.827,84.2571,14.38,15.13,0.2,0,0,0,0,70.3,0,0,393,5,2.13281,0.777202,3860
227365900,102.497,85.6506,14.77,16.41,0.4,0,0,0,0,68.42,0,0,396,5,2.13281,0.77716,3800
227369740,101.314,84.6347,15.39,16.75,0.2,0,0,0,0,67.47,0,0,394,5,2.125,0.775115,3840
227373540,102.746,85.8234,15.85,17.04,0.38,0,0,0,0,66.53,0,0,394,5,2.14062,0.783306,3800
227377360,101.896,85.1179,13.65,16.36,0.2,0,0,0,0,69.69,0,0,393,5,2.125,0.775115,3820
227381180,102.255,85.4059,14.94,15.16,0.4,0,0,0,0,69.2,0,0,393,5,2.11719,0.773112,3820
227385020,101.932,85.1518,15.44,16.44,0.1,0,0,0,0,67.67,0,0,398,5,2.14844,0.785362,3840
227388840,102.087,85.2617,16.09,16.4,0.1,0,0,0,0,67.32,0,0,394,5,2.125,0.777181,3820
227392680,101.737,84.9881,14.11,17.76,0,0,0,0,0,68.03,0,0,398,5,2.11719,0.773112,3840
227396500,101.949,85.0962,13.41,17.59,0.6,0,0,0,0,68.2,0,0,393,5,2.13281,0.779205,3820
227400320,102.164,85.3701,16.55,15.3,0.1,0,0,0,0,67.84,0,0,397,5,2.125,0.775115,3820
227404140,102.571,85.6021,15.21,16.25,0.5,0,0,0,0,67.65,0,0,393,5,2.14844,0.783306,3820
227407960,102.114,85.2764,14.54,16.14,0.5,0,0,0,0,68.84,0,0,402,5,2.11719,0.773154,3820
227411800,101.95,85.1194,17.18,13.88,0.4,0,0,0,0,68.35,0,0,394,5,2.14062,0.779205,3840
227415620,102.35,85.4577,14.35,16.5,0.2,0,0,0,0,68.56,0,0,395,5,2.13281,0.779205,3820
227419440,102.217,85.338,14.88,17.02,0.3,0,0,0,0,67.61,0,0,395,5,2.11719,0.775146,3820
227423260,102.173,85.3664,14.24,17.04,0.4,0,0,0,0,68.1,0,0,393,5,2.14844,0.779194,3820
227427100,101.418,84.6542,13.01,16.95,0.2,0,0,0,0,69.62,0,0,394,5,2.11719,0.775146,3840
227430900,102.723,85.8085,16.45,16.68,0.3,0,0,0,0,66.28,0,0,393,5,2.14062,0.783306,3800
227434720,102.031,85.1614,14.15,18.54,0.2,0,0,0,0,66.75,0,0,397,5,2.11719,0.771078,3820
227438540,101.925,85.1399,15.6,16.14,0.1,0,0,0,0,67.85,0,0,393,5,2.14062,0.783306,3820
227442340,102.474,85.5677,17.09,15.79,0.76,0,0,0,0,66.35,0,0,397,5,2.125,0.77716,3800
227446180,101.537,84.7969,15.68,15.95,0.3,0,0,0,0,68.09,0,0,393,5,2.125,0.773069,3840
227449980,103.351,86.2921,14.51,17.14,0.2,0,0,0,0,67.66,0,0,397,5,2.14062,0.783306,3800
227453820,101.698,84.9111,16.12,15.66,0.3,0,0,0,0,67.65,0,0,393,5,2.125,0.775178,3840
227457680,102.402,85.5254,15.84,19.95,0.2,0,0,0,0,63.73,0,0,399,5,2.125,0.775146,3860
227461540,101.855,85.0416,14.5,19.14,0.5,0,0,0,0,65.37,0,0,393,5,2.14062,0.777202,3860
227465380,101.426,84.6835,15.49,17.03,0.5,0,0,0,0,66.78,0,0,394,5,2.14062,0.78125,3840
227469180,102.509,85.5227,14.2,18.62,0.4,0,0,0,0,66.68,0,0,393,5,2.11719,0.775115,3800
227473000,102.321,85.4571,14.36,16.71,0.2,0,0,0,0,68.23,0,0,394,5,2.14844,0.78125,3820
227476840,101.906,85.0426,16.26,16.67,0.3,0,0,0,0,66.57,0,0,394,5,2.125,0.773112,3840
227480660,102.178,85.3792,15.88,15.46,0.2,0,0,0,0,68.07,0,0,394,5,2.13281,0.78125,3820
227484480,101.845,85.0133,15.29,15.83,0.3,0,0,0,0,68.38,0,0,397,5,2.13281,0.77716,3820
227488300,102.27,85.3631,16.03,16.41,0.3,0,0,0,0,66.93,0,0,393,5,2.14062,0.779194,3820
227492120,102.34,85.4474,15.47,17.89,0.6,0,0,0,0,65.95,0,0,395,5,2.11719,0.777181,3820
227495960,101.588,84.8297,15.11,16.07,0.3,0,0,0,0,68.32,0,0,394,5,2.13281,0.77716,3840
