Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
232999040,88.9819,87.9068,7.76,15.24,23.84,0,0,0,0,0,0,0,381,5,2.01562,0.612039,4360
233003480,-14667.4,86.7918,6.6,14.08,26.31,0,0,0,0,0,0,0,400,5,2.1875,0.777762,4440
233008020,85.12,73.1798,19.99,23.69,18.69,0,0,0,0,37.22,0,0,395,5,2.1875,0.777778,4540
233011880,98.3472,84.4752,3.98,11.91,0.4,0,0,0,0,83.41,0,0,405,5,2.11719,0.769292,3860
233015720,99.6732,85.5489,3.85,13.03,0.5,0,0,0,0,82.43,0,0,395,5,2.14844,0.783306,3840
233019560,98.988,84.9538,4.48,12.72,0,0,0,0,0,82.7,0,0,399,5,2.125,0.775178,3840
233023380,99.4538,85.3424,3.29,12.45,0.2,0,0,0,0,83.86,0,0,396,5,2.11719,0.773112,3820
233027200,99.6889,85.622,4.49,13.94,0.3,0,0,0,0,81.12,0,0,399,5,2.13281,0.775115,3820
233031040,99.5216,85.4223,3.88,12.86,0.1,0,0,0,0,82.77,0,0,395,5,2.125,0.777181,3840
233034900,98.5619,84.5465,3.89,12.73,0.4,0,0,0,0,82.78,0,0,398,5,2.13281,0.777181,3860
233038720,99.2951,85.2488,2.29,11.94,0.4,0,0,0,0,84.98,0,0,399,5,2.13281,0.77716,3820
233042540,99.5314,85.3955,4.28,12.79,0.7,0,0,0,0,82.13,0,0,395,5,2.125,0.775115,3820
233046340,100.119,85.9067,3.97,13.31,0.3,0,0,0,0,82.1,0,0,398,5,2.13281,0.77716,3800
233050180,98.7164,84.6873,4.28,11.84,0.2,0,0,0,0,83.69,0,0,395,5,2.125,0.775146,3840
233053980,100.111,85.9483,3.98,13.67,0,0,0,0,0,82.15,0,0,399,5,2.13281,0.777138,3800
233057820,99.2493,85.1395,5.09,12.39,0.32,0,0,0,0,82,0,0,396,5,2.125,0.775146,3840
233061660,99.5861,85.4716,4.23,12.76,0.4,0,0,0,0,82.42,0,0,399,5,2.13281,0.779205,3840
233065500,98.752,84.7326,4.28,12.91,0.17,0,0,0,0,82.43,0,0,395,5,2.13281,0.777181,3840
233069320,99.3963,85.2892,3.88,11.69,0.39,0,0,0,0,83.74,0,0,396,5,2.125,0.775115,3820
233073120,100.271,86.0043,3.99,13.3,0.4,0,0,0,0,82.11,0,0,396,5,2.13281,0.77716,3800
233076960,99.6296,85.4675,4.29,11.74,0.3,0,0,0,0,83.18,0,0,397,5,2.125,0.775146,3840
233080800,98.945,84.8974,4.09,13.24,0.3,0,0,0,0,82.28,0,0,400,5,2.13281,0.777181,3840
233084640,99.455,85.3226,4.3,12.34,0.2,0,0,0,0,82.89,0,0,395,5,2.13281,0.77716,3840
233088460,99.5669,85.3756,4.58,11.97,0,0,0,0,0,83.25,0,0,398,5,2.125,0.777181,3820
233092300,99.1964,85.1201,4.17,12.47,0,0,0,0,0,82.96,0,0,396,5,2.13281,0.775115,3840
233096120,99.4419,85.3214,4.51,13.06,0.2,0,0,0,0,82.01,0,0,398,5,2.14062,0.77716,3820
233099960,98.8777,84.8267,3.17,12.53,0.3,0,0,0,0,83.9,0,0,396,5,2.11719,0.775146,3840
233103760,100.052,85.8172,4.48,12.96,0.4,0,0,0,0,82.06,0,0,399,5,2.14062,0.779194,3800
233107600,98.553,84.5184,3.52,12.96,0.2,0,0,0,0,83.13,0,0,395,5,2.11719,0.771078,3840
233111400,100.34,86.1169,3.5,12.79,0.37,0,0,0,0,83.13,0,0,397,5,2.14062,0.779194,3800
233115220,99.5807,85.396,4.09,12.85,0.24,0,0,0,0,82.41,0,0,395,5,2.13281,0.775146,3820
233119040,99.523,85.3935,4.59,13.81,0.54,0,0,0,0,80.97,0,0,397,5,2.13281,0.779205,3820
233122880,98.8637,84.8348,4.08,12.82,0.4,0,0,0,0,82.62,0,0,400,5,2.13281,0.775115,3840
233126700,99.7824,85.5827,4.8,14.02,0.4,0,0,0,0,80.45,0,0,395,5,2.13281,0.77716,3820
233130520,99.4069,85.3122,4.78,12.78,0.3,0,0,0,0,82.06,0,0,399,5,2.13281,0.77716,3820
233134340,99.4169,85.2938,3.58,11.85,0.1,0,0,0,0,84.27,0,0,395,5,2.125,0.77716,3820
233138160,99.5705,85.4559,3.69,12.61,0.3,0,0,0,0,83.14,0,0,397,5,2.125,0.775115,3820
233141980,99.2103,85.1036,3.79,12.35,0.2,0,0,0,0,83.38,0,0,396,5,2.13281,0.779205,3820
233145800,99.9711,85.7447,5.05,13.17,0.31,0,0,0,0,81.16,0,0,402,5,2.125,0.773069,3820
233149640,99.2236,85.1206,4.18,12.76,0.61,0,0,0,0,82.45,0,0,396,5,2.13281,0.775146,3840
233153460,99.3202,85.2227,3.81,13.8,0.4,0,0,0,0,81.81,0,0,400,5,2.125,0.775146,3820
233157280,99.6999,85.5101,4.19,11.88,0.49,0,0,0,0,83.34,0,0,395,5,2.13281,0.779194,3820
233161100,99.2931,85.1798,4.08,13.02,0,0,0,0,0,82.79,0,0,397,5,2.125,0.775146,3820
233164920,99.6434,85.506,3.88,13.33,0.2,0,0,0,0,82.58,0,0,397,5,2.14062,0.779194,3820
233168760,99.0466,84.9691,4.38,12.29,0.45,0,0,0,0,82.68,0,0,396,5,2.125,0.773112,3840
233172560,99.761,85.5736,4.08,12.79,0.4,0,0,0,0,82.74,0,0,399,5,2.14844,0.779194,3800
233176380,99.3087,85.2145,5.69,12.53,0.4,0,0,0,0,81.27,0,0,396,5,2.11719,0.773112,3820
233180180,100.152,85.9529,3.29,12.54,0.4,0,0,0,0,83.66,0,0,400,5,2.13281,0.779194,3800
233184040,99.3427,85.2028,4.12,12.92,0.1,0,0,0,0,82.67,0,0,398,5,2.125,0.775146,3860
233187880,99.3195,85.1776,4.08,13.18,0,0,0,0,0,82.6,0,0,399,5,2.125,0.773154,3840
233191700,99.2597,85.1808,4.68,13.01,0.3,0,0,0,0,82.01,0,0,397,5,2.14844,0.783306,3820
233195520,99.9821,85.7667,4.08,13.15,0.3,0,0,0,0,81.87,0,0,401,5,2.11719,0.771078,3820
233199360,99.3479,85.2376,4.31,12.07,0.65,0,0,0,0,82.96,0,0,396,5,2.14062,0.78125,3840
233203180,100.215,85.9723,4.4,12.58,0,0,0,0,0,82.54,0,0,399,5,2.13281,0.773112,3820
233207040,98.265,84.2799,4.6,13.32,0.2,0,0,0,0,81.6,0,0,396,5,2.125,0.775178,3860
233210860,100.041,85.8557,4.39,12.74,0.18,0,0,0,0,82.39,0,0,395,5,2.13281,0.779194,3820
233214700,99.4639,85.2987,4.25,12.4,0.2,0,0,0,0,82.87,0,0,400,5,2.13281,0.779215,3840
233218540,99.1872,85.0881,4.4,12.14,0.23,0,0,0,0,83.14,0,0,396,5,2.125,0.775146,3840
233222380,98.7732,84.7443,3.38,12.33,0.1,0,0,0,0,84.1,0,0,399,5,2.14062,0.77716,3840
233226180,100.537,86.2212,4.6,13.04,0.3,0,0,0,0,81.73,0,0,394,5,2.10938,0.771078,3800
233230020,99.59,85.4055,3.99,12.31,0.7,0,0,0,0,82.89,0,0,399,5,2.14062,0.78125,3840
233232880,98.305,84.9459,4.39,13.26,0.4,0,0,0,0,81.85,0,0,401,5,2.14062,0.777181,2860
233236680,99.8494,85.6168,3.59,11.48,0.2,0,0,0,0,84.64,0,0,396,5,2.24219,0.772997,3800
233240500,99.4897,85.3966,3.45,13.8,0.5,0,0,0,0,82.06,0,0,397,5,2.13281,0.777138,3820
233244320,99.662,85.4579,4.68,13.12,0.2,0,0,0,0,81.83,0,0,396,5,2.125,0.773112,3820
233248160,99.1633,85.0586,3.49,13.05,0.5,0,0,0,0,82.68,0,0,398,5,2.13281,0.779205,3840
233251980,99.4366,85.2524,4.2,11.52,0.4,0,0,0,0,83.8,0,0,395,5,2.125,0.777181,3820
233255800,99.6646,85.4998,3.94,12.3,0.4,0,0,0,0,83.18,0,0,399,5,2.13281,0.775082,3820
233259620,99.4376,85.3127,5.08,12.67,0.3,0,0,0,0,81.77,0,0,396,5,2.13281,0.779205,3820
233263460,98.9405,84.8297,3.68,11.93,0.3,0,0,0,0,83.91,0,0,399,5,2.11719,0.773112,3840
233267260,101.144,86.7434,4.18,12.63,0.3,0,0,0,0,82.29,0,0,395,5,2.13281,0.779194,3800
233271120,98.4603,84.4954,3.75,12.55,0.2,0,0,0,0,83.17,0,0,402,5,2.13281,0.777202,3860
233273940,82.0936,71.1242,0,0,0,0,0,0,0,0,0,0,397,5,2.11719,0.773112,2820
233277300,116.911,101.074,4.77,10.63,1.17,0,0,0,0,79.68,0,0,398,5,2.13281,0.78125,3360
233280280,94.332,81.908,3.89,12.36,0,0,0,0,0,83.77,0,0,399,5,2.14844,0.777304,2980
233284100,99.6487,86.096,4.21,11.97,0.2,0,0,0,0,83.31,0,0,398,5,2.24219,0.770323,3820
233287960,98.1911,84.625,3.77,13.39,0.1,0,0,0,0,82.64,0,0,395,5,2.13281,0.775178,3860
233291800,102.978,89.1551,3.11,12.09,0.97,0,0,0,0,80.75,0,0,383,5,2.14844,0.78125,3840
233295800,96.8057,83.6602,3.19,12.92,0.49,0,0,0,0,82.17,0,0,400,5,2.14062,0.77542,4000
233299700,97.0698,83.5707,3.86,11.95,0,0,0,0,0,83.97,0,0,397,5,2.14062,0.775271,3900
233303540,104.019,90.0981,3.12,12.71,1.58,0,0,0,0,77.97,0,0,400,5,2.13281,0.77716,3840
233307600,98.2903,84.9744,4.07,12.5,0.69,0,0,0,0,78.66,0,0,382,5,2.14844,0.773553,4060
233311620,94.0201,80.908,3.99,12.73,0,0,0,0,0,83.1,0,0,396,5,2.15625,0.779307,4020
233315440,100.125,86.5193,4.88,12.98,0.21,0,0,0,0,81.08,0,0,398,5,2.125,0.775115,3820
233319320,101.6,87.8695,2.89,12.31,1.3,0,0,0,0,81.25,0,0,401,5,2.13281,0.775209,3880
233323320,95.2129,81.9492,3.98,13.38,0.1,0,0,0,0,82.44,0,0,394,5,2.14844,0.779287,4000
233327160,98.8551,85.3139,4.61,11.67,0.2,0,0,0,0,83.3,0,0,399,5,2.13281,0.777181,3840
233330980,103.786,89.7241,3.28,12.73,1.32,0,0,0,0,79.29,0,0,393,5,2.125,0.775146,3820
233335000,94.3321,81.3666,4.34,12.94,0,0,0,0,0,82.73,0,0,395,5,2.14844,0.773476,4020
233338820,98.9958,85.4446,4.38,11.88,0.1,0,0,0,0,83.64,0,0,385,5,2.125,0.775146,3820
233342660,102.638,88.8692,3.98,12.21,1.2,0,0,0,0,79.14,0,0,394,5,2.14062,0.78125,3840
233346660,94.2412,81.1533,3.79,14.15,0,0,0,0,0,82.08,0,0,399,5,2.14844,0.777344,4000
233350460,99.8777,86.3549,4.29,12.33,0.3,0,0,0,0,82.59,0,0,396,5,2.125,0.773026,3800
233354300,105.616,91.8467,2.38,11.76,2.28,0,0,0,0,74.86,0,0,400,5,2.14062,0.775178,3840
233358420,91.5191,79.2277,4.45,12.8,0.2,0,0,0,0,82.46,0,0,398,5,2.15625,0.777458,4120
233362240,104.417,91.077,3.09,12.69,1.44,0,0,0,0,76.59,0,0,378,5,2.11719,0.775146,3820
233366320,97.1756,84.577,3.58,11.21,2.2,0,0,0,0,76.51,0,0,395,5,2.16406,0.777402,4080
233370340,93.9035,81.0586,4.3,13.03,0,0,0,0,0,82.56,0,0,397,5,2.15625,0.779307,4020
233374180,104.155,90.8112,3.71,12.88,2.54,0,0,0,0,75.56,0,0,396,5,2.11719,0.771078,3840
