ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,33.151043,37.375000,1000.028076,0.0,2.789999,0.0,0.0,0.370000,1000.000061,0.0,38.159149,0.0,15720.000000,0.0,0.0,0.0,5.979998,1375953600,23280.000000,47.626713,0.0,0.0,355.000000,5.000000,13920.000000,20640.000000,10.209999,0.120000,0.000000,13560.000000,0.0,3.550000,0.0,0.0,0.0,1.070000,0.0,34.759995,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.840000,0.000000,23160.000000,15960.000000,13560.000000,9600,0.160000,13800.000000,0.0,23160.000000,20640.000000,0.000000,16080.000000,0.0,23280.000000,13800.000000,9.819996,23160.000000
1,33.346355,37.583332,1000.087158,0.0,3.699999,0.0,0.0,0.120000,999.999329,0.0,38.600357,0.0,15600.000000,0.0,0.0,0.0,3.919998,1375963200,23280.000000,48.122948,0.0,0.0,355.000000,5.000000,13920.000000,20640.000000,10.089999,0.0,0.000000,13560.000000,0.0,8.929996,0.0,0.0,0.0,0.960000,0.0,34.299995,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.980000,0.000000,23160.000000,15960.000000,13440.000000,9600,0.240000,13920.000000,0.0,23160.000000,20520.000000,0.000000,16080.000000,0.0,22920.000000,13920.000000,10.159995,23160.000000
2,33.271542,37.500000,1000.020813,0.0,3.529999,0.0,0.0,0.120000,999.998535,0.0,38.195530,0.0,15600.000000,0.0,0.0,0.0,4.349998,1375972800,23280.000000,47.677700,0.0,0.0,355.000000,5.000000,13920.000000,20640.000000,11.739998,0.0,0.000000,13680.000000,0.0,3.619999,0.0,0.0,0.0,1.130000,0.0,30.730007,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,1.210000,0.000000,23160.000000,16080.000000,13560.000000,9600,0.240000,13800.000000,0.0,23280.000000,20520.000000,0.000000,15840.000000,0.0,23280.000000,13920.000000,9.259995,23160.000000
3,32.929688,37.125000,1000.040283,0.0,4.739999,0.0,0.0,0.120000,999.994324,0.0,39.242699,0.0,15720.000000,0.0,0.0,0.0,4.009998,1375982240,23520.000000,48.123581,0.0,0.0,355.000000,5.000000,14040.000000,20640.000000,9.379999,0.240000,0.000000,13680.000000,0.0,4.059999,0.0,0.0,0.0,0.590000,0.0,31.680012,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,1.210000,0.000000,23160.000000,16080.000000,13560.000000,9440,0.120000,13800.000000,0.0,23280.000000,20520.000000,0.000000,16080.000000,0.0,23160.000000,13800.000000,9.529995,23160.000000
4,33.364227,37.583332,1000.092468,0.0,5.609999,0.0,0.0,0.0,1000.000061,0.0,42.370159,0.0,15600.000000,0.0,0.0,0.0,10.089996,1375991680,23520.000000,47.548496,0.0,0.0,361.000000,5.000000,14040.000000,20880.000000,4.559999,0.0,0.000000,13680.000000,0.0,2.579999,0.0,0.0,0.0,1.100000,0.0,30.940012,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.860000,0.000000,23280.000000,15960.000000,13560.000000,9440,0.120000,13800.000000,0.0,23160.000000,20520.000000,0.000000,16200.000000,0.0,23160.000000,13800.000000,11.839995,22920.000000
5,33.281250,37.541668,1000.116272,0.0,4.959999,0.0,0.0,0.0,999.989807,0.0,42.446487,0.0,15600.000000,0.0,0.0,0.0,7.779996,1376001440,23280.000000,47.592087,0.0,0.0,361.000000,5.000000,13920.000000,20640.000000,4.420000,0.240000,0.000000,13680.000000,0.0,10.499995,0.0,0.0,0.0,1.540000,0.0,31.610010,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.860000,0.000000,23280.000000,15960.000000,13560.000000,9760,0.370000,13920.000000,0.0,23160.000000,20400.000000,0.000000,16080.000000,0.0,23280.000000,13800.000000,10.579994,23280.000000
6,32.966190,37.125000,1000.037781,0.0,4.729999,0.0,0.0,0.120000,999.999023,0.0,41.750687,0.0,15600.000000,0.0,0.0,0.0,9.819996,1376011200,23520.000000,46.892708,0.0,0.0,361.000000,5.000000,13920.000000,20640.000000,7.009998,0.120000,0.000000,13680.000000,0.0,3.510000,0.0,0.0,0.0,1.680000,0.0,31.290010,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,1.250000,0.000000,23280.000000,15960.000000,13560.000000,9760,0.0,13800.000000,0.0,22920.000000,20520.000000,0.000000,15600.000000,0.0,23160.000000,13800.000000,12.239996,23280.000000
7,33.259548,37.500000,1000.037415,0.0,4.959999,0.0,0.0,0.0,999.999451,0.0,42.020496,0.0,15720.000000,0.0,0.0,0.0,9.969996,1376020800,23520.000000,47.120739,0.0,0.0,361.000000,5.000000,14040.000000,20880.000000,7.470000,0.120000,0.000000,13680.000000,0.0,2.390000,0.0,0.0,0.0,1.430000,0.0,30.020012,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.460000,0.000000,23280.000000,15960.000000,13680.000000,9600,0.520000,13920.000000,0.0,23160.000000,20640.000000,0.000000,15600.000000,0.0,23280.000000,13800.000000,12.749993,22920.000000
8,33.081745,37.250000,1000.089661,13.490000,1.640000,0.0,0.0,0.0,1000.003479,0.0,49.778854,0.0,15720.000000,0.0,0.0,42.139999,3.450001,1376030240,23520.000000,53.488724,27.770000,0.0,421.000000,5.000000,13920.000000,20640.000000,0.910000,0.280000,0.000000,13680.000000,0.0,2.989999,0.0,0.0,0.0,0.270000,0.0,0.420000,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15960.000000,13560.000000,9440,0.140000,13920.000000,0.0,23280.000000,20520.000000,0.000000,16080.000000,0.0,23280.000000,13680.000000,1.210000,22920.000000
9,33.257576,37.416668,1000.086243,9.000000,1.630000,0.0,0.0,0.0,999.992981,0.0,52.940395,0.0,15600.000000,0.0,0.0,44.180004,3.140000,1376039040,23280.000000,55.236675,28.480001,0.0,421.000000,5.000000,13920.000000,20520.000000,0.560000,0.0,0.000000,13680.000000,0.0,1.830000,0.0,0.0,0.0,0.140000,0.0,0.280000,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.140000,0.000000,23160.000000,15960.000000,13560.000000,8800,0.260000,13800.000000,0.0,23280.000000,20520.000000,0.000000,15600.000000,0.0,23160.000000,13680.000000,3.360001,23160.000000
