ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,33.094620,37.291668,1000.058594,0.0,3.029999,0.0,0.0,0.310000,999.996765,0.0,38.503307,0.0,15600.000000,0.0,0.0,0.0,4.479998,1373969600,23520.000000,47.997906,0.0,0.0,356.000000,5.000000,13920.000000,20880.000000,7.419999,0.120000,0.000000,13680.000000,0.0,3.619999,0.0,0.0,0.0,0.850000,0.0,33.099991,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.970000,0.000000,23160.000000,16080.000000,13440.000000,9600,0.360000,13920.000000,0.0,23160.000000,20520.000000,0.000000,15600.000000,0.0,22920.000000,13800.000000,9.179996,23160.000000
1,33.363716,37.583332,1000.072327,0.0,3.370000,0.0,0.0,0.120000,1000.000793,0.0,38.070995,0.0,15600.000000,0.0,0.0,0.0,8.709995,1373979200,23280.000000,47.448647,0.0,0.0,355.000000,5.000000,13920.000000,20640.000000,4.310000,0.250000,0.000000,13680.000000,0.0,3.769999,0.0,0.0,0.0,0.970000,0.0,36.569988,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,1.000000,0.000000,23160.000000,15840.000000,13560.000000,9600,0.370000,13800.000000,0.0,23280.000000,20880.000000,0.000000,15600.000000,0.0,23160.000000,13800.000000,10.329995,23160.000000
2,33.320091,37.500000,1000.012695,0.0,2.669999,0.0,0.0,0.120000,1000.000061,0.0,38.594318,0.0,15720.000000,0.0,0.0,0.0,7.469997,1373988800,23520.000000,48.091370,0.0,0.0,355.000000,5.000000,14040.000000,20640.000000,5.480000,0.620000,0.000000,13560.000000,0.0,4.150000,0.0,0.0,0.0,0.840000,0.0,35.759991,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.850000,0.000000,23520.000000,15960.000000,13560.000000,9600,0.350000,13680.000000,0.0,23160.000000,20400.000000,0.000000,16080.000000,0.0,23280.000000,13800.000000,7.859996,23160.000000
3,33.103298,37.291668,1000.091125,0.0,3.029999,0.0,0.0,0.120000,1000.000488,0.0,39.114071,0.0,15720.000000,0.0,0.0,0.0,4.819998,1373998400,23280.000000,47.957657,0.0,0.0,354.000000,5.000000,14040.000000,20640.000000,9.179999,0.240000,0.000000,13680.000000,0.0,4.060000,0.0,0.0,0.0,1.430000,0.0,33.689995,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.960000,0.000000,23520.000000,15960.000000,13560.000000,9600,0.240000,13920.000000,0.0,23160.000000,20400.000000,0.000000,15600.000000,0.0,23160.000000,13800.000000,8.489996,23280.000000
4,32.816841,37.000000,1000.030029,0.0,5.129999,0.0,0.0,0.0,1000.012634,0.0,41.278954,0.0,15720.000000,0.0,0.0,0.0,11.579994,1374007840,23520.000000,46.489048,0.0,0.0,358.000000,5.000000,13920.000000,20640.000000,5.099999,0.490000,0.000000,13680.000000,0.0,3.539999,0.0,0.0,0.0,3.089999,0.0,28.720011,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.820000,0.000000,23160.000000,16080.000000,13560.000000,9440,0.250000,13800.000000,0.0,23160.000000,20520.000000,0.000000,15600.000000,0.0,23160.000000,13800.000000,11.799994,23160.000000
5,33.171108,37.416668,999.996521,0.0,4.100000,0.0,0.0,0.0,999.986572,0.0,41.004353,0.0,15600.000000,0.0,0.0,0.0,10.749997,1374017600,23520.000000,46.182781,0.0,0.0,359.000000,5.000000,13920.000000,20640.000000,5.239999,0.120000,0.000000,13680.000000,0.0,8.639997,0.0,0.0,0.0,1.700000,0.0,33.249992,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.850000,0.000000,23160.000000,15960.000000,13560.000000,9760,0.240000,13920.000000,0.0,23160.000000,20520.000000,0.000000,16080.000000,0.0,23280.000000,13800.000000,9.429996,23160.000000
6,33.602730,37.833332,1000.054260,0.0,5.459999,0.0,0.0,0.120000,999.995605,0.0,40.811409,0.0,15600.000000,0.0,0.0,0.0,11.069995,1374027040,23280.000000,45.973213,0.0,0.0,358.000000,5.000000,13920.000000,20640.000000,4.530000,0.0,0.000000,13560.000000,0.0,2.549999,0.0,0.0,0.0,0.980000,0.0,29.090008,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.850000,0.000000,23160.000000,16080.000000,13560.000000,9440,0.120000,13800.000000,0.0,23160.000000,20400.000000,0.000000,15600.000000,0.0,23160.000000,13800.000000,10.589994,23160.000000
7,32.684425,36.833332,1000.039734,0.0,6.929998,0.0,0.0,0.360000,999.983643,0.0,42.155285,0.0,15720.000000,0.0,0.0,0.0,10.869996,1374036640,23280.000000,47.308235,0.0,0.0,358.000000,5.000000,14040.000000,20640.000000,7.829999,0.120000,0.000000,13680.000000,0.0,10.559995,0.0,0.0,0.0,1.680000,0.0,25.560009,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.120000,0.000000,23520.000000,15840.000000,13440.000000,9600,0.0,13800.000000,0.0,23280.000000,20880.000000,0.000000,15600.000000,0.0,22920.000000,13800.000000,10.079994,22920.000000
8,33.211803,37.416668,1000.066956,0.0,0.300000,0.0,0.0,0.0,1000.011047,0.0,39.023483,0.0,15600.000000,0.0,0.0,0.0,1.530000,1374046240,23280.000000,52.173313,3.180000,0.0,370.000000,5.000000,13920.000000,20880.000000,7.550000,0.0,0.000000,13680.000000,0.0,0.190000,85.099998,0.0,0.0,0.180000,0.0,0.050000,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.050000,0.000000,23280.000000,16080.000000,13680.000000,9600,0.0,13800.000000,0.0,23280.000000,20880.000000,0.000000,16080.000000,0.0,23160.000000,13800.000000,0.640000,22920.000000
9,33.333332,37.416668,1000.053406,0.0,0.200000,0.0,0.0,0.0,999.979431,0.0,45.273972,0.0,15720.000000,0.0,0.0,0.0,1.620000,1374054560,23280.000000,49.345963,2.790000,0.0,387.000000,5.000000,13920.000000,20880.000000,5.460000,0.0,0.000000,13680.000000,0.0,0.180000,86.949997,0.0,0.0,0.050000,0.0,0.050000,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15960.000000,13560.000000,8320,0.180000,13800.000000,0.0,23160.000000,20520.000000,0.000000,15600.000000,0.0,23160.000000,13800.000000,0.460000,23160.000000
