ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,33.024364,37.208332,999.998352,0.0,3.679999,0.0,0.0,0.0,999.999939,0.0,37.587334,0.0,15600.000000,0.0,0.0,0.0,6.459998,1377995680,23520.000000,46.760452,0.0,0.0,355.000000,5.000000,13920.000000,20640.000000,6.829999,0.0,0.000000,13680.000000,0.0,9.489996,0.0,0.0,0.0,1.690000,0.0,35.840000,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.970000,0.000000,23160.000000,15840.000000,13560.000000,9280,0.600000,13800.000000,0.0,23280.000000,20640.000000,0.000000,15600.000000,0.0,23160.000000,13800.000000,8.189996,22920.000000
1,33.452507,37.666668,1000.069763,0.0,2.909999,0.0,0.0,0.250000,999.999573,0.0,38.998787,0.0,15600.000000,0.0,0.0,0.0,4.619998,1378005280,23520.000000,48.485718,0.0,0.0,355.000000,5.000000,13920.000000,20640.000000,7.089999,0.120000,0.000000,13680.000000,0.0,3.900000,0.0,0.0,0.0,1.110000,0.0,36.569996,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.820000,0.000000,23160.000000,15960.000000,13680.000000,9600,0.330000,13800.000000,0.0,23160.000000,20520.000000,0.000000,16080.000000,0.0,23160.000000,13800.000000,10.149995,23160.000000
2,32.705772,36.833332,999.978455,0.0,4.400000,0.0,0.0,0.120000,999.971191,0.0,38.802639,0.0,15600.000000,0.0,0.0,0.0,8.339997,1378014880,23280.000000,48.280212,0.0,0.0,353.000000,5.000000,14040.000000,20640.000000,6.549999,0.610000,0.000000,13680.000000,0.0,2.899999,0.0,0.0,0.0,1.320000,0.0,33.319988,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,1.440000,0.000000,23280.000000,16080.000000,13560.000000,9600,0.120000,13800.000000,0.0,23160.000000,20880.000000,0.000000,16080.000000,0.0,23160.000000,13800.000000,9.149996,23280.000000
3,33.196507,37.375000,1000.019714,0.0,3.289999,0.0,0.0,0.370000,999.999939,0.0,38.400837,0.0,15600.000000,0.0,0.0,0.0,7.269997,1378024320,23520.000000,47.304657,0.0,0.0,356.000000,5.000000,13920.000000,20640.000000,8.129999,0.120000,0.000000,13680.000000,0.0,9.779997,0.0,0.0,0.0,1.070000,0.0,31.720011,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.730000,0.000000,23160.000000,15840.000000,13680.000000,9440,0.360000,13800.000000,0.0,23160.000000,20520.000000,0.000000,15840.000000,0.0,23280.000000,13800.000000,10.689995,23280.000000
4,33.408367,37.625000,999.996887,0.0,5.639999,0.0,0.0,0.0,1000.000671,0.0,41.770901,0.0,15720.000000,0.0,0.0,0.0,9.729999,1378033920,23280.000000,47.117405,0.0,0.0,360.000000,5.000000,13920.000000,20640.000000,3.909999,0.120000,0.000000,13680.000000,0.0,1.980000,0.0,0.0,0.0,1.580000,0.0,31.730005,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.730000,0.000000,23280.000000,15960.000000,13680.000000,9600,0.120000,13800.000000,0.0,23280.000000,20520.000000,0.000000,15840.000000,0.0,23280.000000,13800.000000,12.489997,23160.000000
5,32.868923,37.000000,1000.017578,0.0,5.619999,0.0,0.0,0.240000,999.999451,0.0,41.643913,0.0,15600.000000,0.0,0.0,0.0,12.229995,1378043360,23520.000000,47.147961,0.0,0.0,359.000000,5.000000,14040.000000,20640.000000,3.419999,0.0,0.000000,13560.000000,0.0,9.029995,0.0,0.0,0.0,1.250000,0.0,31.130013,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.980000,0.000000,23160.000000,16080.000000,13560.000000,9440,0.490000,13800.000000,0.0,23160.000000,20520.000000,0.000000,15600.000000,0.0,22920.000000,13800.000000,11.469995,22920.000000
6,33.068577,37.250000,999.997620,0.0,5.549999,0.0,0.0,0.120000,1000.000488,0.0,41.585270,0.0,15720.000000,0.0,0.0,0.0,10.269995,1378052960,23520.000000,46.582062,0.0,0.0,359.000000,5.000000,14040.000000,20640.000000,6.789999,0.120000,0.000000,13680.000000,0.0,2.909999,0.0,0.0,0.0,1.590000,0.0,32.160007,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.490000,0.000000,23160.000000,15960.000000,13560.000000,9600,0.120000,13920.000000,0.0,23280.000000,20520.000000,0.000000,15600.000000,0.0,23160.000000,13800.000000,11.059996,23160.000000
7,33.119877,37.333332,999.985840,0.0,5.609999,0.0,0.0,0.0,1000.000244,0.0,41.569386,0.0,15720.000000,0.0,0.0,0.0,7.719997,1378062720,23520.000000,46.856388,0.0,0.0,359.000000,5.000000,13920.000000,20640.000000,5.740000,0.490000,0.000000,13680.000000,0.0,2.879999,0.0,0.0,0.0,1.580000,0.0,27.600010,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.960000,0.000000,23160.000000,15960.000000,13560.000000,9760,0.690000,13800.000000,0.0,23160.000000,20400.000000,0.000000,15840.000000,0.0,23280.000000,13800.000000,15.099993,23280.000000
8,33.768856,38.041668,1000.000977,10.150001,1.570000,0.0,0.0,0.0,999.999451,0.0,47.722740,0.0,15720.000000,0.0,0.0,42.500004,4.660000,1378072320,23280.000000,55.682724,27.160002,0.0,417.000000,5.000000,14040.000000,20640.000000,1.060000,0.0,0.000000,13680.000000,0.0,0.830000,0.0,0.0,0.0,0.0,0.0,0.530000,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15960.000000,13440.000000,9600,0.120000,13800.000000,0.0,23280.000000,20400.000000,0.000000,15600.000000,0.0,23280.000000,13800.000000,2.420000,23280.000000
9,32.449776,36.458332,1000.017761,9.940001,2.090000,0.0,0.0,0.0,999.999817,0.0,45.776985,0.0,15600.000000,0.0,0.0,42.739998,3.680000,1378080960,23280.000000,58.319626,31.320000,0.0,407.000000,5.000000,13920.000000,20640.000000,0.920000,0.0,0.000000,13560.000000,0.0,2.120000,0.0,0.0,0.0,0.320000,0.0,0.460000,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15960.000000,13560.000000,8640,0.150000,13800.000000,0.0,23280.000000,20400.000000,0.000000,15600.000000,0.0,23280.000000,13800.000000,1.790000,23280.000000
10,33.593750,37.708332,1000.053406,10.860000,0.570000,0.0,0.0,0.0,999.999939,0.0,47.434307,0.0,15720.000000,0.0,0.0,44.910004,3.620000,1378089440,23280.000000,56.955589,36.200001,0.0,410.000000,5.000000,13920.000000,20640.000000,0.850000,0.0,0.000000,13560.000000,0.0,0.730000,0.0,0.0,0.0,0.0,0.0,0.210000,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15960.000000,13440.000000,8480,0.0,13920.000000,0.0,23160.000000,20520.000000,0.000000,15600.000000,0.0,23160.000000,13800.000000,0.840000,23160.000000
11,32.522034,36.500000,1000.001709,12.290000,0.120000,0.0,0.0,0.0,999.988525,0.0,46.923901,0.0,15600.000000,0.0,0.0,49.060001,3.260000,1378097600,23520.000000,57.222893,32.470001,0.0,403.000000,5.000000,13920.000000,20880.000000,0.830000,0.0,0.000000,13680.000000,0.0,0.720000,0.0,0.0,0.0,0.0,0.0,0.120000,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,16080.000000,13560.000000,8160,0.0,13800.000000,0.0,23160.000000,20400.000000,0.000000,16080.000000,0.0,23160.000000,13800.000000,0.480000,23160.000000
