ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,8.261495,28.958334,999.994690,0.0,4.900000,0.0,0.0,0.0,1000.029480,0.0,42.471897,0.0,15720.000000,0.0,0.0,0.0,3.830000,1379984800,23520.000000,43.508038,0.0,0.0,353.000000,5.000000,14040.000000,20520.000000,4.920000,0.0,0.000000,13680.000000,0.0,4.930000,0.0,0.0,0.0,1.620000,0.0,37.580009,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15840.000000,13440.000000,9280,0.0,13920.000000,0.0,22920.000000,20400.000000,0.000000,15840.000000,0.0,23280.000000,13800.000000,10.799997,23280.000000
1,8.333333,29.333334,1000.014404,0.0,3.920000,0.0,0.0,0.0,999.977722,0.0,42.337738,0.0,15600.000000,0.0,0.0,0.0,6.869999,1379994080,23520.000000,43.324020,0.0,0.0,353.000000,5.000000,13920.000000,20640.000000,3.930000,0.490000,0.000000,13680.000000,0.0,1.970000,0.0,0.0,0.0,0.0,0.0,36.780006,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15960.000000,13560.000000,9280,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,16080.000000,0.0,23280.000000,13800.000000,9.309998,22920.000000
2,8.144755,28.666666,1000.002686,0.0,5.360000,0.0,0.0,0.0,1000.030518,0.0,41.733852,0.0,15720.000000,0.0,0.0,0.0,5.380000,1380003200,23520.000000,42.865101,0.0,0.0,352.000000,5.000000,13920.000000,20640.000000,6.610000,0.0,0.000000,13680.000000,0.0,9.519998,0.0,0.0,0.0,1.470000,0.0,37.490005,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.490000,0.000000,23280.000000,15960.000000,13560.000000,9120,0.0,13920.000000,0.0,23280.000000,20520.000000,0.000000,16080.000000,0.0,23280.000000,13800.000000,10.269998,23160.000000
3,8.342313,29.250000,1000.010742,0.0,5.350000,0.0,0.0,0.0,1000.056946,0.0,42.081921,0.0,15720.000000,0.0,0.0,0.0,3.900000,1380012640,23280.000000,43.044804,0.0,0.0,352.000000,5.000000,13920.000000,20520.000000,5.380000,0.0,0.000000,13680.000000,0.0,3.910000,0.0,0.0,0.0,1.780000,0.0,33.310001,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.490000,0.000000,23280.000000,15960.000000,13560.000000,9440,0.500000,13800.000000,0.0,23160.000000,20640.000000,0.000000,16080.000000,0.0,23280.000000,13800.000000,12.409999,22920.000000
4,8.265985,29.083334,999.997498,0.0,4.870000,0.0,0.0,0.0,1000.056641,0.0,42.918007,0.0,15600.000000,0.0,0.0,0.0,3.940000,1380021920,23280.000000,43.646992,0.0,0.0,352.000000,5.000000,13920.000000,20880.000000,6.859999,0.0,0.000000,13680.000000,0.0,3.520000,0.0,0.0,0.0,2.450000,0.0,41.660000,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,16080.000000,13560.000000,9280,0.490000,13920.000000,0.0,23280.000000,20520.000000,0.000000,15600.000000,0.0,23160.000000,13800.000000,7.410000,23160.000000
5,8.274964,29.125000,999.999756,0.0,5.070000,0.0,0.0,0.490000,1000.068420,0.0,41.980843,0.0,15720.000000,0.0,0.0,0.0,9.389998,1380031200,23520.000000,42.856056,0.0,0.0,353.000000,5.000000,13920.000000,20640.000000,3.390000,0.0,0.000000,13560.000000,0.0,2.960000,0.0,0.0,0.0,0.980000,0.0,27.889999,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.470000,0.000000,23280.000000,15960.000000,13680.000000,9280,0.0,13800.000000,0.0,23280.000000,20520.000000,0.000000,15600.000000,0.0,23280.000000,13800.000000,13.699996,22920.000000
6,8.200918,28.875000,999.983154,0.0,1.950000,0.0,0.0,0.0,1000.054382,0.0,41.662285,0.0,15720.000000,0.0,0.0,0.0,7.000000,1380040480,23280.000000,44.296062,0.0,0.0,355.000000,5.000000,13920.000000,20640.000000,8.730000,0.0,0.000000,13680.000000,0.0,11.129997,0.0,0.0,0.0,0.370000,0.0,33.040001,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,1.460000,0.000000,23160.000000,15960.000000,13680.000000,9280,0.0,13920.000000,0.0,23160.000000,20880.000000,0.000000,15600.000000,0.0,23280.000000,13800.000000,9.139998,22920.000000
7,8.310082,28.875000,1000.008301,0.0,6.820000,0.0,0.0,0.970000,1000.059387,0.0,41.182182,0.0,15600.000000,0.0,0.0,0.0,5.859999,1380049440,23280.000000,44.506557,0.0,0.0,356.000000,5.000000,13920.000000,20640.000000,9.689999,0.0,0.000000,13560.000000,0.0,11.819997,0.0,0.0,0.0,1.470000,0.0,29.519999,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.480000,0.000000,23280.000000,15840.000000,13680.000000,8960,0.0,13920.000000,0.0,23160.000000,20520.000000,0.000000,15600.000000,0.0,23160.000000,13800.000000,10.159998,23160.000000
8,8.351608,29.375000,999.992371,0.0,5.920000,0.0,0.0,1.000000,1000.019348,0.0,40.724117,0.0,15720.000000,0.0,0.0,0.0,6.860000,1380058720,23520.000000,44.548168,0.0,0.0,353.000000,5.000000,13920.000000,20640.000000,11.370000,0.0,0.000000,13680.000000,0.0,2.950000,0.0,0.0,0.0,1.470000,0.0,29.039999,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.490000,0.000000,23280.000000,15840.000000,13680.000000,9280,0.0,13920.000000,0.0,23160.000000,20520.000000,0.000000,15600.000000,0.0,23280.000000,13800.000000,8.950000,22920.000000
9,8.214160,28.958334,1000.008545,0.0,2.960000,0.0,0.0,0.490000,1000.057190,0.0,40.892372,0.0,15720.000000,0.0,0.0,0.0,10.009997,1380068160,23640.000000,44.545948,0.0,0.0,355.000000,5.000000,14040.000000,20640.000000,9.269999,0.500000,0.000000,13680.000000,0.0,3.970000,0.0,0.0,0.0,0.500000,0.0,34.840004,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.060000,0.000000,23280.000000,15840.000000,13560.000000,9440,0.500000,13800.000000,0.0,23160.000000,20520.000000,0.000000,15600.000000,0.0,23280.000000,13800.000000,6.429999,23160.000000
