ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,49.958664,70.375000,1000.072571,0.0,2.950000,0.0,0.0,0.060000,999.986328,0.0,47.417629,0.0,15600.000000,0.0,0.0,0.0,7.659997,1385566880,23520.000000,53.983429,0.0,0.0,373.000000,5.000000,13920.000000,20880.000000,5.670000,0.080000,0.000000,13680.000000,0.0,8.799995,0.0,0.0,0.0,1.370000,0.0,36.740021,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.570000,0.000000,23280.000000,15960.000000,13440.000000,10080,0.240000,13800.000000,0.0,23160.000000,20400.000000,0.000000,15600.000000,0.0,23280.000000,13800.000000,10.849995,23160.000000
1,49.619709,69.916664,1000.081787,0.0,3.570000,0.0,0.0,0.240000,999.999207,0.0,45.783878,0.0,15720.000000,0.0,0.0,0.0,3.529999,1385576800,23520.000000,52.386963,0.0,0.0,372.000000,5.000000,14040.000000,20640.000000,7.929999,0.160000,0.000000,13440.000000,0.0,4.030000,0.0,0.0,0.0,1.530000,0.0,36.590019,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,1.050000,0.000000,23160.000000,15840.000000,13440.000000,9920,0.240000,13920.000000,0.0,23160.000000,20400.000000,0.000000,15600.000000,0.0,23160.000000,13800.000000,8.199997,22920.000000
2,49.651379,69.958336,1000.082336,0.0,3.540000,0.0,0.0,0.240000,999.999695,0.0,47.051136,0.0,15720.000000,0.0,0.0,0.0,4.529999,1385586880,23280.000000,53.712200,0.0,0.0,373.000000,5.000000,13920.000000,20640.000000,5.929999,0.320000,0.000000,13680.000000,0.0,2.740000,0.0,0.0,0.0,0.960000,0.0,37.150021,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.640000,0.000000,23280.000000,15840.000000,13680.000000,10080,0.160000,13800.000000,0.0,23160.000000,20400.000000,0.000000,16200.000000,0.0,23160.000000,13800.000000,7.879997,23280.000000
3,49.515789,69.833336,1000.051514,0.0,2.859999,0.0,0.0,0.080000,999.999573,0.0,46.706718,0.0,15720.000000,0.0,0.0,0.0,3.429999,1385596960,23280.000000,52.472858,0.0,0.0,373.000000,5.000000,13920.000000,20640.000000,7.219999,0.080000,0.000000,13680.000000,0.0,4.289999,0.0,0.0,0.0,1.070000,0.0,36.250019,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.960000,0.000000,23160.000000,15960.000000,13560.000000,10080,0.080000,13920.000000,0.0,23160.000000,20520.000000,0.000000,15600.000000,0.0,23160.000000,13800.000000,7.919997,23280.000000
4,50.118000,70.625000,999.987122,0.0,4.869999,0.0,0.0,0.080000,999.998840,0.0,49.919243,0.0,15720.000000,0.0,0.0,0.0,10.729998,1385607360,23280.000000,52.432983,0.0,0.0,377.000000,5.000000,13920.000000,20640.000000,11.259999,0.480000,0.000000,13680.000000,0.0,2.470000,0.0,0.0,0.0,0.960000,0.0,26.119997,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.950000,0.000000,23280.000000,15960.000000,13560.000000,10400,0.240000,13800.000000,0.0,23160.000000,20520.000000,0.000000,16080.000000,0.0,23280.000000,13680.000000,10.759995,22920.000000
5,49.842922,70.250000,1000.085938,10.010000,0.740000,0.0,0.0,0.0,999.999268,0.0,50.915329,0.0,15600.000000,0.0,0.0,45.039997,3.259999,1385617440,23280.000000,65.801208,31.170000,0.0,425.000000,5.000000,13920.000000,20640.000000,0.850000,0.0,0.000000,13680.000000,0.0,1.950000,0.0,0.0,0.0,0.190000,0.0,0.190000,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15960.000000,13560.000000,10080,0.080000,13920.000000,0.0,23160.000000,20640.000000,0.000000,16080.000000,0.0,23160.000000,13800.000000,1.710000,23280.000000
6,49.543133,69.791664,1000.035889,12.100000,0.400000,0.0,0.0,0.0,999.999939,0.0,50.786278,0.0,15720.000000,0.0,0.0,45.069996,3.650000,1385626560,23640.000000,66.238960,34.910004,0.0,435.000000,5.000000,13920.000000,20640.000000,0.400000,0.0,0.000000,13560.000000,0.0,0.770000,0.0,0.0,0.0,0.160000,0.0,0.080000,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15960.000000,13560.000000,9120,0.160000,13800.000000,0.0,23280.000000,20880.000000,0.000000,15600.000000,0.0,23280.000000,13800.000000,0.400000,23160.000000
7,49.493637,69.666664,1000.111816,10.750001,1.170000,0.0,0.0,0.0,1000.000427,0.0,50.803741,0.0,15600.000000,0.0,0.0,42.299999,4.750000,1385635200,23280.000000,66.649063,35.240002,0.0,439.000000,5.000000,14040.000000,20640.000000,0.900000,0.110000,0.000000,13800.000000,0.0,0.500000,0.0,0.0,0.0,0.0,0.0,0.420000,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15840.000000,13440.000000,8640,0.080000,13800.000000,0.0,23280.000000,20520.000000,0.000000,15600.000000,0.0,23280.000000,13800.000000,0.670000,22920.000000
8,49.525669,69.750000,1000.010193,10.009999,0.560000,0.0,0.0,0.0,999.999695,0.0,51.202087,0.0,15720.000000,0.0,0.0,45.970001,3.089999,1385644160,23520.000000,67.496506,37.080002,0.0,426.000000,5.000000,13920.000000,20640.000000,0.820000,0.080000,0.000000,13680.000000,0.0,0.080000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.080000,0.000000,23160.000000,15960.000000,13440.000000,8960,0.080000,13800.000000,0.0,23160.000000,20520.000000,0.000000,16080.000000,0.0,23160.000000,13800.000000,0.560000,23160.000000
9,49.180172,69.208336,1000.018799,10.140000,0.400000,0.0,0.0,0.300000,999.999268,0.0,51.008915,0.0,15720.000000,0.0,0.0,46.450001,2.770000,1385652800,23520.000000,67.275917,37.960003,0.0,432.000000,5.000000,13920.000000,20640.000000,0.410000,0.080000,0.000000,13680.000000,0.0,0.080000,0.0,0.0,0.0,0.080000,0.0,0.150000,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15840.000000,13560.000000,8640,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,16080.000000,0.0,23280.000000,13920.000000,0.160000,22920.000000
