ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,66.403511,69.916664,999.996277,0.0,0.000000,0.0,0.0,0.0,999.999512,0.0,41.274181,0.0,15600.000000,0.0,0.0,0.0,24.690001,1231832880,23280.000000,48.378326,0.0,0.0,354.000000,5.000000,14040.000000,20640.000000,3.240000,0.0,0.000000,13680.000000,0.0,54.480000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15840.000000,13560.000000,7600,0.0,13800.000000,0.0,23280.000000,20520.000000,0.000000,15600.000000,0.0,23280.000000,13800.000000,0.0,23280.000000
1,65.999352,69.458336,999.990906,0.0,0.060000,0.0,0.0,0.0,999.999817,0.0,40.913521,0.0,15720.000000,0.0,0.0,0.0,22.609999,1231840640,23520.000000,47.961147,0.0,0.0,353.000000,5.000000,13920.000000,20520.000000,3.530000,0.0,0.000000,13680.000000,0.0,55.900002,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15960.000000,13560.000000,7760,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15600.000000,0.0,23280.000000,13800.000000,0.0,23280.000000
2,66.872826,70.375000,999.991211,0.0,0.000000,0.0,0.0,0.0,999.998962,0.0,40.577854,0.0,15720.000000,0.0,0.0,0.0,22.879999,1231848240,23520.000000,47.752716,0.0,0.0,354.000000,5.000000,14040.000000,20880.000000,3.150000,0.0,0.000000,13680.000000,0.0,57.270000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15960.000000,13680.000000,7600,0.0,13920.000000,0.0,23160.000000,20640.000000,0.000000,16080.000000,0.0,23280.000000,13800.000000,0.060000,23160.000000
3,66.183807,69.666664,999.951233,0.0,0.000000,0.0,0.0,0.0,999.999451,0.0,41.281239,0.0,15600.000000,0.0,0.0,0.0,23.699999,1231856000,23520.000000,48.365604,0.0,0.0,354.000000,5.000000,13920.000000,20640.000000,3.810000,0.0,0.000000,13680.000000,0.0,55.639999,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23520.000000,16080.000000,13560.000000,7760,0.0,13800.000000,0.0,23280.000000,20400.000000,0.000000,15600.000000,0.0,23160.000000,13800.000000,0.0,23160.000000
4,66.628288,70.125000,1000.032288,0.0,0.000000,0.0,0.0,0.0,1000.000488,0.0,41.467663,0.0,15600.000000,0.0,0.0,0.0,20.779999,1231863600,23280.000000,48.835751,0.0,0.0,354.000000,5.000000,14040.000000,20640.000000,3.950000,0.0,0.000000,13680.000000,0.0,57.630001,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15840.000000,13560.000000,7600,0.0,13680.000000,0.0,23160.000000,20400.000000,0.000000,15720.000000,0.0,23160.000000,13920.000000,0.0,23280.000000
5,65.630363,69.083336,999.992493,0.0,0.060000,0.0,0.0,0.0,999.999084,0.0,40.494827,0.0,15720.000000,0.0,0.0,0.0,21.609999,1231871280,23520.000000,47.438595,0.0,0.0,354.000000,5.000000,14040.000000,20640.000000,3.480000,0.0,0.000000,13680.000000,0.0,55.419998,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,16080.000000,13560.000000,7680,0.0,13920.000000,0.0,23280.000000,20520.000000,0.000000,15600.000000,0.0,23160.000000,13800.000000,0.0,23160.000000
6,67.192986,70.750000,1000.004578,0.0,0.000000,0.0,0.0,0.0,1000.000488,0.0,41.381874,0.0,15600.000000,0.0,0.0,0.0,22.709999,1231879040,23280.000000,48.372803,0.0,0.0,354.000000,5.000000,14040.000000,20880.000000,4.290000,0.0,0.000000,13680.000000,0.0,54.759998,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15960.000000,13560.000000,7760,0.0,13800.000000,0.0,23280.000000,20520.000000,0.000000,16080.000000,0.0,23160.000000,13800.000000,0.0,23160.000000
7,65.582047,69.000000,999.995178,0.0,0.060000,0.0,0.0,0.0,999.999023,0.0,40.806744,0.0,15720.000000,0.0,0.0,0.0,23.570000,1231886640,23520.000000,47.807716,0.0,0.0,354.000000,5.000000,13920.000000,20880.000000,3.520000,0.0,0.000000,13680.000000,0.0,54.669998,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15960.000000,13560.000000,7600,0.0,13920.000000,0.0,23160.000000,20520.000000,0.000000,16080.000000,0.0,22920.000000,13800.000000,0.0,23280.000000
8,66.135094,69.625000,1000.005615,0.0,0.120000,0.0,0.0,0.0,999.999817,0.0,41.671799,0.0,15600.000000,0.0,0.0,0.0,22.500000,1231894400,23280.000000,48.828526,0.0,0.0,354.000000,5.000000,13920.000000,20640.000000,2.670000,0.0,0.000000,13680.000000,0.0,56.950001,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15840.000000,13560.000000,7760,0.0,13800.000000,0.0,23280.000000,20400.000000,0.000000,16080.000000,0.0,23280.000000,13800.000000,0.0,23160.000000
9,66.178047,69.666664,1000.005676,0.0,0.000000,0.0,0.0,0.0,999.999695,0.0,40.766754,0.0,15720.000000,0.0,0.0,0.0,21.389999,1231902160,23520.000000,47.703060,0.0,0.0,354.000000,5.000000,13920.000000,20640.000000,2.620000,0.0,0.000000,13680.000000,0.0,57.970001,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15840.000000,13560.000000,7760,0.0,13800.000000,0.0,23280.000000,20640.000000,0.000000,15600.000000,0.0,23280.000000,13800.000000,0.0,23280.000000
