ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,95.529198,99.000000,1000.000061,0.0,3.509999,0.0,0.0,0.550000,999.999268,0.0,47.301266,0.0,15600.000000,0.0,0.0,0.0,3.759998,974550640,23520.000000,50.292248,0.0,0.0,371.000000,5.000000,14040.000000,20640.000000,19.359997,0.080000,0.000000,13680.000000,0.0,9.840004,0.0,0.0,0.0,0.890000,0.0,23.610003,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,1.080000,0.000000,23280.000000,16080.000000,13680.000000,11040,0.210000,13800.000000,0.0,23160.000000,20520.000000,0.000000,15840.000000,0.0,23160.000000,13920.000000,9.950002,23160.000000
1,93.259583,98.875000,1000.000671,0.0,0.220000,0.0,0.0,0.0,999.997559,0.0,57.910683,0.0,15600.000000,0.0,0.0,0.0,2.070000,974563280,23280.000000,60.456829,0.0,0.0,472.000000,5.000000,14040.000000,20520.000000,8.130000,0.0,0.000000,13680.000000,0.0,0.360000,0.0,0.0,0.0,0.120000,0.0,33.499996,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15960.000000,13560.000000,12640,0.0,13920.000000,0.0,23160.000000,20400.000000,0.000000,15840.000000,0.0,23160.000000,13800.000000,54.500000,23160.000000
2,94.012321,98.458336,999.998474,0.0,0.180000,0.0,0.0,0.0,999.999695,0.0,63.952507,0.0,15600.000000,0.0,0.0,0.0,1.760000,974572640,23520.000000,65.584190,0.0,0.0,480.000000,5.000000,14040.000000,20880.000000,8.850000,0.050000,0.000000,13680.000000,0.0,0.330000,0.0,0.0,0.0,0.090000,0.0,32.410000,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,16080.000000,13560.000000,9360,0.0,13800.000000,0.0,23280.000000,20400.000000,0.000000,15720.000000,0.0,23280.000000,13680.000000,55.649998,22920.000000
3,95.631287,99.083336,999.999817,0.0,0.410000,0.0,0.0,0.0,999.999023,0.0,65.001556,0.0,15600.000000,0.0,0.0,0.0,1.540000,974581920,23280.000000,65.769264,0.0,0.0,480.000000,5.000000,14040.000000,20520.000000,7.780000,0.0,0.000000,13680.000000,0.0,0.460000,0.0,0.0,0.0,0.030000,0.0,35.230000,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,16080.000000,13680.000000,9280,0.0,13920.000000,0.0,23280.000000,20520.000000,0.000000,15720.000000,0.0,23160.000000,13800.000000,53.759995,23280.000000
4,94.761536,98.208336,999.999268,0.0,0.040000,0.0,0.0,0.0,999.999084,0.0,64.705284,0.0,15600.000000,0.0,0.0,0.0,1.580000,974591600,23520.000000,65.549759,0.0,0.0,479.000000,5.000000,13920.000000,20880.000000,9.260000,0.0,0.000000,13680.000000,0.0,0.110000,0.0,0.0,0.0,0.0,0.0,33.329998,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15960.000000,13560.000000,9680,0.020000,13800.000000,0.0,23280.000000,20520.000000,0.000000,15840.000000,0.0,23280.000000,13800.000000,55.019993,22920.000000
5,94.479164,97.875000,999.999939,0.0,0.590000,0.0,0.0,0.0,999.999573,0.0,64.031548,0.0,15600.000000,0.0,0.0,0.0,1.680000,974600320,23520.000000,65.030388,0.0,0.0,480.000000,5.000000,14040.000000,20520.000000,7.900000,0.050000,0.000000,13680.000000,0.0,0.650000,0.0,0.0,0.0,0.020000,0.0,30.770002,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.020000,0.000000,23280.000000,15960.000000,13560.000000,8720,0.0,13920.000000,0.0,23280.000000,20520.000000,0.000000,15840.000000,0.0,23280.000000,13800.000000,55.920002,23280.000000
6,94.296875,97.833336,999.999695,0.0,0.400000,0.0,0.0,0.0,999.999573,0.0,65.403618,0.0,15600.000000,0.0,0.0,0.0,1.660000,974611600,23280.000000,66.040894,0.0,0.0,482.000000,5.000000,14040.000000,20640.000000,8.330000,0.0,0.000000,13680.000000,0.0,0.190000,0.0,0.0,0.0,0.070000,0.0,34.110001,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15960.000000,13560.000000,11280,0.0,13680.000000,0.0,23160.000000,20520.000000,0.000000,15840.000000,0.0,23280.000000,13800.000000,53.709991,23280.000000
7,94.081078,98.041664,999.998718,0.0,0.000000,0.0,0.0,0.0,999.999939,0.0,64.843941,0.0,15600.000000,0.0,0.0,0.0,1.300000,974621840,23520.000000,65.678474,0.0,0.0,482.000000,5.000000,13920.000000,20520.000000,9.160000,0.0,0.000000,13680.000000,0.0,0.080000,0.0,0.0,0.0,0.0,0.0,35.940002,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15960.000000,13560.000000,10240,0.0,13800.000000,0.0,23280.000000,20520.000000,0.000000,15720.000000,0.0,23280.000000,13800.000000,52.939999,23280.000000
8,95.521812,98.875000,999.999207,0.0,0.130000,0.0,0.0,0.0,999.998779,0.0,65.062622,0.0,15600.000000,0.0,0.0,0.0,1.770000,974630400,23640.000000,65.861740,0.0,0.0,483.000000,5.000000,14040.000000,20520.000000,9.719999,0.0,0.000000,13680.000000,0.0,0.140000,0.0,0.0,0.0,0.030000,0.0,32.900002,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23520.000000,15840.000000,13560.000000,8560,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15840.000000,0.0,23160.000000,13800.000000,54.849991,23160.000000
9,94.566437,97.958336,1000.000000,0.0,0.240000,0.0,0.0,0.0,999.999573,0.0,65.789154,0.0,15720.000000,0.0,0.0,0.0,1.130000,974639280,23520.000000,66.724800,0.0,0.0,482.000000,5.000000,13920.000000,20520.000000,7.500000,0.030000,0.000000,13680.000000,0.0,0.160000,0.0,0.0,0.0,0.060000,0.0,35.540001,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.030000,0.000000,23280.000000,15960.000000,13680.000000,8880,0.0,13800.000000,0.0,23160.000000,20400.000000,0.000000,15720.000000,0.0,23160.000000,13800.000000,54.830002,23280.000000
