ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,82.723099,86.333336,999.986755,0.0,2.960000,0.0,0.0,0.290000,999.996521,0.0,48.594208,0.0,15600.000000,0.0,0.0,0.0,4.409999,969820240,23520.000000,51.772152,0.0,0.0,384.000000,5.000000,13920.000000,20520.000000,16.970003,0.130000,0.000000,13680.000000,0.0,3.149999,0.0,0.0,0.0,1.020000,0.0,25.330004,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,1.070000,0.000000,23160.000000,15840.000000,13560.000000,10640,0.510000,13800.000000,0.0,23280.000000,20520.000000,0.000000,15840.000000,0.0,23280.000000,13800.000000,9.320002,22920.000000
1,82.924385,86.541664,999.999084,0.0,0.160000,0.0,0.0,0.0,999.998962,0.0,60.726738,0.0,15600.000000,0.0,0.0,0.0,1.870000,969831120,23520.000000,61.364548,0.0,0.0,460.000000,5.000000,13920.000000,20520.000000,8.830000,0.0,0.000000,13680.000000,0.0,0.160000,0.0,0.0,0.0,0.0,0.0,42.549999,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15840.000000,13560.000000,10880,0.0,13800.000000,0.0,23280.000000,20520.000000,0.000000,15840.000000,0.0,23160.000000,13800.000000,45.999996,23280.000000
2,83.115074,86.541664,999.983398,0.0,0.200000,0.0,0.0,0.0,999.996094,0.0,62.727451,0.0,15600.000000,0.0,0.0,0.0,1.280000,969839520,23520.000000,62.751999,0.0,0.0,461.000000,5.000000,14040.000000,20640.000000,8.309999,0.0,0.000000,13680.000000,0.0,0.170000,0.0,0.0,0.0,0.060000,0.0,42.949997,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,16080.000000,13440.000000,8400,0.0,13800.000000,0.0,22920.000000,20520.000000,0.000000,15840.000000,0.0,23160.000000,13800.000000,46.400002,22920.000000
3,82.225380,85.666664,1000.003967,0.0,0.160000,0.0,0.0,0.0,999.997009,0.0,61.965660,0.0,15600.000000,0.0,0.0,0.0,1.780000,969848240,23280.000000,62.268940,0.0,0.0,460.000000,5.000000,14040.000000,20520.000000,9.280000,0.030000,0.000000,13680.000000,0.0,0.170000,0.0,0.0,0.0,0.0,0.0,42.480000,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,16080.000000,13560.000000,8720,0.050000,13800.000000,0.0,23280.000000,20400.000000,0.000000,15840.000000,0.0,23160.000000,13800.000000,45.379997,23160.000000
4,83.228218,86.750000,999.993713,0.0,0.310000,0.0,0.0,0.0,999.999817,0.0,61.846207,0.0,15600.000000,0.0,0.0,0.0,1.400000,969857040,23280.000000,62.650188,0.0,0.0,459.000000,5.000000,14040.000000,20520.000000,8.440000,0.0,0.000000,13560.000000,0.0,0.080000,0.0,0.0,0.0,0.030000,0.0,41.560001,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,16080.000000,13560.000000,8800,0.100000,13920.000000,0.0,23280.000000,20520.000000,0.000000,15840.000000,0.0,23280.000000,13800.000000,47.579994,23160.000000
5,82.248665,85.666664,1000.000732,0.0,0.190000,0.0,0.0,0.050000,999.993103,0.0,61.837440,0.0,15600.000000,0.0,0.0,0.0,1.170000,969865680,23520.000000,62.327312,0.0,0.0,460.000000,5.000000,13920.000000,20640.000000,9.460000,0.050000,0.000000,13680.000000,0.0,0.090000,0.0,0.0,0.0,0.0,0.0,42.910000,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15960.000000,13560.000000,8640,0.0,13800.000000,0.0,23160.000000,20400.000000,0.000000,15720.000000,0.0,23160.000000,13800.000000,45.809998,23160.000000
6,82.868126,86.291664,999.999695,0.0,0.160000,0.0,0.0,0.050000,999.999695,0.0,62.339500,0.0,15600.000000,0.0,0.0,0.0,1.580000,969874000,23280.000000,63.079918,0.0,0.0,460.000000,5.000000,13920.000000,20880.000000,8.950000,0.0,0.000000,13560.000000,0.0,0.280000,0.0,0.0,0.0,0.0,0.0,41.980000,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.030000,0.000000,23160.000000,15960.000000,13560.000000,8320,0.0,13800.000000,0.0,23280.000000,20520.000000,0.000000,15840.000000,0.0,22920.000000,13680.000000,46.439995,23160.000000
7,82.744354,86.166664,1000.000671,0.0,0.220000,0.0,0.0,0.0,1000.004333,0.0,61.457832,0.0,15600.000000,0.0,0.0,0.0,0.780000,969882560,23520.000000,62.491096,0.0,0.0,460.000000,5.000000,13920.000000,20640.000000,8.180000,0.0,0.000000,13440.000000,0.0,0.240000,0.0,0.0,0.0,0.030000,0.0,43.349998,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,16080.000000,13680.000000,8560,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15840.000000,0.0,23280.000000,13800.000000,46.769997,22920.000000
8,82.866554,86.291664,999.998047,0.0,0.200000,0.0,0.0,0.0,999.996277,0.0,62.066364,0.0,15720.000000,0.0,0.0,0.0,1.310000,969891040,23520.000000,62.506886,0.0,0.0,459.000000,5.000000,14040.000000,20640.000000,9.089999,0.0,0.000000,13680.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.709999,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,16080.000000,13560.000000,8480,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15840.000000,0.0,23160.000000,13800.000000,46.289997,23160.000000
9,82.895248,86.333336,1000.000671,0.0,0.140000,0.0,0.0,0.0,1000.043152,0.0,61.627441,0.0,15600.000000,0.0,0.0,0.0,0.920000,969899600,23280.000000,62.432678,0.0,0.0,460.000000,5.000000,14040.000000,20640.000000,9.640000,0.050000,0.000000,13440.000000,0.0,0.050000,0.0,0.0,0.0,0.050000,0.0,43.070000,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15840.000000,13560.000000,8560,0.0,13800.000000,0.0,22920.000000,20520.000000,0.000000,15720.000000,0.0,23160.000000,13800.000000,45.739998,22920.000000
