ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,8.256341,12.541667,1000.000061,12.160000,4.160000,0.0,0.0,0.0,1000.038269,0.0,41.384315,0.0,15600.000000,0.0,0.0,0.0,4.860000,946290160,23520.000000,43.069305,38.810001,0.0,359.000000,5.000000,14040.000000,20640.000000,2.580000,0.0,0.000000,13680.000000,0.0,5.000000,0.0,0.0,0.0,2.570000,0.0,0.520000,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.520000,0.000000,23280.000000,16080.000000,13560.000000,9200,0.0,13800.000000,0.0,23280.000000,20520.000000,0.000000,15840.000000,0.0,23280.000000,13800.000000,6.800000,23280.000000
1,8.255452,12.416667,999.989563,17.450001,0.550000,0.0,0.0,0.0,999.996887,0.0,40.932781,0.0,15600.000000,0.0,0.0,0.0,3.060000,946298720,23280.000000,44.204357,57.810001,0.0,362.000000,5.000000,14040.000000,20640.000000,2.910000,0.0,0.000000,13680.000000,0.0,4.490000,0.0,0.0,0.0,0.780000,0.0,0.550000,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,16080.000000,13560.000000,8560,0.0,13800.000000,0.0,23280.000000,20520.000000,0.000000,15840.000000,0.0,23160.000000,13800.000000,2.200000,23160.000000
2,8.253205,12.416667,1000.051941,14.040001,0.960000,0.0,0.0,0.0,1000.018738,0.0,41.376495,0.0,15600.000000,0.0,0.0,0.0,2.930000,946307040,23280.000000,44.325459,64.570000,0.0,362.000000,5.000000,14040.000000,20880.000000,6.020000,0.0,0.000000,13800.000000,0.0,3.450000,0.0,0.0,0.0,0.0,0.0,0.910000,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15840.000000,13560.000000,8320,0.0,13800.000000,0.0,23280.000000,20520.000000,0.000000,15600.000000,0.0,23280.000000,13800.000000,0.560000,23160.000000
3,8.281766,12.416667,999.995422,14.190001,1.110000,0.0,0.0,0.540000,1000.029480,0.0,42.224285,0.0,15720.000000,0.0,0.0,0.0,3.480000,946315120,23520.000000,44.161438,60.360001,0.0,360.000000,5.000000,13920.000000,20640.000000,5.450000,0.0,0.000000,13680.000000,0.0,4.060000,0.0,0.0,0.0,1.120000,0.0,1.130000,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,16080.000000,13560.000000,8080,0.0,13800.000000,0.0,23280.000000,20520.000000,0.000000,15720.000000,0.0,23160.000000,13800.000000,3.480000,23160.000000
4,8.292079,12.500000,1000.000000,17.379999,1.030000,0.0,0.0,0.0,1000.037415,0.0,41.270325,0.0,15600.000000,0.0,0.0,0.0,3.570000,946323280,23520.000000,44.001389,60.500000,0.0,356.000000,5.000000,14040.000000,20520.000000,3.720000,0.0,0.000000,13680.000000,0.0,1.120000,0.0,0.0,0.0,0.560000,0.0,1.120000,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,16080.000000,13680.000000,8160,0.0,13800.000000,0.0,23280.000000,20400.000000,0.000000,15720.000000,0.0,23160.000000,13800.000000,2.230000,23160.000000
5,8.241422,12.375000,1000.000183,21.110001,0.000000,0.0,0.0,0.0,1000.034424,0.0,41.609177,0.0,15600.000000,0.0,0.0,0.0,1.510000,946331360,23280.000000,44.415646,66.729996,0.0,355.000000,5.000000,13920.000000,20640.000000,6.060000,0.0,0.000000,13680.000000,0.0,0.580000,0.0,0.0,0.0,0.630000,0.0,0.520000,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15840.000000,13560.000000,8080,0.0,13800.000000,0.0,23280.000000,20520.000000,0.000000,15720.000000,0.0,23160.000000,13920.000000,0.0,23280.000000
6,8.264941,12.375000,1000.054993,20.570000,2.060000,0.0,0.0,0.0,999.984070,0.0,41.544628,0.0,15720.000000,0.0,0.0,0.0,1.030000,946339280,23520.000000,44.231098,63.510002,0.0,361.000000,5.000000,14040.000000,20640.000000,3.880000,0.0,0.000000,13680.000000,0.0,0.0,0.0,0.0,0.0,1.450000,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15840.000000,13680.000000,7920,0.0,13920.000000,0.0,23280.000000,20520.000000,0.000000,15840.000000,0.0,22920.000000,13920.000000,1.120000,23160.000000
7,8.250825,12.375000,999.999817,9.760000,2.200000,0.0,0.0,0.0,1000.070007,0.0,41.996296,0.0,15720.000000,0.0,0.0,0.0,1.810000,946347360,23520.000000,43.877010,65.230003,0.0,357.000000,5.000000,13920.000000,20640.000000,5.610000,0.550000,0.000000,13680.000000,0.0,4.010000,0.0,0.0,0.0,0.0,0.0,0.550000,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,16080.000000,13560.000000,8080,0.550000,13920.000000,0.0,23160.000000,20520.000000,0.000000,15840.000000,0.0,23280.000000,13800.000000,2.120000,23160.000000
8,8.272654,12.416667,1000.014465,15.620000,1.670000,0.0,0.0,0.0,1000.059814,0.0,41.267265,0.0,15600.000000,0.0,0.0,0.0,1.390000,946355600,23520.000000,43.516930,64.639999,0.0,361.000000,5.000000,13920.000000,20640.000000,5.040000,0.0,0.000000,13560.000000,0.0,3.310000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,16080.000000,13560.000000,8240,0.0,13800.000000,0.0,23280.000000,20520.000000,0.000000,15720.000000,0.0,23280.000000,13800.000000,1.680000,23160.000000
9,8.250825,12.375000,999.977539,16.389999,0.560000,0.0,0.0,0.0,1000.028381,0.0,41.636055,0.0,15600.000000,0.0,0.0,0.0,4.350000,946363680,23520.000000,44.404903,67.309998,0.0,361.000000,5.000000,13920.000000,20880.000000,4.350000,0.0,0.000000,13680.000000,0.0,4.280000,0.0,0.0,0.0,0.0,0.0,0.560000,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,16080.000000,13560.000000,8080,0.0,13800.000000,0.0,23280.000000,20520.000000,0.000000,15840.000000,0.0,23280.000000,13920.000000,0.0,23160.000000
