ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,8.333333,12.666667,999.991211,6.970000,2.880000,0.0,0.0,0.0,1000.012939,0.0,41.739330,0.0,15720.000000,0.0,0.0,27.650002,5.860000,946698000,23280.000000,43.100163,22.660000,0.0,365.000000,5.000000,13920.000000,20520.000000,2.910000,0.0,0.000000,13680.000000,0.0,2.900000,0.0,0.0,0.0,0.480000,0.0,0.970000,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.480000,0.000000,23280.000000,16080.000000,13440.000000,9360,0.0,13800.000000,0.0,22920.000000,20520.000000,0.000000,15720.000000,0.0,23280.000000,13800.000000,3.820000,23160.000000
1,8.197041,12.291667,1000.000244,10.470000,1.920000,0.0,0.0,0.0,1000.025635,0.0,41.332451,0.0,15600.000000,0.0,0.0,38.310001,4.390000,946706480,23280.000000,44.510742,31.639999,0.0,363.000000,5.000000,13920.000000,20640.000000,0.950000,0.0,0.000000,13560.000000,0.0,2.640000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15960.000000,13440.000000,8480,0.0,13920.000000,0.0,23160.000000,20400.000000,0.000000,15840.000000,0.0,23280.000000,13920.000000,3.840000,23280.000000
2,8.317863,12.458333,1000.066650,12.250000,0.050000,0.0,0.0,0.0,1000.037109,0.0,41.514175,0.0,15720.000000,0.0,0.0,33.509998,7.190000,946714640,23280.000000,44.540344,39.970001,0.0,360.000000,5.000000,13800.000000,20640.000000,0.490000,0.0,0.000000,13680.000000,0.0,1.440000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.480000,0.000000,23280.000000,15960.000000,13560.000000,8160,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15840.000000,0.0,23160.000000,13800.000000,0.480000,23160.000000
3,8.223958,12.291667,1000.040955,12.719999,0.480000,0.0,0.0,0.0,1000.000305,0.0,42.425583,0.0,15720.000000,0.0,0.0,42.619999,3.400000,946722560,23520.000000,44.560463,32.420002,0.0,363.000000,5.000000,14040.000000,20640.000000,0.050000,0.480000,0.000000,13680.000000,0.0,2.270000,0.0,0.0,0.0,0.440000,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,16080.000000,13560.000000,7920,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15840.000000,0.0,23160.000000,13800.000000,0.480000,23160.000000
4,8.302083,12.458333,1000.003845,8.799999,0.960000,0.0,0.0,0.0,1000.013000,0.0,42.417847,0.0,15600.000000,0.0,0.0,43.310001,2.930000,946730640,23280.000000,44.712448,36.340000,0.0,359.000000,5.000000,14040.000000,20520.000000,0.460000,0.0,0.000000,13680.000000,0.0,2.070000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,16080.000000,13680.000000,8080,0.470000,13800.000000,0.0,23280.000000,20520.000000,0.000000,15840.000000,0.0,23160.000000,13800.000000,0.480000,23280.000000
5,8.199258,12.291667,999.999451,10.220000,1.890000,0.0,0.0,0.0,1000.071472,0.0,41.670204,0.0,15600.000000,0.0,0.0,39.380001,6.539999,946738640,23520.000000,44.752872,31.559999,0.0,362.000000,5.000000,13920.000000,20640.000000,0.950000,0.0,0.000000,13680.000000,0.0,1.420000,0.0,0.0,0.0,0.0,0.0,0.470000,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,16080.000000,13560.000000,8000,0.0,13920.000000,0.0,23280.000000,20520.000000,0.000000,15720.000000,0.0,23160.000000,13800.000000,1.410000,23160.000000
6,8.245668,12.375000,1000.000000,11.420000,0.530000,0.0,0.0,0.0,1000.020935,0.0,41.921650,0.0,15720.000000,0.0,0.0,46.590000,2.990000,946746720,23520.000000,44.743279,33.029999,0.0,365.000000,5.000000,13920.000000,20640.000000,0.910000,0.0,0.000000,13680.000000,0.0,2.060000,0.0,0.0,0.0,0.480000,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,16080.000000,13560.000000,8080,0.0,13920.000000,0.0,23280.000000,20520.000000,0.000000,15840.000000,0.0,23160.000000,13800.000000,0.540000,23280.000000
7,8.317551,12.500000,999.984436,9.200001,0.490000,0.0,0.0,0.0,1000.000183,0.0,42.240242,0.0,15600.000000,0.0,0.0,40.210003,3.400000,946754720,23520.000000,44.093460,37.340000,0.0,365.000000,5.000000,13920.000000,20640.000000,1.240000,0.0,0.000000,13560.000000,0.0,1.890000,0.0,0.0,0.0,0.470000,0.0,0.470000,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,16080.000000,13560.000000,8000,0.0,13800.000000,0.0,23280.000000,20520.000000,0.000000,15720.000000,0.0,23280.000000,13800.000000,0.470000,22920.000000
8,8.223958,12.333333,1000.000244,10.660000,0.920000,0.0,0.0,0.0,1000.015869,0.0,42.022652,0.0,15600.000000,0.0,0.0,43.200001,4.790000,946762640,23280.000000,44.051704,32.930000,0.0,362.000000,5.000000,13920.000000,20520.000000,0.0,0.0,0.000000,13680.000000,0.0,2.550000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15840.000000,13560.000000,7920,0.480000,13920.000000,0.0,23160.000000,20520.000000,0.000000,15840.000000,0.0,23160.000000,13800.000000,0.480000,23280.000000
9,8.312289,12.458333,1000.031555,12.349999,2.410000,0.0,0.0,0.0,1000.034180,0.0,41.890930,0.0,15600.000000,0.0,0.0,37.580002,5.370000,946770640,23520.000000,45.059410,30.509998,0.0,364.000000,5.000000,13920.000000,20520.000000,1.450000,0.0,0.000000,13680.000000,0.0,2.150000,0.0,0.0,0.0,0.480000,0.0,0.960000,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15840.000000,13560.000000,8000,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15720.000000,0.0,23160.000000,13800.000000,1.920000,23160.000000
