ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,33.409550,37.541668,999.978027,2.080000,3.459999,0.0,0.0,0.250000,999.997986,0.0,43.157097,0.0,15600.000000,0.0,0.0,0.0,12.209997,1125913120,23520.000000,44.796425,0.0,0.0,358.000000,5.000000,13800.000000,20640.000000,7.069999,0.360000,0.000000,13560.000000,0.0,5.059999,5.820000,0.0,0.0,1.450000,0.0,2.699999,0.000000,0.0,2.830000,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.900000,0.000000,23280.000000,15960.000000,13560.000000,9840,0.240000,13920.000000,1.820000,23160.000000,20520.000000,0.000000,15600.000000,0.0,23280.000000,13800.000000,11.559996,22920.000000
1,31.866987,36.000000,1000.007080,1.220000,4.749999,0.0,0.0,0.120000,1000.069031,0.0,42.787914,0.0,15720.000000,0.0,0.0,0.0,11.059997,1125923520,23520.000000,44.375393,0.0,0.0,358.000000,5.000000,13920.000000,20520.000000,5.679999,0.360000,0.000000,13680.000000,0.0,3.750000,8.130000,0.0,0.0,1.470000,0.0,4.119999,0.000000,0.0,3.040000,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,1.100000,0.000000,23280.000000,16080.000000,13560.000000,10400,0.130000,13800.000000,1.600000,23160.000000,20520.000000,0.000000,16080.000000,0.0,23160.000000,13800.000000,13.689995,23160.000000
2,33.485775,37.625000,999.997742,1.820000,4.780000,0.0,0.0,0.120000,1000.028137,0.0,42.982624,0.0,15600.000000,0.0,0.0,0.0,8.819998,1125933520,23520.000000,44.449528,0.0,0.0,354.000000,5.000000,14040.000000,20640.000000,5.689999,0.360000,0.000000,13560.000000,0.0,4.499999,7.730000,0.0,0.0,0.770000,0.0,3.279999,0.000000,0.0,4.630000,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,1.500000,0.000000,23520.000000,16080.000000,13680.000000,10000,0.360000,13800.000000,0.980000,23160.000000,20400.000000,0.000000,16080.000000,0.0,23160.000000,13800.000000,12.709995,23160.000000
3,32.549999,36.666668,1000.078064,0.0,5.690000,0.0,0.0,0.240000,1000.001404,0.0,43.370152,0.0,15720.000000,0.0,0.0,0.0,7.949996,1125943360,23520.000000,45.358162,0.0,0.0,361.000000,5.000000,14040.000000,20640.000000,5.829999,0.280000,0.000000,13680.000000,0.0,5.059999,0.0,0.0,0.0,2.910000,0.0,5.519999,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,1.330000,0.000000,23280.000000,16080.000000,13560.000000,9840,0.480000,13800.000000,0.0,23160.000000,20880.000000,0.000000,15600.000000,0.0,23160.000000,13800.000000,16.459997,23160.000000
4,33.083012,37.166668,999.987366,0.0,8.160001,0.0,0.0,0.280000,999.991699,0.0,44.630390,0.0,15600.000000,0.0,0.0,0.0,12.610004,1125953760,23280.000000,47.713856,0.0,0.0,379.000000,5.000000,13920.000000,20640.000000,5.909999,0.130000,0.000000,13680.000000,0.0,4.690000,0.0,0.0,0.0,1.960000,0.0,4.030001,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,1.690000,0.000000,23160.000000,16080.000000,13560.000000,10400,0.990000,13920.000000,0.0,23280.000000,20640.000000,0.000000,15840.000000,0.0,23280.000000,13800.000000,14.570011,23280.000000
5,28.894043,33.000000,999.998108,0.120000,0.000000,0.0,0.0,0.0,1000.050049,0.0,47.500187,0.0,15720.000000,0.0,0.0,0.240000,1.470000,1125963840,23280.000000,51.035980,7.500000,0.0,375.000000,5.000000,13920.000000,20640.000000,2.190000,0.0,0.000000,13680.000000,0.0,1.650000,60.579998,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15960.000000,13560.000000,10080,0.0,13800.000000,0.0,23160.000000,20640.000000,0.000000,16200.000000,0.0,23280.000000,13800.000000,0.120000,23160.000000
6,33.376289,37.250000,999.995605,0.240000,0.120000,0.0,0.0,0.0,1000.066406,0.0,48.314049,0.0,15600.000000,0.0,0.0,0.120000,1.470000,1125971760,23520.000000,51.916679,8.820000,0.0,375.000000,5.000000,14040.000000,20640.000000,1.230000,0.0,0.000000,13560.000000,0.0,0.990000,59.760002,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.360000,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15840.000000,13560.000000,7920,0.0,13800.000000,0.0,23160.000000,20640.000000,0.000000,15840.000000,0.0,23160.000000,13800.000000,0.0,23280.000000
7,32.924107,36.750000,1000.018311,0.290000,0.100000,0.0,0.0,0.0,1000.063416,0.0,48.433224,0.0,15720.000000,0.0,0.0,0.130000,1.860000,1125979520,23280.000000,51.837608,7.800001,0.0,377.000000,5.000000,13920.000000,20640.000000,8.920002,0.0,0.000000,13680.000000,0.0,1.270000,57.120007,0.0,0.0,0.020000,0.0,0.020000,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,16080.000000,13560.000000,7760,0.020000,13800.000000,0.0,23280.000000,20520.000000,0.000000,15600.000000,0.0,23160.000000,13800.000000,0.140000,23160.000000
8,33.269459,37.250000,1000.063660,0.490000,0.000000,0.0,0.0,0.0,1000.000183,0.0,47.967709,0.0,15720.000000,0.0,0.0,0.0,1.900000,1125988000,23520.000000,51.440647,7.389999,0.0,376.000000,5.000000,13920.000000,20640.000000,2.560000,0.0,0.000000,13560.000000,0.0,1.090000,58.420010,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.120000,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,16080.000000,13680.000000,8480,0.0,13920.000000,0.0,22920.000000,20520.000000,0.000000,15840.000000,0.0,23280.000000,13800.000000,0.0,22920.000000
9,33.392399,37.291668,1000.005676,0.490000,0.000000,0.0,0.0,0.0,999.966064,0.0,48.392464,0.0,15600.000000,0.0,0.0,0.0,1.500000,1125995840,23520.000000,51.703102,7.800000,0.0,374.000000,5.000000,13920.000000,20520.000000,1.350000,0.0,0.000000,13680.000000,0.0,2.210000,55.589993,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15840.000000,13560.000000,7840,0.0,13800.000000,0.0,23280.000000,20520.000000,0.000000,15840.000000,0.0,23280.000000,13680.000000,0.240000,23280.000000
