ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,49.685078,53.625000,1000.022766,0.0,0.970000,0.0,0.0,0.0,1000.024597,0.0,50.860641,0.0,15600.000000,0.0,0.0,0.0,3.279999,962524560,23520.000000,52.452843,78.720001,0.0,421.000000,5.000000,13920.000000,20520.000000,7.250000,0.0,0.000000,13680.000000,0.0,0.720000,0.0,0.0,0.0,0.080000,0.0,0.610000,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.100000,0.000000,23160.000000,16080.000000,13560.000000,10320,0.200000,13800.000000,0.0,23280.000000,20520.000000,0.000000,15720.000000,0.0,23280.000000,13800.000000,2.659999,23160.000000
1,49.715908,53.583332,999.991943,0.0,0.630000,0.0,0.0,0.0,999.968018,0.0,53.761520,0.0,15600.000000,0.0,0.0,0.0,2.820000,962534240,23520.000000,54.982018,85.730003,0.0,424.000000,5.000000,13920.000000,20640.000000,8.080000,0.0,0.000000,13440.000000,0.0,0.440000,0.0,0.0,0.0,0.080000,0.0,0.320000,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15840.000000,13560.000000,9680,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15840.000000,0.0,23160.000000,13800.000000,0.750000,23160.000000
2,49.849106,53.625000,1000.026428,0.0,0.240000,0.0,0.0,0.080000,1000.055481,0.0,53.724743,0.0,15600.000000,0.0,0.0,0.0,3.160000,962542880,23520.000000,55.265900,86.010002,0.0,424.000000,5.000000,14040.000000,20640.000000,7.700000,0.080000,0.000000,13680.000000,0.0,0.700000,0.0,0.0,0.0,0.080000,0.0,0.080000,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.080000,0.000000,23280.000000,16080.000000,13560.000000,8640,0.0,13680.000000,0.0,23280.000000,20520.000000,0.000000,15720.000000,0.0,22920.000000,13800.000000,0.320000,22920.000000
3,49.956192,53.750000,1000.041565,0.0,0.300000,0.0,0.0,0.0,1000.060974,0.0,53.606976,0.0,15600.000000,0.0,0.0,0.0,2.550000,962551440,23520.000000,55.494637,85.349998,0.0,424.000000,5.000000,13920.000000,20520.000000,9.130000,0.080000,0.000000,13560.000000,0.0,0.640000,0.0,0.0,0.0,0.0,0.0,0.160000,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15960.000000,13560.000000,8560,0.0,13800.000000,0.0,22920.000000,20520.000000,0.000000,16080.000000,0.0,23520.000000,13800.000000,0.530000,23280.000000
4,49.238403,52.958332,1000.067078,0.0,0.700000,0.0,0.0,0.0,999.969910,0.0,53.878464,0.0,15720.000000,0.0,0.0,0.0,2.670000,962559840,23640.000000,55.458591,85.580002,0.0,424.000000,5.000000,13920.000000,20640.000000,8.140000,0.0,0.000000,13800.000000,0.0,0.740000,0.0,0.0,0.0,0.0,0.0,0.230000,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15840.000000,13680.000000,8400,0.080000,13920.000000,0.0,23160.000000,20520.000000,0.000000,15720.000000,0.0,23160.000000,13800.000000,0.610000,23280.000000
5,49.522572,53.291668,1000.051208,0.0,0.480000,0.0,0.0,0.0,999.982483,0.0,54.271671,0.0,15600.000000,0.0,0.0,0.0,1.930000,962568480,23280.000000,55.387516,84.779999,0.0,424.000000,5.000000,14040.000000,20640.000000,9.480000,0.0,0.000000,13440.000000,0.0,1.020000,0.0,0.0,0.0,0.0,0.0,0.080000,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,16080.000000,13680.000000,8640,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15720.000000,0.0,23280.000000,13800.000000,0.720000,22920.000000
6,49.782196,53.583332,1000.000732,0.0,0.320000,0.0,0.0,0.080000,1000.000549,0.0,53.549671,0.0,15720.000000,0.0,0.0,0.0,2.260000,962577280,23520.000000,55.251312,85.459999,0.0,425.000000,5.000000,13920.000000,20640.000000,8.670000,0.150000,0.000000,13680.000000,0.0,0.470000,0.0,0.0,0.0,0.0,0.0,0.160000,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15840.000000,13560.000000,8800,0.0,13800.000000,0.0,23280.000000,20520.000000,0.000000,15840.000000,0.0,23160.000000,13920.000000,0.530000,23280.000000
7,49.522976,53.291668,1000.041199,0.0,0.400000,0.0,0.0,0.0,1000.012024,0.0,54.015678,0.0,15720.000000,0.0,0.0,0.0,2.820000,962585840,23520.000000,55.787510,86.040001,0.0,424.000000,5.000000,13920.000000,20640.000000,7.950000,0.0,0.000000,13680.000000,0.0,0.230000,0.0,0.0,0.0,0.080000,0.0,0.080000,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15960.000000,13560.000000,8560,0.080000,13800.000000,0.0,23160.000000,20400.000000,0.000000,15720.000000,0.0,23280.000000,13680.000000,0.480000,23160.000000
8,50.245945,54.083332,1000.014954,0.0,0.310000,0.0,0.0,0.0,1000.029846,0.0,54.034065,0.0,15600.000000,0.0,0.0,0.0,2.619999,962594640,23280.000000,55.258625,83.519997,0.0,424.000000,5.000000,13920.000000,20640.000000,9.389999,0.0,0.000000,13680.000000,0.0,0.630000,0.0,0.0,0.0,0.0,0.0,0.080000,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15840.000000,13680.000000,8800,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15720.000000,0.0,23280.000000,13800.000000,0.710000,22920.000000
9,49.207020,52.958332,1000.005676,0.0,0.550000,0.0,0.0,0.0,1000.030457,0.0,54.055855,0.0,15720.000000,0.0,0.0,0.0,1.870000,962603360,23520.000000,55.226414,87.370003,0.0,424.000000,5.000000,13920.000000,20520.000000,7.800000,0.080000,0.000000,13800.000000,0.0,0.560000,0.0,0.0,0.0,0.0,0.0,0.160000,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15840.000000,13680.000000,8720,0.0,13800.000000,0.0,23280.000000,20520.000000,0.000000,15840.000000,0.0,23520.000000,13800.000000,0.240000,23160.000000
