ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,49.768066,53.708332,1000.084412,0.0,1.150000,0.0,0.0,0.0,1000.003601,0.0,49.518692,0.0,15600.000000,0.0,0.0,0.0,1.250000,962077280,23520.000000,51.515049,0.0,0.0,411.000000,5.000000,13920.000000,20880.000000,14.080000,0.0,0.000000,13680.000000,0.0,2.090000,0.0,0.0,0.0,0.200000,0.0,4.000000,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.230000,0.000000,23160.000000,16080.000000,13560.000000,10240,0.040000,13920.000000,0.0,23160.000000,20520.000000,0.000000,15600.000000,0.0,23160.000000,13800.000000,72.620018,22920.000000
1,49.917980,53.875000,1000.058289,0.0,0.360000,0.0,0.0,0.0,999.997620,0.0,52.165966,0.0,15600.000000,0.0,0.0,0.0,0.310000,962087440,23520.000000,54.323009,0.0,0.0,414.000000,5.000000,13920.000000,20520.000000,13.780001,0.0,0.000000,13680.000000,0.0,0.180000,0.0,0.0,0.0,0.0,0.0,0.060000,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.050000,0.000000,23280.000000,15840.000000,13560.000000,10160,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15840.000000,0.0,23280.000000,13800.000000,83.650024,23160.000000
2,49.533726,53.291668,999.999939,0.0,0.210000,0.0,0.0,0.0,1000.075012,0.0,52.303524,0.0,15600.000000,0.0,0.0,0.0,0.180000,962095840,23520.000000,54.048294,0.0,0.0,414.000000,5.000000,14040.000000,20880.000000,14.500000,0.0,0.000000,13680.000000,0.0,0.220000,0.0,0.0,0.0,0.0,0.0,0.220000,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15840.000000,13560.000000,8400,0.0,13800.000000,0.0,23280.000000,20520.000000,0.000000,15840.000000,0.0,23160.000000,13800.000000,84.170006,23160.000000
3,49.576183,53.291668,1000.000061,0.0,0.200000,0.0,0.0,0.0,999.994080,0.0,52.795151,0.0,15600.000000,0.0,0.0,0.0,0.490000,962104000,23520.000000,54.456417,0.0,0.0,413.000000,5.000000,13920.000000,20640.000000,11.760001,0.080000,0.000000,13680.000000,0.0,0.210000,0.0,0.0,0.0,0.100000,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15960.000000,13560.000000,8160,0.0,13800.000000,0.0,22920.000000,20520.000000,0.000000,15840.000000,0.0,23280.000000,13920.000000,85.660019,23160.000000
4,49.469433,53.166668,1000.054382,0.0,0.130000,0.0,0.0,0.080000,999.976379,0.0,52.041000,0.0,15600.000000,0.0,0.0,0.0,0.230000,962112480,23280.000000,53.950565,0.0,0.0,415.000000,5.000000,14040.000000,20520.000000,12.670000,0.080000,0.000000,13560.000000,0.0,0.110000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15960.000000,13560.000000,8480,0.050000,13800.000000,0.0,23160.000000,20400.000000,0.000000,15720.000000,0.0,23160.000000,13800.000000,85.909996,23160.000000
5,49.724560,53.500000,1000.001221,0.0,0.280000,0.0,0.0,0.170000,1000.065918,0.0,52.526585,0.0,15720.000000,0.0,0.0,0.0,0.600000,962120880,23520.000000,54.263153,0.0,0.0,415.000000,5.000000,14040.000000,20880.000000,11.650001,0.0,0.000000,13680.000000,0.0,0.210000,0.0,0.0,0.0,0.050000,0.0,0.050000,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15840.000000,13560.000000,8400,0.0,13800.000000,0.0,22920.000000,20520.000000,0.000000,15480.000000,0.0,23160.000000,13800.000000,85.220009,23280.000000
6,49.552181,53.333332,999.999756,0.0,0.080000,0.0,0.0,0.0,999.979431,0.0,52.555855,0.0,15600.000000,0.0,0.0,0.0,0.250000,962129360,23280.000000,54.352798,0.0,0.0,414.000000,5.000000,13800.000000,20640.000000,12.440001,0.0,0.000000,13680.000000,0.0,0.490000,0.0,0.0,0.0,0.050000,0.0,0.230000,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15840.000000,13560.000000,8480,0.0,13800.000000,0.0,23280.000000,20520.000000,0.000000,15840.000000,0.0,23160.000000,13800.000000,85.960007,23280.000000
7,49.867237,53.625000,1000.010254,0.0,0.280000,0.0,0.0,0.0,1000.039612,0.0,52.097221,0.0,15720.000000,0.0,0.0,0.0,0.260000,962137600,23520.000000,53.742313,0.0,0.0,413.000000,5.000000,13920.000000,20520.000000,12.490000,0.050000,0.000000,13560.000000,0.0,0.180000,0.0,0.0,0.0,0.180000,0.0,0.110000,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,16080.000000,13440.000000,8240,0.0,13920.000000,0.0,23280.000000,20520.000000,0.000000,15720.000000,0.0,23280.000000,13800.000000,85.600006,23160.000000
8,49.450230,53.208332,1000.096436,0.0,0.230000,0.0,0.0,0.0,1000.001526,0.0,52.485977,0.0,15720.000000,0.0,0.0,0.0,0.460000,962146240,23280.000000,54.543682,0.0,0.0,414.000000,5.000000,13920.000000,20640.000000,12.610001,0.0,0.000000,13800.000000,0.0,0.360000,0.0,0.0,0.0,0.0,0.0,0.050000,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.050000,0.000000,23160.000000,16080.000000,13560.000000,8640,0.080000,13800.000000,0.0,23280.000000,20520.000000,0.000000,15840.000000,0.0,23280.000000,13920.000000,85.200020,23280.000000
9,49.401287,53.125000,1000.030579,0.0,0.430000,0.0,0.0,0.0,999.971008,0.0,51.942043,0.0,15600.000000,0.0,0.0,0.0,0.280000,962154720,23280.000000,53.640091,0.0,0.0,414.000000,5.000000,13920.000000,20640.000000,13.650001,0.0,0.000000,13680.000000,0.0,0.330000,0.0,0.0,0.0,0.0,0.0,0.130000,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.050000,0.000000,23520.000000,15840.000000,13560.000000,8480,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15720.000000,0.0,22920.000000,13800.000000,84.360001,23280.000000
