ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,49.793320,53.750000,1000.003967,0.0,0.460000,0.0,0.0,0.0,1000.051086,0.0,47.766727,0.0,15600.000000,0.0,0.0,0.0,2.550000,963866880,23520.000000,49.389614,3.720000,0.0,388.000000,5.000000,13920.000000,20640.000000,5.930000,0.040000,0.000000,13680.000000,0.0,0.350000,83.169998,0.0,0.0,0.120000,0.0,0.670000,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.040000,0.000000,23160.000000,16080.000000,13560.000000,10160,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15840.000000,0.0,23280.000000,13920.000000,1.320000,23160.000000
1,49.695126,53.625000,1000.061951,0.0,0.000000,0.0,0.0,0.0,1000.017578,0.0,48.372501,0.0,15600.000000,0.0,0.0,0.0,2.520000,963876720,23280.000000,50.147812,2.780000,0.0,390.000000,5.000000,13920.000000,20520.000000,6.340000,0.0,0.000000,13680.000000,0.0,0.0,88.090004,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,16080.000000,13560.000000,9840,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15840.000000,0.0,23160.000000,13800.000000,0.0,23160.000000
2,49.575817,53.208332,1000.006165,0.0,0.000000,0.0,0.0,0.0,1000.085938,0.0,49.288551,0.0,15600.000000,0.0,0.0,0.0,2.070000,963884400,23520.000000,50.609299,3.310000,0.0,390.000000,5.000000,13920.000000,20520.000000,5.980000,0.0,0.000000,13560.000000,0.0,0.0,88.479996,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15840.000000,13560.000000,7680,0.0,13800.000000,0.0,22920.000000,20400.000000,0.000000,15720.000000,0.0,23160.000000,13800.000000,0.0,23280.000000
3,49.629513,53.250000,1000.046875,0.0,0.060000,0.0,0.0,0.0,1000.000061,0.0,48.212406,0.0,15720.000000,0.0,0.0,0.0,1.570000,963892160,23520.000000,50.225925,4.550000,0.0,389.000000,5.000000,13920.000000,20640.000000,6.050000,0.0,0.000000,13680.000000,0.0,0.250000,87.300003,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,16080.000000,13680.000000,7760,0.0,13800.000000,0.0,23280.000000,20520.000000,0.000000,15840.000000,0.0,23160.000000,13800.000000,0.0,23160.000000
4,49.760418,53.500000,1000.047668,0.0,0.320000,0.0,0.0,0.0,1000.015320,0.0,48.999905,0.0,15600.000000,0.0,0.0,0.0,1.420000,963900240,23520.000000,51.182018,2.640000,0.0,390.000000,5.000000,13920.000000,20640.000000,7.460000,0.0,0.000000,13560.000000,0.0,0.030000,87.250000,0.0,0.0,0.060000,0.0,0.030000,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.030000,0.000000,23280.000000,16080.000000,13560.000000,8080,0.0,13800.000000,0.0,23160.000000,20400.000000,0.000000,15840.000000,0.0,22920.000000,13800.000000,0.350000,22920.000000
5,49.255951,52.958332,999.991394,0.0,0.080000,0.0,0.0,0.0,1000.004333,0.0,48.441998,0.0,15720.000000,0.0,0.0,0.0,1.950000,963908560,23520.000000,50.920017,3.080000,0.0,389.000000,5.000000,13920.000000,20640.000000,6.370000,0.0,0.000000,13680.000000,0.0,0.140000,87.209999,0.0,0.0,0.030000,0.0,0.090000,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,16080.000000,13560.000000,8320,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15720.000000,0.0,23160.000000,13800.000000,0.300000,22920.000000
6,49.698212,53.458332,1000.002502,0.0,0.000000,0.0,0.0,0.0,1000.046875,0.0,48.066628,0.0,15600.000000,0.0,0.0,0.0,1.470000,963917120,23520.000000,50.007725,2.730000,0.0,390.000000,5.000000,14040.000000,20640.000000,8.300000,0.0,0.000000,13560.000000,0.0,0.080000,87.080002,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,16080.000000,13560.000000,8560,0.0,13800.000000,0.0,22920.000000,20520.000000,0.000000,16200.000000,0.0,23280.000000,13800.000000,0.0,23160.000000
7,50.455730,54.208332,1000.044250,0.0,0.080000,0.0,0.0,0.0,1000.016052,0.0,49.069599,0.0,15600.000000,0.0,0.0,0.0,1.800000,963924880,23280.000000,50.897686,2.580000,0.0,390.000000,5.000000,14040.000000,20640.000000,6.540000,0.0,0.000000,13680.000000,0.0,0.080000,88.740005,0.0,0.0,0.0,0.0,0.080000,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23520.000000,16080.000000,13560.000000,7760,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15840.000000,0.0,23160.000000,13800.000000,0.0,23280.000000
8,49.266582,52.875000,1000.020325,0.0,0.000000,0.0,0.0,0.0,999.999939,0.0,48.612213,0.0,15720.000000,0.0,0.0,0.0,1.770000,963932720,23520.000000,50.492256,3.030000,0.0,389.000000,5.000000,14040.000000,20640.000000,6.100000,0.0,0.000000,13560.000000,0.0,0.070000,88.860001,0.0,0.0,0.0,0.0,0.080000,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15840.000000,13680.000000,7840,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15840.000000,0.0,23280.000000,13800.000000,0.080000,23280.000000
9,49.934895,53.625000,1000.014343,0.0,0.030000,0.0,0.0,0.0,1000.005066,0.0,48.406765,0.0,15600.000000,0.0,0.0,0.0,1.510000,963940400,23280.000000,50.502975,3.030000,0.0,388.000000,5.000000,14040.000000,20640.000000,6.430000,0.0,0.000000,13680.000000,0.0,0.080000,88.610001,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,16080.000000,13560.000000,7680,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15840.000000,0.0,23280.000000,13800.000000,0.140000,23160.000000
