ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,4.123264,8.375000,1000.028076,0.0,0.000000,0.0,0.0,0.0,999.999817,0.0,37.842278,0.0,15600.000000,0.0,0.0,0.0,0.0,944311040,23520.000000,41.968948,0.0,0.0,347.000000,5.000000,13920.000000,20640.000000,0.0,0.0,0.000000,13560.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,16080.000000,13440.000000,7520,0.0,13920.000000,0.0,23160.000000,20520.000000,0.000000,15600.000000,0.0,23280.000000,13800.000000,0.0,23280.000000
1,4.079861,7.875000,1000.062195,0.0,3.460000,0.0,0.0,0.0,1000.000183,0.0,38.421860,0.0,15720.000000,0.0,0.0,0.0,11.310000,944317280,23640.000000,42.409775,0.0,0.0,349.000000,5.000000,14040.000000,20880.000000,4.310000,0.0,0.000000,13560.000000,0.0,3.180000,0.0,0.0,0.0,0.0,0.0,66.720009,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.800000,0.000000,23280.000000,16080.000000,13560.000000,6240,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15600.000000,0.0,23280.000000,13800.000000,2.390000,23280.000000
2,4.171928,8.375000,1000.054443,0.0,0.810000,0.0,0.0,0.0,1000.000061,0.0,38.374908,0.0,15600.000000,0.0,0.0,0.0,11.320001,944325280,23640.000000,42.319122,0.0,0.0,347.000000,5.000000,13920.000000,20640.000000,1.640000,0.0,0.000000,13680.000000,0.0,3.980000,0.0,0.0,0.0,0.0,0.0,53.570000,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,16080.000000,13560.000000,8000,0.0,13920.000000,0.0,23160.000000,20520.000000,0.000000,15840.000000,0.0,23280.000000,13800.000000,4.850000,23160.000000
3,4.125412,8.291667,1000.072205,0.0,1.520000,0.0,0.0,0.0,999.999756,0.0,38.388172,0.0,15600.000000,0.0,0.0,0.0,13.910000,944333360,23520.000000,42.505257,0.0,0.0,348.000000,5.000000,13920.000000,20640.000000,7.200000,0.0,0.000000,13560.000000,0.0,2.880000,0.0,0.0,0.0,0.0,0.0,69.650002,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.240000,0.000000,23280.000000,16080.000000,13560.000000,8080,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15840.000000,0.0,23160.000000,13800.000000,1.460000,22920.000000
4,4.118835,8.291667,1000.069763,0.0,0.790000,0.0,0.0,0.0,999.999756,0.0,38.689816,0.0,15720.000000,0.0,0.0,0.0,13.760000,944341200,23280.000000,42.788525,0.0,0.0,350.000000,5.000000,13920.000000,20640.000000,6.860000,0.0,0.000000,13560.000000,0.0,5.580000,0.0,0.0,0.0,0.0,0.0,60.420002,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,16080.000000,13560.000000,7840,0.0,13800.000000,0.0,23280.000000,20400.000000,0.000000,15840.000000,0.0,23280.000000,13800.000000,2.370000,23160.000000
5,4.141136,8.333333,1000.052307,0.0,0.790000,0.0,0.0,0.0,1000.000977,0.0,38.037975,0.0,15720.000000,0.0,0.0,0.0,9.490001,944349360,23280.000000,42.046055,0.0,0.0,349.000000,5.000000,13920.000000,20520.000000,2.900000,0.0,0.000000,13680.000000,0.0,6.390000,0.0,0.0,0.0,0.790000,0.0,66.070000,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15840.000000,13560.000000,8160,0.930000,13920.000000,0.0,23160.000000,20520.000000,0.000000,15840.000000,0.0,23160.000000,13920.000000,2.370000,23160.000000
6,4.109942,8.291667,1000.044617,0.0,0.790000,0.0,0.0,0.0,999.996033,0.0,38.450645,0.0,15720.000000,0.0,0.0,0.0,21.520004,944357440,23520.000000,42.457840,0.0,0.0,350.000000,5.000000,14040.000000,20880.000000,7.920000,0.0,0.000000,13680.000000,0.0,3.170000,0.0,0.0,0.0,1.060000,0.0,57.540001,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,16080.000000,13680.000000,8080,0.0,13800.000000,0.0,23280.000000,20400.000000,0.000000,15600.000000,0.0,23280.000000,13800.000000,1.580000,22920.000000
7,4.166667,8.375000,1000.067871,0.0,0.000000,0.0,0.0,0.0,999.999939,0.0,38.817410,0.0,15600.000000,0.0,0.0,0.0,11.030000,944365440,23520.000000,43.078163,0.0,0.0,351.000000,5.000000,13920.000000,20640.000000,9.760000,0.0,0.000000,13680.000000,0.0,1.340000,0.0,0.0,0.0,0.0,0.0,75.860001,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,16080.000000,13560.000000,8000,0.0,13800.000000,0.0,23160.000000,20280.000000,0.000000,15840.000000,0.0,22920.000000,13800.000000,0.0,22920.000000
8,4.101562,8.166667,1000.074524,0.0,3.180000,0.0,0.0,0.0,1000.000183,0.0,38.086685,0.0,15600.000000,0.0,0.0,0.0,12.049999,944373040,23520.000000,42.263821,0.0,0.0,349.000000,5.000000,13920.000000,20640.000000,8.700000,0.0,0.000000,13680.000000,0.0,6.670000,0.0,0.0,0.0,0.0,0.0,59.070000,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,16080.000000,13560.000000,7600,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15840.000000,0.0,23160.000000,13800.000000,1.590000,22920.000000
9,4.115605,8.250000,1000.085144,0.0,0.780000,0.0,0.0,0.0,999.999695,0.0,38.419395,0.0,15600.000000,0.0,0.0,0.0,13.059999,944381200,23280.000000,42.577251,0.0,0.0,350.000000,5.000000,14040.000000,20640.000000,6.840000,0.0,0.000000,13440.000000,0.0,0.080000,0.0,0.0,0.0,0.780000,0.0,68.150002,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15840.000000,13560.000000,8160,0.0,13920.000000,0.0,23280.000000,20520.000000,0.000000,15720.000000,0.0,23160.000000,13800.000000,1.540000,23280.000000
