ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,82.728859,86.333336,999.998840,0.0,3.740000,0.0,0.0,0.250000,999.999512,0.0,49.324028,0.0,15720.000000,0.0,0.0,0.0,4.579999,973663360,23520.000000,52.437378,0.0,0.0,363.000000,5.000000,14040.000000,20640.000000,23.490005,0.140000,0.000000,13680.000000,0.0,4.009999,0.0,0.0,0.0,1.070000,0.0,20.430000,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.690000,0.000000,23160.000000,15840.000000,13560.000000,10960,0.270000,13800.000000,0.0,23280.000000,20520.000000,0.000000,15840.000000,0.0,23160.000000,13800.000000,8.800006,23160.000000
1,82.973061,86.583336,1000.013611,77.779999,0.700000,0.0,0.0,0.0,1000.003418,0.0,59.576462,0.0,15600.000000,0.0,0.0,0.0,7.040000,973674000,23520.000000,59.718102,0.0,0.0,444.000000,5.000000,13920.000000,20640.000000,9.180000,0.0,0.000000,13800.000000,0.0,1.260000,0.0,0.0,0.0,0.020000,0.0,0.130000,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.050000,0.000000,23280.000000,15960.000000,13560.000000,10640,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15720.000000,0.0,23160.000000,13800.000000,0.950000,23280.000000
2,83.356789,86.833336,999.998352,81.419998,0.120000,0.0,0.0,0.0,1000.024109,0.0,60.523788,0.0,15720.000000,0.0,0.0,0.0,7.460001,973682960,23520.000000,60.112610,0.0,0.0,445.000000,5.000000,13920.000000,20520.000000,9.340000,0.0,0.000000,13680.000000,0.0,0.460000,0.0,0.0,0.0,0.0,0.0,0.120000,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15840.000000,13560.000000,8960,0.070000,13800.000000,0.0,23280.000000,20520.000000,0.000000,15720.000000,0.0,23160.000000,13800.000000,0.280000,22920.000000
3,82.587914,86.000000,1000.027832,83.940002,0.000000,0.0,0.0,0.0,1000.000183,0.0,60.361561,0.0,15720.000000,0.0,0.0,0.0,6.850000,973691600,23520.000000,60.648922,0.0,0.0,444.000000,5.000000,13920.000000,20520.000000,8.610000,0.060000,0.000000,13560.000000,0.0,0.380000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15840.000000,13560.000000,8640,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15840.000000,0.0,23280.000000,13800.000000,0.0,23160.000000
4,82.881592,86.250000,1000.020996,79.540001,0.730000,0.0,0.0,0.0,999.999268,0.0,60.005531,0.0,15600.000000,0.0,0.0,0.0,7.150001,973699440,23520.000000,59.694016,0.0,0.0,446.000000,5.000000,14040.000000,20640.000000,9.840000,0.060000,0.000000,13680.000000,0.0,0.700000,0.0,0.0,0.0,0.060000,0.0,0.200000,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15840.000000,13560.000000,7840,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15720.000000,0.0,23280.000000,13800.000000,0.250000,22920.000000
5,83.030754,86.458336,1000.051514,78.559998,0.380000,0.0,0.0,0.0,999.994080,0.0,59.971195,0.0,15600.000000,0.0,0.0,0.0,7.870000,973707840,23160.000000,60.352257,0.0,0.0,446.000000,5.000000,13920.000000,20520.000000,9.520000,0.0,0.000000,13440.000000,0.0,0.270000,0.0,0.0,0.0,0.070000,0.0,0.280000,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.070000,0.000000,23160.000000,15840.000000,13560.000000,8400,0.0,13800.000000,0.0,23280.000000,20520.000000,0.000000,15720.000000,0.0,23280.000000,13800.000000,1.010000,23160.000000
6,82.578857,86.000000,1000.005554,81.050003,0.180000,0.0,0.0,0.0,1000.004822,0.0,60.904522,0.0,15600.000000,0.0,0.0,0.0,7.110001,973716400,23520.000000,61.116833,0.0,0.0,446.000000,5.000000,14040.000000,20520.000000,9.889999,0.0,0.000000,13680.000000,0.0,0.490000,0.0,0.0,0.0,0.070000,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,16080.000000,13680.000000,8560,0.0,13920.000000,0.0,22920.000000,20520.000000,0.000000,15840.000000,0.0,23280.000000,13800.000000,0.480000,23160.000000
7,82.532433,85.916664,1000.000000,83.839996,0.070000,0.0,0.0,0.0,999.986328,0.0,60.096661,0.0,15720.000000,0.0,0.0,0.0,6.520000,973724800,23520.000000,60.388851,0.0,0.0,445.000000,5.000000,13920.000000,20520.000000,8.730000,0.0,0.000000,13680.000000,0.0,0.120000,0.0,0.0,0.0,0.0,0.0,0.070000,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15840.000000,13560.000000,8400,0.0,13920.000000,0.0,23160.000000,20400.000000,0.000000,15840.000000,0.0,23280.000000,13800.000000,0.120000,23160.000000
8,83.203125,86.625000,1000.029480,82.430000,0.170000,0.0,0.0,0.0,999.999207,0.0,59.984375,0.0,15600.000000,0.0,0.0,0.0,7.570000,973733200,23520.000000,59.409271,0.0,0.0,446.000000,5.000000,13920.000000,20520.000000,9.139999,0.0,0.000000,13560.000000,0.0,0.060000,0.0,0.0,0.0,0.0,0.0,0.050000,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15840.000000,13440.000000,8400,0.0,13800.000000,0.0,23280.000000,20520.000000,0.000000,15840.000000,0.0,23160.000000,13920.000000,0.120000,23160.000000
9,83.255981,86.625000,1000.002625,82.579994,0.260000,0.0,0.0,0.0,999.988770,0.0,60.898941,0.0,15720.000000,0.0,0.0,0.0,6.720001,973741280,23520.000000,60.801136,0.0,0.0,444.000000,5.000000,14040.000000,20520.000000,8.440000,0.070000,0.000000,13560.000000,0.0,0.330000,0.0,0.0,0.0,0.140000,0.0,0.070000,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,16080.000000,13560.000000,8080,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15840.000000,0.0,22920.000000,13800.000000,0.220000,23280.000000
