ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,94.855370,98.333336,999.999329,0.0,3.229999,0.0,0.0,0.400000,999.999207,0.0,48.162262,0.0,15600.000000,0.0,0.0,0.0,4.059999,976513200,23280.000000,49.037640,0.0,0.0,370.000000,5.000000,13920.000000,20640.000000,17.710009,0.130000,0.000000,13680.000000,0.0,3.360000,0.0,0.0,0.0,0.890000,0.0,24.560011,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,1.200000,0.000000,23160.000000,15840.000000,13560.000000,11040,0.270000,13800.000000,0.0,23160.000000,20520.000000,0.000000,15840.000000,0.0,23160.000000,13920.000000,10.219999,23280.000000
1,95.349976,98.875000,999.999695,10.340000,0.610000,0.0,0.0,0.0,999.999023,0.0,65.001266,0.0,15600.000000,0.0,0.0,40.500000,4.710000,976524400,23520.000000,65.629593,38.999996,0.0,482.000000,5.000000,13920.000000,20640.000000,0.810000,0.040000,0.000000,13680.000000,0.0,0.580000,0.0,0.0,0.0,0.040000,0.0,0.060000,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15840.000000,13680.000000,11200,0.040000,13800.000000,0.0,23160.000000,20520.000000,0.000000,15840.000000,0.0,23280.000000,13800.000000,0.770000,23160.000000
2,95.605743,99.041664,999.999756,12.470000,0.600000,0.0,0.0,0.0,999.998718,0.0,67.259552,0.0,15600.000000,0.0,0.0,41.559998,3.260000,976533920,23280.000000,68.174179,39.039997,0.0,483.000000,5.000000,14040.000000,20640.000000,0.630000,0.0,0.000000,13560.000000,0.0,0.550000,0.0,0.0,0.0,0.0,0.0,0.130000,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.040000,0.000000,23280.000000,15840.000000,13560.000000,9520,0.100000,13920.000000,0.0,23160.000000,20400.000000,0.000000,15720.000000,0.0,23280.000000,13800.000000,0.240000,23280.000000
3,95.114952,98.500000,1000.000977,13.050000,0.370000,0.0,0.0,0.0,999.999573,0.0,66.530479,0.0,15600.000000,0.0,0.0,42.020000,3.930000,976543200,23520.000000,67.461967,38.410000,0.0,482.000000,5.000000,14040.000000,20640.000000,0.410000,0.0,0.000000,13680.000000,0.0,0.260000,0.0,0.0,0.0,0.060000,0.0,0.040000,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15840.000000,13560.000000,9280,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15840.000000,0.0,23160.000000,13800.000000,0.430000,22920.000000
4,94.997253,98.375000,999.999329,11.780000,0.350000,0.0,0.0,0.0,999.999268,0.0,66.062851,0.0,15720.000000,0.0,0.0,41.930000,3.060000,976552320,23640.000000,67.042915,40.249996,0.0,482.000000,5.000000,14040.000000,20520.000000,0.560000,0.040000,0.000000,13560.000000,0.0,0.260000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23520.000000,15840.000000,13680.000000,9120,0.0,13920.000000,0.0,23160.000000,20520.000000,0.000000,15720.000000,0.0,23160.000000,13920.000000,0.430000,22920.000000
5,95.119423,98.541664,1000.000732,11.220000,0.480000,0.0,0.0,0.0,999.999023,0.0,66.824516,0.0,15720.000000,0.0,0.0,42.449997,2.900000,976561600,23520.000000,67.885681,40.310001,0.0,482.000000,5.000000,13920.000000,20640.000000,0.680000,0.0,0.000000,13680.000000,0.0,0.110000,0.0,0.0,0.0,0.0,0.0,0.080000,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,16080.000000,13560.000000,9280,0.040000,13800.000000,0.0,22920.000000,20520.000000,0.000000,15720.000000,0.0,23280.000000,13800.000000,0.620000,23280.000000
6,94.926361,98.291664,1000.000916,11.640000,0.590000,0.0,0.0,0.0,999.999023,0.0,66.854568,0.0,15600.000000,0.0,0.0,44.580002,3.919999,976570880,23520.000000,67.878998,36.499996,0.0,482.000000,5.000000,14040.000000,20880.000000,0.490000,0.0,0.000000,13680.000000,0.0,0.590000,0.0,0.0,0.0,0.060000,0.0,0.040000,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23520.000000,15960.000000,13560.000000,9280,0.0,13920.000000,0.0,23280.000000,20520.000000,0.000000,15720.000000,0.0,23280.000000,13800.000000,0.230000,23160.000000
7,95.428246,98.875000,1000.000183,12.050000,0.380000,0.0,0.0,0.180000,999.999329,0.0,66.040985,0.0,15600.000000,0.0,0.0,43.049999,3.220000,976580240,23520.000000,66.982597,39.150002,0.0,483.000000,5.000000,14040.000000,20640.000000,0.370000,0.0,0.000000,13680.000000,0.0,0.210000,0.0,0.0,0.0,0.0,0.0,0.220000,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15840.000000,13560.000000,9360,0.0,13800.000000,0.0,23280.000000,20520.000000,0.000000,15720.000000,0.0,23160.000000,13800.000000,0.200000,23160.000000
8,94.436768,97.791664,999.999939,11.830000,0.610000,0.0,0.0,0.0,999.999451,0.0,66.824554,0.0,15600.000000,0.0,0.0,40.420002,3.559999,976589280,23520.000000,67.841507,39.870003,0.0,482.000000,5.000000,13920.000000,20520.000000,0.770000,0.070000,0.000000,13680.000000,0.0,0.260000,0.0,0.0,0.0,0.0,0.0,0.140000,0.000000,0.0,0.0,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15960.000000,13560.000000,9040,0.040000,13800.000000,0.0,22920.000000,20520.000000,0.000000,15840.000000,0.0,23280.000000,13800.000000,0.470000,23280.000000
9,95.559898,99.000000,999.999939,11.720000,0.620000,0.0,0.0,0.0,999.999756,0.0,66.420708,0.0,15600.000000,0.0,0.0,41.879997,3.380000,976598880,23520.000000,67.432968,37.320000,0.0,483.000000,5.000000,13920.000000,20520.000000,0.610000,0.040000,0.000000,13560.000000,0.0,0.850000,0.0,0.0,0.0,0.100000,0.0,0.190000,0.000000,0.0,0.0,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.060000,0.000000,23160.000000,16080.000000,13680.000000,9600,0.040000,13800.000000,0.0,23280.000000,20400.000000,0.000000,15840.000000,0.0,23160.000000,13800.000000,0.830000,23280.000000
