Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
185557280,93.2993,92.2014,6.26,15.77,26.84,0,0,0,0,0,0,0,306,5,2.03125,0.616869,4440
185561740,98.0908,92.1571,7.94,15.42,23.39,0,0,0,0,0,0,0,323,5,2.17969,0.775995,4460
185566200,90.7938,79.3481,23.37,23.35,14.43,0,0,0,0,38.64,0,0,315,5,2.1875,0.776018,4460
185570060,103.574,90.5443,15.34,17.5,0.5,0,0,0,0,66.66,0,0,314,5,2.125,0.773154,3860
185573880,105.14,91.9019,14.58,17.26,0.4,0,0,0,0,67.57,0,0,319,5,2.125,0.768979,3820
185577700,104.929,91.6716,14.64,16.44,0.3,0,0,0,0,68.54,0,0,314,5,2.125,0.773069,3820
185581520,105.097,91.8976,16.24,17.42,0.11,0,0,0,0,65.84,0,0,317,5,2.10938,0.767008,3820
185585360,104.502,91.2908,15.34,18.8,0.4,0,0,0,0,65.45,0,0,313,5,2.13281,0.775115,3840
185589180,105.121,91.8815,15.3,17.03,0.6,0,0,0,0,66.84,0,0,317,5,2.125,0.771024,3820
185593020,104.614,91.4312,14.29,17.76,0.1,0,0,0,0,67.76,0,0,315,5,2.13281,0.771024,3840
185596820,105.74,92.4085,15.87,17.24,0.2,0,0,0,0,66.3,0,0,320,5,2.11719,0.769043,3800
185600680,104.13,90.9883,14.9,14.03,0.2,0,0,0,0,70.48,0,0,314,5,2.11719,0.771078,3860
185604480,106.157,92.7981,14.86,14.39,0.6,0,0,0,0,69.95,0,0,313,5,2.125,0.773069,3800
185608340,104.238,91.1027,13.73,14.62,0.2,0,0,0,0,71.17,0,0,316,5,2.125,0.771078,3860
185612180,104.147,91.0156,12.36,15.45,0.7,0,0,0,0,71.39,0,0,315,5,2.11719,0.769043,3840
185615980,105.822,92.4671,15.24,15.88,0.3,0,0,0,0,68.48,0,0,318,5,2.13281,0.773026,3800
185619820,104.663,91.4505,16.43,17.18,0.4,0,0,0,0,65.89,0,0,315,5,2.125,0.771078,3840
185623640,105.004,91.778,12.73,15.99,0.3,0,0,0,0,70.68,0,0,317,5,2.125,0.771024,3820
185627460,105.094,91.7759,13.85,18.97,0.68,0,0,0,0,66.31,0,0,316,5,2.11719,0.767008,3820
185631280,105.833,92.4805,14.67,16.74,0.63,0,0,0,0,67.85,0,0,323,5,2.13281,0.775082,3820
185635140,104.376,91.2464,15.06,15.29,0.19,0,0,0,0,69.26,0,0,315,5,2.125,0.77113,3860
185638980,105.231,91.9627,15.33,16.58,0.2,0,0,0,0,67.57,0,0,315,5,2.125,0.769043,3840
185642820,104.508,91.3559,15.61,16.44,0.48,0,0,0,0,67.47,0,0,315,5,2.125,0.767082,3840
185646660,104.76,91.4973,13.87,14.3,0.5,0,0,0,0,71.34,0,0,316,5,2.125,0.773069,3840
185650480,105.052,91.8347,14.25,18.45,0.4,0,0,0,0,66.9,0,0,319,5,2.125,0.775115,3820
185654300,104.751,91.5371,13.85,17.85,0.2,0,0,0,0,68,0,0,317,5,2.125,0.768979,3820
185658100,105.759,92.4435,15.41,15.97,0.2,0,0,0,0,68.11,0,0,317,5,2.11719,0.766934,3800
185661940,104.749,91.5359,15.56,16.27,0.5,0,0,0,0,67.59,0,0,317,5,2.125,0.773069,3840
185665760,105.341,92.0898,13.86,16.53,0.3,0,0,0,0,69.01,0,0,319,5,2.13281,0.773069,3820
