Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
184674540,94.756,93.5797,7.57,15.03,24.97,0,0,0,0,0,0,0,306,5,2.00781,0.610795,4380
184679000,98.0504,92.2182,6.67,13.4,26.74,0,0,0,0,0,0,0,321,5,2.1875,0.777747,4460
184683480,90.5212,78.9621,22.58,24.76,52.04,0,0,0,0,0,0,0,319,5,2.1875,0.776018,4480
184687340,103.959,90.7636,13.62,17.84,68.23,0,0,0,0,0,0,0,314,5,2.13281,0.779226,3860
184691160,104.47,-17064,15.24,15.14,69.31,0,0,0,0,0,0,0,318,5,2.125,0.775115,3820
184694960,105.587,92.1226,14.52,17.05,68.03,0,0,0,0,0,0,0,315,5,2.13281,0.777138,3800
184698800,104.379,91.172,12.48,19.31,68.1,0,0,0,0,0,0,0,320,5,2.13281,0.779205,3840
184702600,105.395,91.9238,15.34,15.94,68.64,0,0,0,0,0,0,0,316,5,2.125,0.775146,3800
184706420,105.169,91.8037,14.78,18.44,66.38,0,0,0,0,0,0,0,319,5,2.13281,0.777138,3820
184710240,105.145,91.7827,14.77,18.94,65.9,0,0,0,0,0,0,0,316,5,2.125,0.775146,3820
184714080,104.717,91.4186,14.99,18.27,66.44,0,0,0,0,0,0,0,313,5,2.13281,0.779205,3840
184717900,104.917,91.5763,14.98,17.35,67.67,0,0,0,0,0,0,0,315,5,2.13281,0.779205,3820
184721720,105.206,91.8511,14.04,15.32,70.35,0,0,0,0,0,0,0,314,5,2.125,0.77716,3820
184725540,105.702,92.3082,14.97,17.93,66.9,0,0,0,0,0,0,0,317,5,2.14062,0.779205,3820
184729400,105.424,92.0915,15.1,17.78,66.53,0,0,0,0,0,0,0,315,5,2.125,0.77113,3860
184733260,104.211,90.9902,13.49,16.26,69.93,0,0,0,0,0,0,0,317,5,2.14844,0.78125,3860
184737120,104.66,91.3242,14.67,14.78,70.46,0,0,0,0,0,0,0,314,5,2.11719,0.773154,3860
184740960,104.598,91.2917,14.45,16.74,68.51,0,0,0,0,0,0,0,322,5,2.125,0.777181,3840
184744760,105.38,92.0008,14.79,17.52,67.59,0,0,0,0,0,0,0,315,5,2.14062,0.78125,3800
184748580,104.704,91.4039,13.44,17.97,68.5,0,0,0,0,0,0,0,320,5,2.11719,0.775115,3820
184752400,105.388,92.0566,13.1,16.81,69.69,0,0,0,0,0,0,0,315,5,2.13281,0.775115,3820
184756220,105.101,91.7333,14.94,18.58,66.29,0,0,0,0,0,0,0,315,5,2.13281,0.779205,3820
184760040,105.323,92.0264,14.08,19.27,66.37,0,0,0,0,0,0,0,314,5,2.11719,0.775146,3820
184763880,104.821,91.5478,13.18,17.64,68.97,0,0,0,0,0,0,0,316,5,2.14062,0.779205,3840
184767700,105.173,91.8408,12.43,17.28,69.93,0,0,0,0,0,0,0,316,5,2.14062,0.779205,3820
184771540,104.555,91.2921,13.38,16.25,70.27,0,0,0,0,0,0,0,316,5,2.125,0.775146,3840
184775340,105.555,92.1294,13.65,16.25,69.91,0,0,0,0,0,0,0,319,5,2.13281,0.775115,3800
184779180,104.525,91.2955,14.12,17.41,68.37,0,0,0,0,0,0,0,315,5,2.13281,0.779205,3840
184782020,107.455,94.5574,13.7,18.43,67.26,0,0,0,0,0,0,0,318,5,2.13281,0.77716,2840
184785900,103.216,90.1367,14.41,16.45,69.14,0,0,0,0,0,0,0,313,5,2.25781,0.778556,3880
