Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
186436940,94.4425,93.1539,7.82,15.33,24.3,0,0,0,0,0,0,0,305,5,2.01562,0.614347,4400
186441400,98.088,92.4411,7.48,14.52,24.91,0,0,0,0,0,0,0,320,5,2.1875,0.775995,4460
186445900,93.1719,78.8485,25.02,24.48,50.31,0,0,0,0,0,0,0,322,5,2.19531,0.777762,4500
186449760,108.401,90.8223,14.52,16.54,68.65,0,0,0,0,0,0,0,316,5,2.11719,0.773237,3860
186453580,109.235,91.5428,14.37,17.36,68.17,0,0,0,0,0,0,0,315,5,2.13281,0.78125,3820
186457400,109.459,91.6711,15.88,17.12,66.9,0,0,0,0,0,0,0,313,5,2.13281,0.77716,3820
186461240,108.356,90.8035,13.08,18.02,68.9,0,0,0,0,0,0,0,314,5,2.11719,0.773112,3840
186465040,110.431,92.4753,15.12,17.28,67.3,0,0,0,0,0,0,0,316,5,2.13281,0.78125,3800
186468880,108.718,91.1418,16.89,13.88,69.04,0,0,0,0,0,0,0,317,5,2.14062,0.78125,3840
186472680,110.059,92.1926,14.13,16.8,68.66,0,0,0,0,0,0,0,320,5,2.11719,0.773112,3800
186476520,109.269,91.54,13.82,16.15,70.02,0,0,0,0,0,0,0,317,5,2.13281,0.779205,3840
186480340,110.195,92.3711,12.38,16.17,71.15,0,0,0,0,0,0,0,319,5,2.125,0.777181,3820
186484200,108.567,90.9412,15.15,16.09,68.55,0,0,0,0,0,0,0,315,5,2.14062,0.777181,3860
186488040,109.869,92.1061,13.66,15.53,70.48,0,0,0,0,0,0,0,321,5,2.13281,0.777181,3840
186491880,108.675,91.0965,13.24,14.53,71.94,0,0,0,0,0,0,0,315,5,2.13281,0.777202,3840
186495700,109.034,91.4062,13.58,17.76,68.39,0,0,0,0,0,0,0,316,5,2.14062,0.78125,3820
186499520,109.582,91.8286,13.81,17.41,68.65,0,0,0,0,0,0,0,314,5,2.125,0.775115,3820
186503340,109.642,91.895,16.45,16.3,67.06,0,0,0,0,0,0,0,315,5,2.13281,0.77716,3820
186507180,108.959,91.334,13.17,16.22,70.42,0,0,0,0,0,0,0,315,5,2.125,0.779215,3840
186510980,110.324,92.4969,12.46,17.49,69.71,0,0,0,0,0,0,0,316,5,2.13281,0.77716,3800
186514820,110.059,92.2129,13.75,15.37,70,0,0,0,0,0,0,0,320,5,2.13281,0.775146,3840
186518700,107.914,90.477,15.11,15.27,69.52,0,0,0,0,0,0,0,315,5,2.13281,0.779226,3880
186522520,109.353,91.6834,13.35,14.95,71.5,0,0,0,0,0,0,0,320,5,2.13281,0.77716,3820
186526340,109.518,91.7611,13.56,15.04,71.23,0,0,0,0,0,0,0,317,5,2.13281,0.77716,3820
186530160,109.566,91.9083,11.97,19.14,68.79,0,0,0,0,0,0,0,322,5,2.13281,0.779205,3820
186533980,109.506,91.7774,15.78,17.1,67.12,0,0,0,0,0,0,0,318,5,2.13281,0.779205,3820
186537800,109.507,91.8081,15.25,15.37,69.19,0,0,0,0,0,0,0,325,5,2.11719,0.775146,3820
186541620,109.336,91.6404,14.8,16.74,68.37,0,0,0,0,0,0,0,317,5,2.14844,0.78125,3820
186545460,108.785,91.2415,14.16,17.42,68.23,0,0,0,0,0,0,0,322,5,2.11719,0.775146,3840
186549260,110.178,92.3396,13.75,15.57,70.58,0,0,0,0,0,0,0,316,5,2.14062,0.779194,3800
186553100,109.129,91.4541,14.64,14.97,70.1,0,0,0,0,0,0,0,316,5,2.13281,0.775146,3840
186556920,109.481,91.7652,13.44,15.5,70.95,0,0,0,0,0,0,0,316,5,2.13281,0.78125,3820
186560740,109.416,91.7386,14.81,15.74,69.35,0,0,0,0,0,0,0,317,5,2.125,0.775115,3820
186564560,109.877,92.0985,13.6,14.49,71.71,0,0,0,0,0,0,0,321,5,2.13281,0.779205,3820
186568400,108.635,91.0278,13.15,16.68,70.18,0,0,0,0,0,0,0,315,5,2.11719,0.775146,3840
186572200,109.848,92.0991,14.25,15.44,70.31,0,0,0,0,0,0,0,320,5,2.14062,0.779194,3800
186576020,109.366,91.6967,13.86,17.97,68.07,0,0,0,0,0,0,0,316,5,2.13281,0.77716,3820
186579820,109.949,92.1906,13.4,15.26,71.34,0,0,0,0,0,0,0,318,5,2.125,0.77716,3800
186583660,108.899,91.2903,15,16.4,68.5,0,0,0,0,0,0,0,316,5,2.13281,0.77716,3840
186587480,109.852,92.166,17.34,15.55,66.84,0,0,0,0,0,0,0,323,5,2.13281,0.779205,3820
186591300,109.465,91.7856,17.31,14.14,68.25,0,0,0,0,0,0,0,315,5,2.125,0.775146,3820
186595120,109.558,91.8746,13.24,14.85,71.71,0,0,0,0,0,0,0,323,5,2.14844,0.783306,3820
186598960,109,91.4337,15.54,17.98,66.17,0,0,0,0,0,0,0,318,5,2.11719,0.775146,3840
186602760,109.663,91.9069,15.79,15.87,68.34,0,0,0,0,0,0,0,318,5,2.13281,0.77716,3800
186606600,108.365,90.8966,13.85,16.17,69.98,0,0,0,0,0,0,0,317,5,2.11719,0.775115,3840
186610400,110.19,92.3551,13.8,16.65,69.54,0,0,0,0,0,0,0,317,5,2.13281,0.779194,3800
186614200,110.198,92.4023,14.82,16.42,68.66,0,0,0,0,0,0,0,315,5,2.14062,0.779205,3800
186618040,108.753,91.212,14.14,17.77,68.01,0,0,0,0,0,0,0,315,5,2.13281,0.77716,3840
186621860,109.71,91.984,15.54,16.23,67.94,0,0,0,0,0,0,0,319,5,2.14062,0.78125,3820
186625680,109.735,92.0249,14.83,15.43,69.52,0,0,0,0,0,0,0,315,5,2.125,0.773112,3820
186629520,109.248,91.6107,12.74,15.47,71.48,0,0,0,0,0,0,0,319,5,2.14062,0.78125,3840
186633320,110.127,92.3458,13.64,17.3,69.07,0,0,0,0,0,0,0,318,5,2.125,0.775146,3800
186637160,109.122,91.5161,14.24,17.37,68.29,0,0,0,0,0,0,0,322,5,2.125,0.77716,3840
186641000,109.277,91.6321,13.94,17.31,68.75,0,0,0,0,0,0,0,317,5,2.14062,0.779205,3840
186644820,111.195,93.298,14.87,15.38,69.06,0,0,0,0,0,0,0,321,5,2.125,0.777181,3820
186648700,108.047,90.619,15.34,15.43,68.93,0,0,0,0,0,0,0,317,5,2.13281,0.779236,3880
186652540,109.21,91.5395,13.85,15.66,70.4,0,0,0,0,0,0,0,318,5,2.125,0.773112,3840
186656360,109.54,91.8347,15.24,14.37,70.39,0,0,0,0,0,0,0,319,5,2.13281,0.78125,3820
186660180,109.309,91.6384,12.38,15.84,71.58,0,0,0,0,0,0,0,316,5,2.13281,0.77716,3820
186664000,109.916,92.1855,15.35,16.31,67.88,0,0,0,0,0,0,0,320,5,2.13281,0.77716,3820
186667820,109.558,91.9145,12.24,15.52,72.23,0,0,0,0,0,0,0,319,5,2.125,0.775146,3820
186671660,108.553,91.0736,15.32,15.11,69.47,0,0,0,0,0,0,0,319,5,2.14844,0.78125,3840
186675460,110.066,92.28,15.64,16.46,67.69,0,0,0,0,0,0,0,317,5,2.13281,0.77716,3800
186679280,109.837,92.1241,15.47,13.81,70.53,0,0,0,0,0,0,0,321,5,2.13281,0.77716,3820
186683100,111.055,93.1262,14.46,14.87,69.37,0,0,0,0,0,0,0,317,5,2.125,0.777181,3820
186686980,108.519,91.0096,17.25,14.13,68.52,0,0,0,0,0,0,0,316,5,2.14062,0.779226,3880
186690820,108.68,91.1591,15.37,15.29,69.23,0,0,0,0,0,0,0,316,5,2.125,0.775178,3840
186694660,108.948,91.4296,11.95,17.32,70.23,0,0,0,0,0,0,0,317,5,2.14062,0.779194,3840
186698460,109.786,92.0477,12.69,14.4,72.81,0,0,0,0,0,0,0,317,5,2.125,0.775146,3800
