Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
183046680,95.5599,94.1442,7.25,15.7,26.5,0,0,0,0,0,0,0,304,5,2.00781,0.612571,4380
183051180,97.9581,91.8819,9.16,14.06,25.43,0,0,0,0,0,0,0,321,5,2.1875,0.776042,4500
183055680,93.8593,78.7222,14.96,18.59,14.51,0,0,29.93,0,21.04,0,0,319,5,2.19531,0.776042,4500
183059560,109.019,90.5777,1.1,8.44,0.5,0,0,52.25,0,37.43,0,0,316,5,2.13281,0.773196,3880
183063400,110.365,91.6209,0.7,7,0.5,0,0,55.71,0,35.7,0,0,319,5,2.125,0.771078,3840
183067240,110.682,91.8498,1.5,6.67,0.69,0,0,53.51,0,37.26,0,0,323,5,2.11719,0.769106,3840
183071100,109.465,90.8922,1.4,5.78,0.5,0,0,56.51,0,35.54,0,0,317,5,2.125,0.769106,3860
183074940,109.673,91.0421,1.4,6.45,0.5,0,0,54.58,0,36.86,0,0,322,5,2.125,0.769043,3840
183078760,110.238,91.5361,1.1,6.39,0.2,0,0,55.17,0,37.14,0,0,318,5,2.13281,0.775082,3820
183082600,110.321,91.5527,0.9,5.58,0.2,0,0,53.42,0,39.1,0,0,321,5,2.10938,0.763034,3840
183086440,109.693,91.0217,1.4,6.09,0.44,0,0,55.47,0,36.49,0,0,320,5,2.125,0.769043,3840
183090260,110.688,91.8378,1.49,6.22,0.3,0,0,54.42,0,37.38,0,0,321,5,2.13281,0.775082,3820
183094100,109.671,91.0024,1.09,6.51,0.4,0,0,53.47,0,38.2,0,0,318,5,2.11719,0.769043,3840
183097920,110.201,91.4134,0.88,5.79,0.31,0,0,55.03,0,37.69,0,0,325,5,2.11719,0.768979,3820
183101760,110.394,91.5792,1.1,6.22,0.4,0,0,57.82,0,33.96,0,0,318,5,2.11719,0.771078,3840
183105580,110.805,91.9288,0.9,7.56,0.2,0,0,55.1,0,35.46,0,0,318,5,2.11719,0.767008,3820
183109420,110.229,91.4856,1.2,5.79,0.19,0,0,55.83,0,36.71,0,0,319,5,2.13281,0.773069,3840
183113260,109.618,90.8936,0.99,6.28,0.2,0,0,54.46,0,37.97,0,0,318,5,2.125,0.771078,3840
183117080,110.82,91.9554,1.6,6.83,0.4,0,0,55.29,0,35.78,0,0,320,5,2.11719,0.766934,3820
183120940,110.078,91.2848,1.2,7.07,0.5,0,0,55.57,0,35.37,0,0,319,5,2.125,0.773112,3860
183124760,110.263,91.4686,1.3,7.67,0.4,0,0,51.03,0,39.31,0,0,321,5,2.125,0.771078,3820
183128600,110.029,91.2781,1.1,6.58,0.3,0,0,56.07,0,35.65,0,0,318,5,2.11719,0.764974,3840
183132440,110.169,91.4764,1.09,6.16,0.29,0,0,54.65,0,37.42,0,0,322,5,2.13281,0.771024,3840
183136260,111.028,92.0822,0.6,6.75,0.8,0,0,53.48,0,37.89,0,0,316,5,2.13281,0.771078,3820
183140100,110.081,91.3625,0.8,6.47,0.4,0,0,53.25,0,38.5,0,0,321,5,2.10938,0.765058,3840
