Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
183905340,94.317,93.0312,7.47,14.98,25.77,0,0,0,0,0,0,0,308,5,2.10156,0.57004,4440
183909840,95.6562,92.2101,7.17,13.9,23.98,0,0,0,0,0,0,0,307,5,2.1875,0.776042,4500
183914380,89.2793,77.4143,33.03,33.44,33.54,0,0,0,0,0,0,0,319,5,2.19531,0.779522,4540
183918220,105.206,91.0583,3.8,12.43,0,0,0,0,0,83.78,0,0,316,5,2.13281,0.777181,3840
183922040,105.613,91.4604,4.09,12.03,0.1,0,0,0,0,83.59,0,0,323,5,2.11719,0.773112,3820
183925840,105.958,91.6602,3.59,11.8,0.2,0,0,0,0,84.32,0,0,317,5,2.14062,0.78125,3800
183929660,105.843,91.622,2.89,12.74,0.3,0,0,0,0,83.87,0,0,325,5,2.11719,0.771078,3820
183933480,105.876,91.6435,4.09,12.93,0.2,0,0,0,0,82.48,0,0,317,5,2.14062,0.78125,3820
183937320,105.376,91.1377,3.2,12.89,0.1,0,0,0,0,83.53,0,0,317,5,2.11719,0.773112,3840
183941140,105.562,91.303,3.69,11.3,0.2,0,0,0,0,84.69,0,0,318,5,2.13281,0.779205,3820
183944960,105.461,91.168,4.58,13.62,0.1,0,0,0,0,81.59,0,0,318,5,2.125,0.773069,3820
183948760,106.449,92.0683,3.9,12.03,0.4,0,0,0,0,83.48,0,0,322,5,2.13281,0.777138,3800
183952600,105.584,91.2842,4.08,12.37,0.4,0,0,0,0,82.95,0,0,317,5,2.125,0.775146,3840
183956400,106.743,92.2944,2.62,12.99,0.2,0,0,0,0,84.01,0,0,321,5,2.14062,0.783306,3800
183960240,105.147,90.9444,5.29,13.23,0.1,0,0,0,0,81.19,0,0,317,5,2.11719,0.773112,3840
183964060,106.213,-17063.3,3.62,13.56,0.2,0,0,0,0,82.32,0,0,320,5,2.13281,0.775115,3820
183967900,105.636,91.3397,3.79,13.1,0.1,0,0,0,0,83.02,0,0,317,5,2.125,0.779215,3840
183971720,106.207,91.8775,3.98,11.76,0.2,0,0,0,0,83.99,0,0,319,5,2.14062,0.77716,3820
183975560,105.721,91.418,4.2,12.93,0.4,0,0,0,0,82.29,0,0,319,5,2.13281,0.775146,3840
183979400,105.287,91.0474,4.73,13.02,0.3,0,0,0,0,81.95,0,0,323,5,2.11719,0.775146,3840
183983200,106.345,91.9424,4.68,13.02,0.3,0,0,0,0,81.56,0,0,318,5,2.14062,0.779194,3800
183987020,105.986,91.6273,4.59,13.13,0.1,0,0,0,0,81.98,0,0,321,5,2.125,0.77716,3820
183990840,106.414,92.0188,4.38,13.71,0.39,0,0,0,0,81.33,0,0,318,5,2.14062,0.779205,3820
183994680,105.316,91.0604,3.68,13.25,0,0,0,0,0,82.98,0,0,320,5,2.13281,0.773112,3840
183998520,105.776,91.4554,2.89,13.09,0.1,0,0,0,0,83.72,0,0,316,5,2.13281,0.77716,3840
184001340,106.48,92.7668,4.56,11.28,0.2,0,0,0,0,83.97,0,0,323,5,2.125,0.777181,2820
184005180,105.517,91.2348,4.04,13.36,0,0,0,0,0,82.4,0,0,321,5,2.25,0.772997,3840
184008980,106.598,92.1667,3.78,12.35,0.2,0,0,0,0,83.46,0,0,318,5,2.14062,0.779194,3800
184012820,106.403,92.0545,4.74,12.57,0.2,0,0,0,0,81.91,0,0,322,5,2.125,0.775146,3840
184016680,105.36,91.1315,4.06,13.07,0.2,0,0,0,0,82.57,0,0,319,5,2.13281,0.775178,3860
184020520,105.57,91.2837,3.84,12.44,0.2,0,0,0,0,83.32,0,0,323,5,2.13281,0.779215,3840
184024340,106.103,91.7599,4,13.06,0.2,0,0,0,0,82.55,0,0,317,5,2.13281,0.77716,3820
184028160,106.41,91.9921,3.49,13.52,0.4,0,0,0,0,82.3,0,0,319,5,2.11719,0.773112,3820
184032020,105.254,91.0701,3.85,12.82,0.8,0,0,0,0,82.43,0,0,318,5,2.14844,0.779205,3860
184035820,106.668,92.193,3.49,12.42,0.4,0,0,0,0,83.46,0,0,319,5,2.125,0.775146,3800
184039660,105.487,91.2322,4.09,12.38,0,0,0,0,0,83.44,0,0,317,5,2.13281,0.779205,3840
184043480,106.065,91.7064,4.08,12.36,0.1,0,0,0,0,83.16,0,0,318,5,2.13281,0.77716,3820
