Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
754090,77.5729,-27571.3,0,0,0,0,0,0,0,0,0,0,358,5,1.4375,0,2370
756470,77.0795,79.4103,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2380
758840,77.5036,79.5519,0,0,0,0,0,0,0,0,0,0,355,5,1.41406,0,2370
761210,77.7228,79.7481,0,0,0,0,0,0,0,0,0,0,358,5,1.40625,0,2370
763590,77.1649,79.5395,0,0,0,0,0,0,0,0,0,0,358,5,1.42188,0,2380
765960,-27573.4,79.5466,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
768330,77.4332,79.4979,0,0,0,0,0,0,0,0,0,0,356,5,1.40625,0,2370
770700,77.5322,79.8876,0,0,0,0,0,0,0,0,0,0,355,5,1.41406,0,2370
773070,77.6708,79.7067,0,0,0,0,0,0,0,0,0,0,357,5,1.42188,0,2370
775450,77.3144,79.3419,0,0,0,0,0,0,0,0,0,0,358,5,1.40625,0,2380
777820,77.4614,79.5304,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
780190,77.4541,79.4418,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
782560,77.3842,79.8001,0,0,0,0,0,0,0,0,0,0,356,5,1.42188,0,2370
784930,77.5118,79.5281,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
787300,77.5314,79.5115,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
789680,77.5392,79.567,0,0,0,0,0,0,0,0,0,0,358,5,1.40625,0,2380
792060,77.3934,79.4224,0,0,0,0,0,0,0,0,0,0,357,5,1.42188,0,2380
794430,77.4496,79.4805,0,0,0,0,0,0,0,0,0,0,355,5,1.42188,0,2370
796800,77.5261,79.5528,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
799170,77.4385,79.8016,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
801540,77.1474,79.9087,0,0,0,0,0,0,0,0,0,0,358,5,1.42188,0,2370
803910,77.4341,79.4577,0,0,0,0,0,0,0,0,0,0,357,5,1.40625,0,2370
806280,77.3067,79.3422,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
808650,77.4999,79.8878,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
811020,77.6062,79.6723,0,0,0,0,0,0,0,0,0,0,358,5,1.40625,0,2370
813390,77.7675,80.1206,0,0,0,0,0,0,0,0,0,0,358,5,1.42188,0,2370
815770,77.193,79.2111,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2380
818140,77.5042,79.888,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
820510,77.4543,79.4648,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
822880,77.5211,79.9308,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
825260,77.3271,79.3537,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2380
827640,77.4917,79.4797,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2380
830010,77.4089,79.4502,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
832370,77.7931,80.1468,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2360
834740,77.4785,79.8985,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
837110,77.4713,79.4712,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
839480,77.4138,79.7637,0,0,0,0,0,0,0,0,0,0,357,5,1.40625,0,2370
841850,77.413,79.4372,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
844220,77.3588,79.7874,0,0,0,0,0,0,0,0,0,0,358,5,1.42188,0,2370
846590,77.5269,79.5322,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
848960,77.7173,79.7557,0,0,0,0,0,0,0,0,0,0,359,5,1.40625,0,2370
851340,77.2687,79.2684,0,0,0,0,0,0,0,0,0,0,355,5,1.42188,0,2380
853710,77.4117,79.48,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
856080,77.4756,79.5256,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
858450,77.5195,79.8981,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
860820,77.6262,79.9838,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
863190,77.4338,79.4959,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
865560,77.2451,80.0097,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
867930,77.4964,79.5186,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
