Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
1154050,77.443,79.5045,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2380
1156430,77.338,79.3404,0,0,0,0,0,0,0,0,0,0,357,5,1.40625,0,2380
1158800,77.563,79.6018,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
1161180,77.2674,79.2739,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2380
1163550,77.4064,79.4765,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
1165910,77.8064,79.8125,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2360
1168290,77.1033,79.1533,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2380
1170660,77.783,80.1177,0,0,0,0,0,0,0,0,0,0,356,5,1.40625,0,2370
1173030,77.5218,79.5622,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
1175410,77.1804,79.2066,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2380
1177780,77.5761,79.6463,0,0,0,0,0,0,0,0,0,0,358,5,1.40625,0,2370
1180150,77.6413,79.6479,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
1182530,77.2346,79.2985,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2380
1184900,77.605,80.0056,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
1187270,77.4937,79.5194,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
1189640,77.4723,79.4666,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
1192020,77.4217,79.4659,0,0,0,0,0,0,0,0,0,0,358,5,1.40625,0,2380
1194390,77.4591,79.5375,0,0,0,0,0,0,0,0,0,0,356,5,1.42969,0,2370
1196770,77.2945,79.3067,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2380
1199140,77.6322,79.6051,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
1201520,77.2814,79.3379,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2380
1203890,77.1773,80.0122,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
1206260,77.5959,79.9743,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
1208630,77.6767,80.0518,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
1211010,77.201,79.1623,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2380
1213390,76.9613,79.8204,0,0,0,0,0,0,0,0,0,0,355,5,1.42969,0,2380
1215760,77.6223,79.6562,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
1218130,77.5168,79.8952,0,0,0,0,0,0,0,0,0,0,357,5,1.40625,0,2370
1220510,76.8891,79.7203,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2380
1222880,77.5794,79.6133,0,0,0,0,0,0,0,0,0,0,355,5,1.41406,0,2370
1225260,77.4603,79.8582,0,0,0,0,0,0,0,0,0,0,355,5,1.40625,0,2380
1227630,77.5761,79.5606,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
1230000,77.6289,79.6562,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
1232380,77.1895,79.5743,0,0,0,0,0,0,0,0,0,0,359,5,1.41406,0,2380
1234750,77.1773,79.9792,0,0,0,0,0,0,0,0,0,0,355,5,1.41406,0,2370
1237120,77.474,79.8853,0,0,0,0,0,0,0,0,0,0,356,5,1.40625,0,2370
1239500,77.1944,79.205,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2380
1241870,77.5531,79.5523,0,0,0,0,0,0,0,0,0,0,357,5,1.42188,0,2370
1244250,77.4915,79.566,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2380
1246620,77.5382,79.5425,0,0,0,0,0,0,0,0,0,0,356,5,1.40625,0,2370
1248990,77.5316,79.915,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
1251360,77.4591,79.8128,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
1253730,77.497,79.8803,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
1256110,77.416,79.4594,0,0,0,0,0,0,0,0,0,0,358,5,1.42188,0,2380
1258480,77.5729,79.9364,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
1260850,77.5201,79.5458,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
1263230,77.1993,79.1984,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2380
1265590,77.7559,80.1725,0,0,0,0,0,0,0,0,0,0,359,5,1.41406,0,2360
1267960,77.5234,79.5573,0,0,0,0,0,0,0,0,0,0,359,5,1.41406,0,2370
