Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
1554030,77.4426,79.4732,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
1556410,77.3503,79.7597,0,0,0,0,0,0,0,0,0,0,357,5,1.42188,0,2380
1558780,77.7393,79.7419,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
1561150,77.4904,79.5425,0,0,0,0,0,0,0,0,0,0,355,5,1.41406,0,2370
1563520,77.0207,79.7732,0,0,0,0,0,0,0,0,0,0,356,5,1.42188,0,2370
1565890,77.6487,80.0188,0,0,0,0,0,0,0,0,0,0,358,5,1.42188,0,2370
1568270,77.2092,79.6071,0,0,0,0,0,0,0,0,0,0,357,5,1.40625,0,2380
1570650,77.3881,79.3428,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2380
1573020,77.5382,79.8985,0,0,0,0,0,0,0,0,0,0,356,5,1.42969,0,2370
1575390,77.6932,80.0649,0,0,0,0,0,0,0,0,0,0,355,5,1.41406,0,2370
1577760,77.469,79.5359,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
1580130,77.4707,79.4881,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
1582510,77.265,79.6136,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2380
1584880,77.6932,79.7633,0,0,0,0,0,0,0,0,0,0,355,5,1.41406,0,2370
1587260,77.2748,-27455.1,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2380
1589630,77.6091,79.6469,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
1592000,77.6223,79.6696,0,0,0,0,0,0,0,0,0,0,358,5,1.42188,0,2370
1594380,77.503,79.514,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2380
1596760,77.2092,79.5665,0,0,0,0,0,0,0,0,0,0,355,5,1.41406,0,2380
1599130,77.4707,79.8626,0,0,0,0,0,0,0,0,0,0,355,5,1.41406,0,2370
1601490,77.8635,80.2097,0,0,0,0,0,0,0,0,0,0,358,5,1.42188,0,2360
1603870,77.196,79.2045,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2380
1606240,77.6684,79.6925,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
1608620,77.2059,79.2149,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2380
1611000,77.4455,79.7936,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2380
1613360,77.8204,79.9211,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2360
1615730,77.5086,79.6128,0,0,0,0,0,0,0,0,0,0,358,5,1.42969,0,2370
1618110,-27457.4,79.2914,0,0,0,0,0,0,0,0,0,0,357,5,1.4375,0,2380
1620480,77.5179,79.5311,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
1622860,77.4499,79.8143,0,0,0,0,0,0,0,0,0,0,357,5,1.42188,0,2380
1625230,77.5842,79.9434,0,0,0,0,0,0,0,0,0,0,358,5,1.42188,0,2370
1627600,77.5704,79.581,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
1629980,77.3208,79.2932,0,0,0,0,0,0,0,0,0,0,358,5,1.40625,0,2380
1632350,77.5801,79.9051,0,0,0,0,0,0,0,0,0,0,356,5,1.4375,0,2370
1634720,77.5322,79.5583,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
1637090,77.4157,79.8111,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
1639460,77.6472,79.9951,0,0,0,0,0,0,0,0,0,0,358,5,1.40625,0,2370
1641840,77.3254,79.6586,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2380
1644210,77.6387,79.6786,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
1646580,77.5165,79.5332,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
1648950,77.603,79.5816,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
1651330,77.5264,79.8773,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2380
1653710,76.9326,79.7224,0,0,0,0,0,0,0,0,0,0,359,5,1.41406,0,2380
1656080,77.5758,79.9133,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
1658450,77.4984,79.8628,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
1660830,77.4239,79.4647,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2380
1663200,77.4974,79.4623,0,0,0,0,0,0,0,0,0,0,358,5,1.40625,0,2370
1665570,77.4413,79.4598,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
1667950,77.4116,79.4083,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2380
