Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
3554050,77.605,79.6397,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
3556420,77.558,79.5762,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
3558800,77.3446,79.6818,0,0,0,0,0,0,0,0,0,0,355,5,1.41406,0,2380
3561170,77.7525,79.7394,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
3563550,77.0606,79.85,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2380
3565930,77.411,79.4003,0,0,0,0,0,0,0,0,0,0,358,5,1.40625,0,2380
3568300,77.6833,79.7411,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
3570680,77.2609,79.2337,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2380
3573050,77.2828,80.1358,0,0,0,0,0,0,0,0,0,0,357,5,1.42188,0,2370
3575420,77.5588,79.5647,0,0,0,0,0,0,0,0,0,0,357,5,1.40625,0,2370
3577800,77.2929,79.3116,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2380
3580180,77.6745,79.7138,0,0,0,0,0,0,0,0,0,0,356,5,1.39844,0,2380
3582560,77.3241,79.3387,0,0,0,0,0,0,0,0,0,0,355,5,1.42188,0,2380
3584930,77.5794,79.9248,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
3587300,77.7822,80.2644,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
3589680,77.3413,79.3182,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2380
3592060,77.3905,79.4438,0,0,0,0,0,0,0,0,0,0,357,5,1.42188,0,2380
3594430,77.6627,80.0353,0,0,0,0,0,0,0,0,0,0,356,5,1.40625,0,2370
3596800,77.4517,79.4798,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
3599170,77.5926,79.9438,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
3601550,77.3552,79.4126,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2380
3603920,77.6289,80.0097,0,0,0,0,0,0,0,0,0,0,357,5,1.40625,0,2370
3606300,77.3913,79.3748,0,0,0,0,0,0,0,0,0,0,355,5,1.41406,0,2380
3608670,77.1517,79.9446,0,0,0,0,0,0,0,0,0,0,357,5,1.40625,0,2370
3611040,77.5761,79.5664,0,0,0,0,0,0,0,0,0,0,358,5,1.42188,0,2370
3613410,77.6206,79.9553,0,0,0,0,0,0,0,0,0,0,357,5,1.42969,0,2370
3615780,77.422,79.8218,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
3618160,77.315,79.3395,0,0,0,0,0,0,0,0,0,0,355,5,1.42188,0,2380
3620530,77.5176,79.4815,0,0,0,0,0,0,0,0,0,0,355,5,1.41406,0,2370
3622900,77.2498,80.1094,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
3625270,77.8695,79.882,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
3627660,77.2424,79.2527,0,0,0,0,0,0,0,0,0,0,358,5,1.40625,0,2390
3630030,77.5399,79.6026,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
3632410,77.3331,79.7179,0,0,0,0,0,0,0,0,0,0,357,5,1.42188,0,2380
3634780,77.6833,79.7081,0,0,0,0,0,0,0,0,0,0,357,5,1.40625,0,2370
3637160,77.6827,79.7277,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2380
3639540,77.3405,79.6694,0,0,0,0,0,0,0,0,0,0,357,5,1.40625,0,2380
3641910,77.1122,79.9092,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
3644280,77.5333,79.5721,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
3646660,77.228,79.2468,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2380
3649020,77.9164,80.309,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2360
3651400,77.2338,79.2591,0,0,0,0,0,0,0,0,0,0,359,5,1.42188,0,2380
3653770,77.4723,79.5293,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
3656140,77.6495,80.041,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
3658510,77.6437,79.6826,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
3660880,77.1699,79.9207,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
3663260,77.3561,79.406,0,0,0,0,0,0,0,0,0,0,357,5,1.42188,0,2380
3665640,76.9022,79.6399,0,0,0,0,0,0,0,0,0,0,356,5,1.40625,0,2380
3668000,77.8461,79.8961,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2360
