Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
3154050,77.2168,79.9941,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
3156420,77.8316,80.1655,0,0,0,0,0,0,0,0,0,0,358,5,1.40625,0,2370
3158800,77.2042,79.5907,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2380
3161180,77.352,79.3231,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2380
3163550,77.5992,80.0105,0,0,0,0,0,0,0,0,0,0,355,5,1.41406,0,2370
3165920,77.5119,79.8622,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
3168290,77.647,79.6644,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
3170660,77.6388,79.6381,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
3173040,77.1928,79.5463,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2380
3175410,77.4723,79.4947,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
3177780,77.4179,79.4765,0,0,0,0,0,0,0,0,0,0,355,5,1.41406,0,2370
3180150,77.6717,79.6974,0,0,0,0,0,0,0,0,0,0,357,5,1.40625,0,2370
3182530,77.4061,79.3954,0,0,0,0,0,0,0,0,0,0,358,5,1.42188,0,2380
3184900,77.5481,79.5853,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
3187280,77.4389,79.4676,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2380
3189650,77.5349,79.9397,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
3192020,77.6108,79.9496,0,0,0,0,0,0,0,0,0,0,358,5,1.42188,0,2370
3194400,77.2847,79.699,0,0,0,0,0,0,0,0,0,0,357,5,1.42188,0,2380
3196770,77.4674,79.4782,0,0,0,0,0,0,0,0,0,0,358,5,1.40625,0,2370
3199140,77.5794,79.9529,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
3201510,77.4937,79.9364,0,0,0,0,0,0,0,0,0,0,355,5,1.41406,0,2370
3203880,77.1377,79.8902,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
3206260,77.3749,79.7581,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2380
3208630,77.502,79.5705,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
3211000,77.4674,79.493,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
3213380,77.48,79.8664,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2380
3215750,77.8778,79.9166,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
3218130,77.2929,79.6514,0,0,0,0,0,0,0,0,0,0,357,5,1.40625,0,2380
3220510,77.6113,79.9682,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2380
3222890,76.8858,79.6514,0,0,0,0,0,0,0,0,0,0,355,5,1.42188,0,2380
3225260,77.352,80.1144,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
3227650,77.2735,79.2952,0,0,0,0,0,0,0,0,0,0,358,5,1.40625,0,2390
3230020,77.53,79.4848,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
3232390,77.2234,79.9924,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
3234760,77.5761,79.6348,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
3237130,77.5959,79.5754,0,0,0,0,0,0,0,0,0,0,355,5,1.41406,0,2370
3239510,77.1845,79.1886,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2380
3241870,77.7873,80.199,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2360
3244250,77.1698,79.9337,0,0,0,0,0,0,0,0,0,0,357,5,1.40625,0,2380
3246630,77.2157,79.5907,0,0,0,0,0,0,0,0,0,0,356,5,1.42188,0,2380
3249000,77.1971,79.9677,0,0,0,0,0,0,0,0,0,0,355,5,1.40625,0,2370
3251370,77.6635,-27570.9,0,0,0,0,0,0,0,0,0,0,356,5,1.42188,0,2370
3253750,77.3011,79.367,0,0,0,0,0,0,0,0,0,0,357,5,1.42188,0,2380
3256120,77.7179,79.7432,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
3258500,77.2436,79.2682,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2380
3260860,77.7824,79.7779,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2360
3263230,77.5333,79.9196,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
3265610,77.2863,79.6401,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2380
3267970,77.7758,79.8281,0,0,0,0,0,0,0,0,0,0,360,5,1.41406,0,2360
