Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
3954070,77.6047,79.9567,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2380
3956450,77.2748,79.3018,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2380
3958820,77.6536,79.6595,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
3961190,77.5267,79.5013,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
3963570,76.917,79.7039,0,0,0,0,0,0,0,0,0,0,355,5,1.41406,0,2380
3965950,77.503,79.5119,0,0,0,0,0,0,0,0,0,0,355,5,1.41406,0,2380
3968320,77.5943,79.6034,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
3970700,77.3487,79.3445,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2380
3973070,77.497,79.5095,0,0,0,0,0,0,0,0,0,0,358,5,1.42969,0,2370
3975440,77.8151,79.882,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
3977810,77.5234,79.4963,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
3980190,77.3536,79.7351,0,0,0,0,0,0,0,0,0,0,357,5,1.40625,0,2380
3982560,77.5844,79.6001,0,0,0,0,0,0,0,0,0,0,357,5,1.42188,0,2370
3984930,77.5893,79.9743,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
3987300,77.6355,79.615,0,0,0,0,0,0,0,0,0,0,355,5,1.41406,0,2370
3989690,77.0839,79.086,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2390
3992060,77.6553,79.6776,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
3994430,77.1657,80.0122,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
3996800,77.586,79.5705,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
3999170,77.4492,79.4897,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
4001540,77.7624,79.7782,0,0,0,0,0,0,0,0,0,0,355,5,1.41406,0,2370
4003930,77.0986,79.4309,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2390
4006300,77.6141,79.9413,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
4008670,77.4245,79.4815,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
4011040,77.6899,79.7172,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
4013410,77.5696,79.915,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
4015790,77.3405,79.4052,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2380
4018160,77.5597,79.5523,0,0,0,0,0,0,0,0,0,0,358,5,1.40625,0,2370
4020540,77.654,79.7006,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2380
4022920,77.3306,79.6744,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2380
4025290,77.586,80.0105,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
4027670,77.2617,79.2624,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2380
4030040,77.7245,80.1012,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
4032410,77.6157,80.0138,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
4034790,77.3799,79.374,0,0,0,0,0,0,0,0,0,0,357,5,1.42969,0,2380
4037160,77.6882,80.1259,0,0,0,0,0,0,0,0,0,0,356,5,1.40625,0,2370
4039540,77.2092,79.5316,0,0,0,0,0,0,0,0,0,0,359,5,1.41406,0,2380
4041900,77.7625,79.805,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2360
4044280,76.8448,79.6284,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2380
4046650,77.764,79.854,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
4049020,77.4921,79.526,0,0,0,0,0,0,0,0,0,0,356,5,1.40625,0,2370
4051400,77.2765,79.2673,0,0,0,0,0,0,0,0,0,0,357,5,1.42188,0,2380
4053770,77.5185,79.5886,0,0,0,0,0,0,0,0,0,0,359,5,1.40625,0,2370
4056130,77.7327,79.7521,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2360
4058510,77.2568,79.31,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2380
4060880,77.0817,79.8276,0,0,0,0,0,0,0,0,0,0,355,5,1.41406,0,2370
4063250,77.7146,79.788,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
4065630,77.4783,79.8122,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2380
4068010,77.3717,79.4364,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2380
