Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
2354040,77.6948,79.6776,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
2356420,77.1681,79.5644,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2380
2358790,77.5251,79.8968,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
2361150,77.8022,79.8199,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2360
2363530,77.0221,79.7548,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2380
2365890,77.6632,80.0218,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2360
2368280,76.9221,78.9733,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2390
2370630,77.7194,80.507,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2350
2373020,76.9335,79.2544,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2390
2375380,77.8767,79.9507,0,0,0,0,0,0,0,0,0,0,357,5,1.40625,0,2360
2377760,77.2042,79.2361,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2380
2380120,77.832,80.1807,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2360
2382510,76.9613,79.3247,0,0,0,0,0,0,0,0,0,0,355,5,1.42188,0,2390
2384870,77.7609,80.151,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2360
2387250,77.2929,79.7154,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2380
2389620,77.5399,79.8853,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
2391990,77.1146,79.9875,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
2394360,77.4278,79.4238,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
2396730,77.68,80.093,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
2399110,77.26,79.2608,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2380
2401480,77.5053,79.8375,0,0,0,0,0,0,0,0,0,0,358,5,1.42969,0,2370
2403850,77.4756,79.5392,0,0,0,0,0,0,0,0,0,0,358,5,1.40625,0,2370
2406220,77.5218,79.5491,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
2408590,77.6635,79.6611,0,0,0,0,0,0,0,0,0,0,357,5,1.40625,0,2370
2410960,77.4723,79.8737,0,0,0,0,0,0,0,0,0,0,358,5,1.42188,0,2370
2413340,77.4751,79.8106,0,0,0,0,0,0,0,0,0,0,357,5,1.42188,0,2380
2415710,77.6454,79.7106,0,0,0,0,0,0,0,0,0,0,356,5,1.42188,0,2370
2418090,77.2945,79.6465,0,0,0,0,0,0,0,0,0,0,355,5,1.39844,0,2380
2420460,77.7129,-27571.1,0,0,0,0,0,0,0,0,0,0,357,5,1.42969,0,2370
2422840,77.265,79.2902,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2380
2425210,77.2119,80.0006,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
2427590,77.3946,79.3929,0,0,0,0,0,0,0,0,0,0,356,5,1.40625,0,2380
2429970,77.3421,79.721,0,0,0,0,0,0,0,0,0,0,355,5,1.42188,0,2380
2432350,77.4537,79.4933,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2380
2434720,77.5382,79.5948,0,0,0,0,0,0,0,0,0,0,357,5,1.42188,0,2370
2437090,77.1262,79.9053,0,0,0,0,0,0,0,0,0,0,357,5,1.39844,0,2370
2439460,77.5168,79.5457,0,0,0,0,0,0,0,0,0,0,355,5,1.42188,0,2370
2441830,77.5926,79.6241,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
2444200,77.4591,79.877,0,0,0,0,0,0,0,0,0,0,358,5,1.42188,0,2370
2446580,77.3782,79.7297,0,0,0,0,0,0,0,0,0,0,357,5,1.40625,0,2380
2448950,77.5531,79.9728,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
2451330,77.5571,79.587,0,0,0,0,0,0,0,0,0,0,354,5,1.40625,0,2380
2453710,77.2518,79.5832,0,0,0,0,0,0,0,0,0,0,356,5,1.42188,0,2380
2456080,77.6256,79.6873,0,0,0,0,0,0,0,0,0,0,357,5,1.40625,0,2370
2458450,77.6058,79.6073,0,0,0,0,0,0,0,0,0,0,357,5,1.42188,0,2370
2460830,77.2732,79.3229,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2380
2463200,77.675,80.021,0,0,0,0,0,0,0,0,0,0,356,5,1.42188,0,2370
2465580,77.3044,79.6988,0,0,0,0,0,0,0,0,0,0,356,5,1.40625,0,2380
2467950,77.5086,79.5653,0,0,0,0,0,0,0,0,0,0,358,5,1.42188,0,2370
